BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,RED ZONE,RED ZONE,RED ZONE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
Rk,Player,Tm,Pos,G,SNP,SNP%,ATT,YDS,YPC,TD,FUM,FUML,FD,RZ,GL,GL TD,EPA,EPA/ATT,DYAR,DVOA,FPTS,PPG
,Jonathan  Taylor,IND,RB,1,68,85,32,244,7.625,3,0,0,11,8,2,1,9.477,0.296,0,0,49.6,49.6
,De'Von  Achane,MIA,RB,1,47,88.679,22,174,7.909,2,0,0,7,2,0,0,8.642,0.393,0,0,40.5,40.5
,TreVeyon  Henderson,NE,RB,1,48,76.19,14,147,10.5,2,0,0,4,3,2,0,8.768,0.626,0,0,28,28
,Jahmyr  Gibbs,DET,RB,1,34,50,15,142,9.467,2,0,0,7,4,0,0,9.457,0.63,0,0,38.2,38.2
,Kimani  Vidal,LAC,RB,1,64,90.141,25,95,3.8,1,0,0,9,3,1,1,-2.019,-0.081,0,0,17.8,17.8
,Bijan  Robinson,ATL,RB,1,51,85,17,84,4.941,0,0,0,5,1,0,0,0.201,0.012,0,0,10.8,10.8
,Alvin  Kamara,NO,RB,1,43,63.235,22,83,3.773,0,0,0,4,2,1,0,-2.281,-0.104,0,0,14.5,14.5
,Breece  Hall,NYJ,RB,1,31,63.265,21,83,3.952,0,0,0,5,3,0,0,-1.918,-0.091,0,0,19.5,19.5
,Zach  Charbonnet,SEA,RB,1,23,38.983,14,83,5.929,1,0,0,4,4,1,0,3.939,0.281,0,0,14.3,14.3
,D'Andre  Swift,CHI,RB,1,38,55.072,13,80,6.154,0,0,0,4,2,1,0,1.185,0.091,0,0,14.8,14.8
,J.K.  Dobbins,DEN,RB,1,30,52.632,18,77,4.278,0,0,0,3,1,0,0,-1.728,-0.096,0,0,9.4,9.4
,Derrick  Henry,BLT,RB,1,45,65.217,20,75,3.75,0,0,0,5,3,1,0,-2.378,-0.119,0,0,11.4,11.4
,Quinshon  Judkins,CLV,RB,1,38,50.667,22,75,3.409,0,0,0,5,1,0,0,-3.532,-0.161,0,0,10.5,10.5
,Kyren  Williams,LA,RB,1,39,58.209,14,73,5.214,2,0,0,5,3,1,1,3.436,0.245,0,0,22.4,22.4
,Tyrone  Tracy Jr.,NYG,RB,1,47,64.384,14,71,5.071,0,0,0,3,1,0,0,-1.734,-0.124,0,0,8.1,8.1
,David  Montgomery,DET,RB,1,37,54.412,15,71,4.733,0,0,0,3,2,0,0,-0.115,-0.008,0,0,8.1,8.1
,Jaylen  Warren,PIT,RB,1,23,46,14,70,5,0,0,0,4,1,0,0,0.295,0.021,0,0,11.1,11.1
,Kenneth  Walker III,SEA,RB,1,24,40.678,14,67,4.786,0,0,0,3,4,1,0,-2.304,-0.165,0,0,8,8
,Jaxson  Dart,NYG,QB,1,51,69.863,6,66,11,2,1,1,5,1,1,0,4.054,0.676,0,0,28.28,28.28
,Emari  Demercado,ARZ,RB,1,30,38.961,4,64,16,0,0,0,1,1,0,0,2.102,0.526,0,0,13.4,13.4
,Caleb  Williams,CHI,QB,1,69,100,8,63,7.875,1,0,0,3,1,0,0,4.513,0.564,0,0,25.1,25.1
,Woody  Marks,HST,RB,1,55,77.465,14,63,4.5,1,0,0,4,4,2,1,0.055,0.004,0,0,16.1,16.1
,Ashton  Jeanty,LV,RB,1,51,85,19,60,3.158,1,0,0,3,2,1,0,-2.579,-0.136,0,0,15.3,15.3
,Travis  Etienne,JAX,RB,1,32,54.237,16,58,3.625,1,0,0,3,6,1,0,-2.592,-0.162,0,0,15.7,15.7
,Tyler  Allgeier,ATL,RB,1,22,36.667,11,57,5.182,2,0,0,5,5,2,2,3.844,0.349,0,0,17.7,17.7
,Blake  Corum,LA,RB,1,25,37.313,13,56,4.308,0,0,0,4,2,1,0,0.853,0.066,0,0,5.6,5.6
,Dillon  Gabriel,CLV,QB,1,75,100,5,54,10.8,0,0,0,3,1,0,0,3.684,0.737,0,0,20.08,20.08
,Daniel  Jones,IND,QB,1,80,100,7,53,7.571,0,0,0,3,3,0,0,2.165,0.309,0,0,17.5,17.5
,Rico  Dowdle,CAR,RB,1,39,78,18,53,2.944,1,0,0,4,2,1,0,-4.993,-0.277,0,0,15.3,15.3
,James  Cook,BUF,RB,1,33,48.529,13,53,4.077,0,1,1,2,2,0,0,-5.053,-0.389,0,0,12.7,12.7
,Sean  Tucker,TB,RB,1,22,33.333,9,53,5.889,0,0,0,5,0,0,0,1.653,0.184,0,0,6.1,6.1
,J.J.  McCarthy,MIN,QB,1,65,100,5,48,9.6,0,0,0,1,1,0,0,0.04,0.008,0,0,14.72,14.72
,Nick  Chubb,HST,RB,1,10,14.085,5,47,9.4,0,0,0,3,0,0,0,2.926,0.585,0,0,6.2,6.2
,Aaron  Jones,MIN,RB,1,45,69.231,9,47,5.222,1,0,0,3,1,1,0,-0.058,-0.006,0,0,15.9,15.9
,Brian  Robinson,SF,RB,1,13,21.667,8,41,5.125,1,0,0,4,3,1,1,1.481,0.185,0,0,11.5,11.5
,Rachaad  White,TB,RB,1,47,71.212,10,38,3.8,0,0,0,2,0,0,0,0.047,0.005,0,0,10.4,10.4
,Lamar  Jackson,BLT,QB,1,69,100,9,36,4,0,0,0,3,3,0,0,0.975,0.108,0,0,14.64,14.64
,Trevor  Lawrence,JAX,QB,1,59,100,5,35,7,0,0,0,2,0,0,0,-1.134,-0.227,0,0,11.82,11.82
,Malachi  Corley,CLV,WR,1,18,24,2,32,16,0,0,0,2,0,0,0,2.749,1.375,0,0,3.2,3.2
,Josh  Allen,BUF,QB,1,64,94.118,4,31,7.75,0,1,1,3,1,0,0,-1.95,-0.488,0,0,21.34,21.34
,Keaton  Mitchell,BLT,RB,1,5,7.246,4,31,7.75,0,1,0,1,2,0,0,0.328,0.082,0,0,3.1,3.1
,Jacoby  Brissett,ARZ,QB,1,74,96.104,4,31,7.75,0,0,0,1,1,1,0,1.975,0.494,0,0,21.42,21.42
,George  Holani,SEA,RB,1,10,16.949,7,31,4.429,1,0,0,3,3,0,0,0.361,0.052,0,0,9.1,9.1
,Christian  McCaffrey,SF,RB,1,47,78.333,12,30,2.5,0,0,0,3,2,0,0,-5.953,-0.496,0,0,17.6,17.6
,Jacory  Croskey-Merritt,WAS,RB,1,22,41.509,11,30,2.727,0,0,0,0,2,0,0,-3.232,-0.294,0,0,3,3
,Kyle  Monangai,CHI,RB,1,25,36.232,7,28,4,1,0,0,1,1,0,0,-0.046,-0.007,0,0,8.8,8.8
,Justin  Fields,NYJ,QB,1,49,100,7,28,4,0,0,0,2,1,0,0,-0.386,-0.055,0,0,6.96,6.96
,Bam  Knight,ARZ,RB,1,33,42.857,10,28,2.8,0,0,0,4,2,1,0,-5.091,-0.509,0,0,4.3,4.3
,Jordan  Mason,MIN,RB,1,14,21.538,4,25,6.25,0,0,0,2,1,0,0,-0.046,-0.012,0,0,4.1,4.1
,Jeremy  McNichols,WAS,RB,1,15,28.302,5,25,5,0,0,0,2,2,0,0,1.344,0.269,0,0,3.9,3.9
,Ashton  Dulin,IND,WR,1,15,18.75,1,22,22,0,0,0,1,0,0,0,1.932,1.932,0,0,2.2,2.2
,Devin  Neal,NO,RB,1,20,29.412,4,22,5.5,0,0,0,1,0,0,0,0.273,0.068,0,0,6.1,6.1
,Marcus  Mariota,WAS,QB,1,50,94.34,5,22,4.4,0,0,0,1,1,0,0,0.63,0.126,0,0,18.72,18.72
,Taysom  Hill,NO,QB,1,22,32.353,7,20,2.857,0,0,0,3,3,1,0,1.47,0.21,0,0,2,2
,Devin  Singletary,NYG,RB,1,23,31.507,8,20,2.5,0,0,0,1,3,2,0,-2.325,-0.291,0,0,10.3,10.3
,Davis  Mills,HST,QB,1,71,100,3,20,6.667,1,1,0,1,1,0,0,1.628,0.543,0,0,25.68,25.68
,Rashid  Shaheed,SEA,WR,1,19,32.203,2,20,10,0,0,0,2,0,0,0,1.418,0.709,0,0,3.3,3.3
,Justin  Herbert,LAC,QB,1,71,100,5,19,3.8,0,0,0,2,0,0,0,0.185,0.037,0,0,14.7,14.7
,Jaylen  Wright,MIA,RB,1,8,15.094,5,17,3.4,0,0,0,1,1,0,0,-1.236,-0.247,0,0,1.7,1.7
,Chris  Rodriguez Jr.,WAS,RB,1,19,35.849,6,16,2.667,1,0,0,2,1,1,1,0.286,0.048,0,0,7.6,7.6
,Chuba  Hubbard,CAR,RB,1,11,22,3,14,4.667,0,0,0,0,0,0,0,-0.209,-0.07,0,0,2.5,2.5
,Arian  Smith,NYJ,WR,1,29,59.184,1,13,13,0,0,0,1,0,0,0,1.167,1.167,0,0,1.3,1.3
,Drake  Maye,NE,QB,1,63,100,7,13,1.857,0,0,0,0,2,1,0,-5.036,-0.719,0,0,18.1,18.1
,Russell  Wilson,NYG,QB,1,22,30.137,2,12,6,0,0,0,1,1,1,0,-1.261,-0.631,0,0,3,3
,Sterling  Shepard,TB,WR,1,43,65.152,1,11,11,0,0,0,1,0,0,0,0.792,0.792,0,0,6.1,6.1
,Isaiah  Davis,NYJ,RB,1,14,28.571,3,10,3.333,0,0,0,0,0,0,0,-1.276,-0.425,0,0,2.1,2.1
,Kalif  Raymond,DET,WR,1,37,54.412,1,10,10,0,0,0,1,0,0,0,0.908,0.908,0,0,9.9,9.9
,RJ  Harvey,DEN,RB,1,15,26.316,4,9,2.25,0,0,0,0,1,1,0,-1.254,-0.314,0,0,3.8,3.8
,Tre  Tucker,LV,WR,1,58,96.667,1,7,7,0,0,0,0,0,0,0,0.472,0.472,0,0,5.5,5.5
,Geno  Smith,LV,QB,1,58,96.667,3,7,2.333,0,0,0,1,0,0,0,-1.225,-0.408,0,0,4.42,4.42
,Bryce  Young,CAR,QB,1,50,100,2,6,3,0,1,1,1,1,0,0,-4.271,-2.136,0,0,3.56,3.56
,Alec  Ingold,MIA,FB,1,19,35.849,1,6,6,0,0,0,1,0,0,0,0.727,0.727,0,0,0.6,0.6
,Zay  Flowers,BLT,WR,1,54,78.261,1,6,6,0,0,0,0,0,0,0,-0.274,-0.274,0,0,12.1,12.1
,Bhayshul  Tuten,JAX,RB,1,15,25.424,4,5,1.25,0,0,0,1,2,0,0,-1.374,-0.343,0,0,2,2
,Terrell  Jennings,NE,RB,1,5,7.937,4,5,1.25,0,0,0,1,0,0,0,0.442,0.111,0,0,0.5,0.5
,Raheem  Mostert,LV,RB,1,7,11.667,1,4,4,0,0,0,0,0,0,0,-0.589,-0.589,0,0,2.5,2.5
,Malik  Washington,MIA,WR,1,24,45.283,1,4,4,0,0,0,0,0,0,0,-0.096,-0.096,0,0,9.3,9.3
,Mitchell  Trubisky,BUF,QB,1,3,4.412,1,4,4,0,0,0,0,0,0,0,-0.633,-0.633,0,0,0.4,0.4
,Michael  Carter,ARZ,RB,1,9,11.688,3,4,1.333,0,0,0,0,1,0,0,-1.849,-0.616,0,0,0.4,0.4
,AJ  Barner,SEA,TE,1,21,35.593,2,3,1.5,0,0,0,2,0,0,0,0.904,0.452,0,0,0.3,0.3
,Mac  Jones,SF,QB,1,60,100,1,3,3,0,0,0,1,1,0,0,0.388,0.388,0,0,23.06,23.06
,Kaleb  Johnson,PIT,RB,1,3,6,2,3,1.5,0,0,0,0,0,0,0,-2.224,-1.112,0,0,0.3,0.3
,Ty  Johnson,BUF,RB,1,26,38.235,1,2,2,0,0,0,0,0,0,0,-0.101,-0.101,0,0,4.6,4.6
,Greg  Dortch,ARZ,WR,1,27,35.065,2,2,1,1,0,0,1,1,1,0,-0.252,-0.126,0,0,6.2,6.2
,Justice  Hill,BLT,RB,1,16,23.188,1,1,1,1,0,0,1,1,1,1,0.527,0.527,0,0,8.3,8.3
,Jerome  Ford,CLV,RB,1,14,18.667,1,1,1,0,0,0,0,0,0,0,-0.585,-0.585,0,0,0.1,0.1
,Jaret  Patterson,LAC,RB,1,3,4.225,1,1,1,0,0,0,0,0,0,0,-1.289,-1.289,0,0,0.1,0.1
,DeMario  Douglas,NE,WR,1,12,19.048,1,0,0,0,0,0,0,0,0,0,-0.858,-0.858,0,0,5.4,5.4
,Michael  Penix Jr.,ATL,QB,1,60,100,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,10.98,10.98
,Tua  Tagovailoa,MIA,QB,1,53,100,2,-1,-0.5,0,0,0,0,0,0,0,0,0,0,0,10.82,10.82
,Elijah  Moore,BUF,WR,1,23,33.824,1,-1,-1,0,0,0,0,0,0,0,-1.026,-1.026,0,0,2.8,2.8
,Kyle  Allen,DET,QB,1,9,13.235,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1
,Bo  Nix,DEN,QB,1,56,98.246,5,-2,-0.4,0,0,0,2,3,0,0,-4.925,-0.985,0,0,5.8,5.8
,Ray  Davis,BUF,RB,1,6,8.824,2,-2,-1,0,0,0,0,0,0,0,-1.036,-0.518,0,0,0.8,0.8
,Sam  Darnold,SEA,QB,1,53,89.831,3,-2,-0.667,0,1,1,0,0,0,0,-5.206,-1.735,0,0,8.92,8.92
,Tyler  Shough,NO,QB,1,59,86.765,4,-3,-0.75,0,0,0,0,3,1,0,-6.393,-1.598,0,0,18.98,18.98
,Ollie  Gordon II,MIA,RB,1,3,5.66,1,-3,-3,0,0,0,0,0,0,0,-1.115,-1.115,0,0,-0.3,-0.3
,Matthew  Stafford,LA,QB,1,67,100,3,-3,-1,0,0,0,0,2,0,0,-3.19,-1.063,0,0,26.9,26.9
,Brock  Bowers,LV,TE,1,48,80,1,-4,-4,0,0,0,0,0,0,0,-1.397,-1.397,0,0,3.7,3.7
,Parker  Washington,JAX,WR,1,47,79.661,2,-4,-2,0,0,0,0,1,1,0,-1.729,-0.865,0,0,11.9,11.9
,Dylan  Sampson,CLV,RB,1,19,25.333,2,-4,-2,0,0,0,0,0,0,0,-1.893,-0.947,0,0,0.9,0.9
,Drew  Lock,SEA,QB,1,6,10.169,4,-4,-1,0,1,0,0,0,0,0,-0.452,-0.113,0,0,-0.4,-0.4
