BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,RED ZONE,RED ZONE,RED ZONE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
Rk,Player,Tm,Pos,G,SNP,SNP%,ATT,YDS,YPC,TD,FUM,FUML,FD,RZ,GL,GL TD,EPA,EPA/ATT,DYAR,DVOA,FPTS,PPG
,Rico  Dowdle,CAR,RB,1,44,66.667,23,206,8.957,1,0,0,7,4,1,1,9.433,0.41,49.687,46.09,32.4,32.4
,Javonte  Williams,DAL,RB,1,44,70.968,16,135,8.438,1,0,0,6,4,1,0,6.926,0.433,65.443,93.04,26.9,26.9
,Breece  Hall,NYJ,RB,1,42,55.263,14,113,8.071,0,1,1,7,1,1,0,-2.153,-0.154,-0.079,-8.72,19.5,19.5
,Jacory  Croskey-Merritt,WAS,RB,1,27,45,14,111,7.929,2,1,1,6,2,1,0,2.754,0.197,19.243,18.82,29,29
,Quinshon  Judkins,CLV,RB,1,36,52.941,23,110,4.783,0,0,0,5,7,0,0,-1.234,-0.054,11.33,1.97,13.8,13.8
,Kenneth  Walker III,SEA,RB,1,23,42.593,10,86,8.6,0,0,0,3,2,1,0,1.218,0.122,27.919,59.77,9.6,9.6
,Emari  Demercado,ARZ,RB,1,17,25.758,3,81,27,0,1,1,1,0,0,0,-3.088,-1.029,2.256,11.2,8.1,8.1
,J.K.  Dobbins,DEN,RB,1,37,51.389,20,79,3.95,1,0,0,5,4,1,1,-2.648,-0.132,-14.694,-26.25,15.4,15.4
,Ashton  Jeanty,LV,RB,1,36,54.545,14,67,4.786,0,0,0,3,1,0,0,-1.597,-0.114,9.535,9.39,15.9,15.9
,Tony  Pollard,TEN,RB,1,43,65.152,14,67,4.786,1,1,1,4,2,1,1,-4.219,-0.301,-1.712,-11.33,16.8,16.8
,Jonathan  Taylor,IND,RB,1,43,75.439,17,66,3.882,3,0,0,6,9,4,1,2.092,0.123,53.519,52.44,29.6,29.6
,Kyren  Williams,LA,RB,1,57,89.063,14,65,4.643,0,1,1,4,4,1,0,-5.584,-0.399,-3.404,-13.51,33.1,33.1
,David  Montgomery,DET,RB,1,31,50.82,18,65,3.611,1,0,0,4,7,2,0,0.479,0.027,-16.617,-29.18,18.22,18.22
,Nick  Chubb,HST,RB,1,25,36.765,11,61,5.545,1,0,0,3,2,2,0,2.11,0.192,3.01,-3.19,12.1,12.1
,Justin  Herbert,LAC,QB,1,60,89.552,4,60,15,0,0,0,3,0,0,0,4.792,1.198,10.926,78.77,14.64,14.64
,Patrick  Mahomes,KC,QB,1,68,100,6,60,10,1,0,0,4,2,0,0,4.74,0.79,14.399,287.82,26.72,26.72
,Cam  Skattebo,NYG,RB,1,47,62.667,15,59,3.933,0,1,1,5,2,0,0,-12.623,-0.842,-11.917,-25.86,22.4,22.4
,Christian  McCaffrey,SF,RB,1,73,87.952,22,57,2.591,0,0,0,2,5,1,0,-6.754,-0.307,-9.146,-18.67,27.9,27.9
,Jaxson  Dart,NYG,QB,1,75,100,7,55,7.857,0,0,0,4,1,0,0,6.526,0.932,-0.401,-14.93,17.58,17.58
,Jahmyr  Gibbs,DET,RB,1,31,50.82,12,54,4.5,0,0,0,3,5,0,0,-0.971,-0.081,4.224,1.14,16.7,16.7
,Trevor  Lawrence,JAX,QB,1,61,100,10,54,5.4,2,1,1,6,4,3,1,2.307,0.231,-12.064,-59.18,28.24,28.24
,Josh  Allen,BUF,QB,1,68,100,9,53,5.889,0,1,1,3,2,1,0,-2.48,-0.276,-14.085,-116.41,21.42,21.42
,Jordan  Mason,MIN,RB,1,42,65.625,13,52,4,1,1,1,3,2,1,0,-5.7,-0.438,25.779,36.4,14.6,14.6
,Michael  Carter,ARZ,RB,1,38,57.576,18,51,2.833,1,0,0,2,2,1,1,-3.811,-0.212,-14.658,-27.65,18.3,18.3
,James  Cook,BUF,RB,1,43,63.235,15,49,3.267,0,0,0,2,3,0,0,-1.617,-0.108,4.248,-1.7,4.9,4.9
,Travis  Etienne,JAX,RB,1,33,54.098,12,49,4.083,0,0,0,2,3,0,0,1.426,0.119,3.064,-3.03,8.8,8.8
,Kareem  Hunt,KC,RB,1,21,30.882,7,49,7,2,0,0,3,4,4,1,2.783,0.398,31.854,78.34,18.7,18.7
