BASIC,BASIC,BASIC,DEFENSE,WR1,WR1,WR1,WR2,WR2,WR2,WR3,WR3,WR3,TE,TE,TE,RB,RB,RB
Rk,Tm,G,Defensive DVOA,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G
,IND,1,-6.62,-85.78,2,30,26.36,11,119,3.21,11,90,17.68,7,164,-30.21,6,17
,KC,1,-43.92,5.58,5,33,-121.28,0,0,30.96,2,13,-23.64,2,13,-64.04,3,16
,DAL,1,-21.57,17.25,2,59,12.19,3,60,-41.47,4,36,-29.39,4,42,-178.27,3,22
,DET,1,-60.9,-28.13,0,0,-71.59,4,58,-58.9,12,97,-57.52,7,65,-75.05,5,8
,LA,1,-24.28,-39.92,3,31,43.81,8,101,21.39,7,124,-96.61,3,25,-14.19,2,15
,SEA,1,-44.02,-85.12,4,27,-34.97,1,13,-41.95,5,76,47.49,9,98,-29.92,4,15
,PHI,1,-2.81,-71.47,5,79,39.03,9,128,13.1,3,47,-37.14,7,52,-23.17,2,7
,CIN,1,19.11,-171.14,3,50,49.17,1,9,20.64,2,17,26.6,11,141,-9.23,6,32
,SF,1,-6.19,-39.59,4,42,77.21,3,68,135.97,1,17,-25.29,7,62,29.51,6,52
,CLV,1,-60.83,-76.91,1,15,-28.63,3,16,47.68,7,75,-263.85,2,29,-164.3,4,18
,CHI,1,-28.38,109.39,5,98,-41.96,4,40,-174.19,1,3,-48.35,7,91,-86.09,3,1
,NE,1,-2.69,65.43,4,41,-12.96,2,29,141.3,6,88,-91.47,4,36,31.38,9,61
,CAR,1,-27.79,-98.83,3,29,-90.05,1,0,43.11,5,76,-23.21,3,31,5.1,4,36
,NYG,1,-1.75,-19.22,6,87,-11.75,3,19,15.66,7,91,-28.88,7,62,-5.36,4,20
,ARZ,1,-3.59,3.23,6,72,23.43,4,37,-50.9,1,5,-34.2,6,64,-121.47,2,1
,GB,1,0.21,16.18,2,58,46.33,3,40,189.39,4,72,7.66,11,77,14.7,5,32
,JAX,1,-3.07,46.6,5,35,-85.34,2,9,66.27,3,20,12.11,8,101,-14.83,3,17
,ATL,1,8.24,31.99,2,14,-126.86,0,0,-41.14,5,46,-57.35,1,11,76.83,8,82
,HST,1,-31.16,-34.72,8,123,205.94,1,32,-113.51,1,3,-131.12,5,49,-83.77,2,6
,DEN,1,19.06,-111.04,0,0,6.11,6,95,57.89,0,0,1.96,6,154,63.21,3,34
,TB,1,-20.18,-40.57,6,86,-122.11,0,0,-69.75,3,17,-16.11,6,38,147.14,5,100
,MIN,1,23.03,172.91,4,121,45.65,9,183,0,0,0,-45.05,3,18,-100.63,3,4
,PIT,1,55.35,2.86,16,161,35.77,6,96,78.52,3,49,179.01,4,44,-108.22,2,-8
,LAC,1,44.51,12.18,7,58,-1.85,5,98,-37.58,2,11,46.07,5,75,72.33,4,46
,NYJ,1,-0.1,-2.36,3,33,82.37,9,92,-54.6,1,8,-61.02,3,24,2.26,3,41
,TEN,1,16.9,5.34,7,69,226.21,2,55,39.93,5,66,1.37,6,44,-139.13,2,0
,WAS,1,21.81,42.51,5,110,61.73,4,82,18.6,2,33,23.37,7,29,-63.34,3,10
,NO,1,25.5,-10.49,3,43,-115.5,2,31,-26.86,3,31,52.79,4,40,51.7,3,27
,LV,1,9.03,28.58,3,35,6.73,7,42,9.29,6,88,128.92,4,82,-10.16,6,39
,MIA,1,0.03,-14.45,2,17,0,0,0,19.71,3,40,-27.12,5,40,119.66,3,19
