BASIC,BASIC,BASIC,TOTAL,TOTAL,PASSING,PASSING,RUSHING,RUSHING
Rk,Tm,G,DVOA,Weighted DVOA,Passing DVOA,Unadjusted Passing DVOA,Rushing DVOA,Unadjusted Rushing DVOA
,SEA,1,-26.01,-26.01,-46.15,-51.6,-8.38,-15.05
,GB,1,35.63,35.63,49.68,43.89,15.38,3.3
,BUF,1,-10.95,-10.95,2.37,-4.79,-4.51,-5.67
,CHI,1,16.84,16.84,-10.56,-20.83,44.67,44.82
,DAL,1,33.02,33.02,46.88,48.36,16.01,10.19
,CAR,1,40.48,40.48,112.51,100.34,0.92,-7.39
,JAX,1,-1.62,-1.62,37.82,53.63,-37.25,-26.62
,NE,1,9.56,9.56,59.35,57.85,-51.38,-25.06
,LAC,1,3.99,3.99,21.31,24.3,6.46,5.19
,ARZ,1,28.67,28.67,41.89,37.22,-0.42,-9.45
,IND,1,15.93,15.93,68.04,47.82,1.41,-12.66
,CIN,1,-11.9,-11.9,9.06,19.18,-15.9,-21.67
,DEN,1,4.43,4.43,6.72,20.12,-0.2,3.33
,MIA,1,2.89,2.89,-26.44,-23.79,25.46,24.45
,LA,1,31.26,31.26,5.66,0,76.78,84.73
,DET,1,11.1,11.1,54.53,48.63,-21.69,-25.8
,CLV,1,-17.73,-17.73,-13.76,-0.27,-10.26,-5.25
,HST,1,-3.81,-3.81,25.25,20.49,-25.51,-24.07
,TB,1,6.86,6.86,30.32,20.24,-1.94,3.61
,WAS,1,7.66,7.66,22.37,2.07,0.95,-9.34
,KC,1,12.28,12.28,43.93,62.97,-34.72,-25.78
,ATL,1,15.65,15.65,8.38,36.1,21.64,17.4
,SF,1,8.41,8.41,26.31,11.37,-1.03,-19.49
,NYJ,1,1.57,1.57,38.98,30.7,-12.25,-9.24
,NYG,1,-14.31,-14.31,-20.37,-4.2,0.82,3.6
,PHI,1,-27.55,-27.55,-3.33,8.17,-37.35,-24.79
,NO,1,-31.5,-31.5,-27.45,-5.16,-18.05,-24.68
,PIT,1,-64.63,-64.63,-69.55,-83.47,-48.01,-27.04
,LV,1,-40.43,-40.43,-16.23,-22.63,-71.48,-67.71
,BLT,1,-54.87,-54.87,-87.14,-57.41,-2.47,12.89
,MIN,1,-96.69,-96.69,-117.16,-133.41,-54.97,-66.73
,TEN,1,-60.18,-60.18,-71.53,-77.08,-8.35,-15.3
