BASIC,BASIC,BASIC,DEFENSE,WR1,WR1,WR1,WR2,WR2,WR2,WR3,WR3,WR3,TE,TE,TE,RB,RB,RB
Rk,Tm,G,Defensive DVOA,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G
,LA,11,-19.25,2.85,4.727,61.636,-27.82,3.818,41,-2.57,4.091,46.455,-32.44,5.818,47.455,-25.53,4.636,31.273
,SEA,11,-15.55,-45.37,4.182,35.273,-9.85,3.636,48.273,1.47,3.364,38.273,13.4,6.909,71.273,0.65,5.636,40.818
,IND,11,-4.68,-31.84,2.818,36.182,14.64,6,74.364,-12.6,4.727,50.182,12.36,6.364,72.182,-14.97,4.636,31.182
,DET,11,-9.79,16.76,3.909,53.182,-17.19,3.455,47.091,-9.61,3.545,50.091,2.98,4.545,51,-8.57,3.818,24.727
,KC,11,-3.75,-7.9,4.091,41.909,-5.18,4.182,47.182,-7.39,2.909,34.364,-4.18,4.727,49.455,-2.19,4.182,30.636
,GB,11,-5.87,-2.8,4.455,54,11.75,3.636,39.273,-24.05,2.727,29.636,-6.19,6.273,46.909,-14.28,4.909,28
,PHI,11,-6.78,-43.45,4,54.818,21.42,5.091,79.636,-27.33,2.636,26.909,-49.64,3.909,32.364,38.55,4,41.545
,DEN,11,-15.02,-30.58,4.182,39.727,-3.13,4.273,48.364,4.62,3.455,39.273,-8.67,4.818,57.818,-19.89,2.727,27.727
,HST,11,-18.95,-29.56,3.182,47.273,-19.94,3.909,47.273,-23.18,2.818,30.364,-21.38,4.273,40.273,-25.34,4.455,30.545
,BUF,11,6.42,1.77,5.182,66.727,10.31,2.909,38.364,0.51,2.545,30.091,-10.42,2.364,25.273,-29.12,3.727,22.364
,SF,12,6.66,-10.85,5.5,68.083,22.62,4.417,48.75,37.09,3.333,42.833,-12.06,5.583,53.083,-3.01,5.75,36
,TB,11,-7.53,-35.35,5.636,67.818,-35.97,3.636,42.818,25.8,3.818,53.364,-12.02,5,43.909,39.96,4.455,54.364
,PIT,11,-2.36,-0.87,6.545,76.545,-35.84,3.818,56.364,16.57,4.545,51.545,0.38,6.182,65.455,-19.06,4.182,27.727
,LAC,11,-2.17,0.39,5.545,68,-32.17,2.636,30.091,-33.07,2,22.909,11,3.727,37.727,-10.89,3.909,28.364
,ATL,11,-3.6,19.44,4.455,58.545,9.85,2.273,36.636,-12.78,4,43.818,-7.91,3.545,39.273,3.2,4.909,34.909
,BLT,11,3.36,22.16,5.273,66.636,11.97,3,46,8.68,4.636,41.273,12.26,5,50.091,8.93,4.455,38.091
,JAX,11,-2.34,2.97,6.273,79.727,-31.39,3.545,40,-44.46,2.636,27,11.46,6.727,70.818,-2.4,4.636,35.909
,ARZ,11,-5.16,-17.92,5.273,77.727,-12.02,3.364,38.364,-4.24,3.091,26.273,11.25,6,65.636,-2.3,4.091,29.091
,NE,12,10.31,46.22,4.417,61.667,16.67,2.583,32.5,1.26,3.083,36.583,-1.4,6.333,63.333,-10.47,5.417,32.75
,DAL,11,16.76,39.73,4.818,70.364,24.85,3.455,46.727,25.18,3.636,50.455,3.66,6.182,57.545,13.9,5.364,45.182
,CHI,11,7.93,-18.63,4.818,64,3.02,3.727,51,4.3,1.818,32.455,10.65,6.545,58.545,22.44,4.273,29.818
,NYG,12,10.61,12.18,5.917,76.5,21.06,3.333,46.25,-9.68,3.167,44.083,-11.94,5,43.5,-11.31,5.167,33
,WAS,11,9.11,11.33,4.636,67.818,32.97,3.909,58.545,10.18,3.364,43.909,11.1,4.818,57,33.57,3.545,37.091
,MIA,11,7.49,14.91,4,42.636,21.52,2.455,33,18.75,3.455,36.182,7.8,6.182,68.091,34.15,4.909,38.091
,CLV,11,-15.5,2.06,3.091,44.455,-20.66,2.727,32.455,40.45,3.091,42.273,-20.66,4.818,48,-21.69,4.364,29.091
,CAR,12,5.85,18.77,4.917,73.833,-65.23,2.583,20.917,-1.77,2.083,27.583,32.88,5.417,66.583,-31.81,5.167,31.667
,NO,11,0.69,5.41,3.545,49.636,26.37,3.364,45,0.26,3.182,33.455,1.94,5.455,53.636,12.44,3.545,25.091
,MIN,11,-1.01,20.83,3.545,52.727,18.4,3.364,51.727,-17.64,1.909,21.091,7.19,5.818,55.727,-28.2,3.545,21.182
,LV,11,-1.95,8.31,3.727,56.545,19.35,4.545,51,-10.04,4.727,51.636,-6.51,3.727,39.455,4.12,4.364,29.818
,CIN,11,27.43,-17.41,3.909,50,-1.97,2.727,38.727,44.28,3.545,43.636,21.25,6.909,87.455,52.92,5.364,45.909
,NYJ,11,13.97,25.25,5,58.909,32.52,3.273,44.818,7.71,2.273,36.273,15.45,4.818,42.727,17.81,3.273,23.364
,TEN,11,10.63,41.51,6,84.727,4.24,3.455,50.182,-2.54,3.273,34.636,-11,5,44.455,8.93,3.364,22.636
