BASIC,BASIC,BASIC,TOTAL,TOTAL,PASSING,PASSING,RUSHING,RUSHING
Rk,Tm,G,DVOA,Weighted DVOA,Passing DVOA,Unadjusted Passing DVOA,Rushing DVOA,Unadjusted Rushing DVOA
,BUF,1,44.87,44.87,32.33,37.14,58.26,57.36
,DEN,1,50.1,50.1,80.91,96.41,17.72,25.56
,IND,1,49.61,49.61,47.24,49.77,53.95,67.4
,LAC,1,22.71,22.71,80.4,84.96,-7.64,-9.57
,GB,1,46.53,46.53,76.62,79.91,0.76,3.5
,MIA,1,16.49,16.49,65.26,51.8,-8.4,-6.01
,BLT,1,27.52,27.52,52.35,54.48,16.75,25.14
,KC,1,19.72,19.72,27.33,30.98,9.65,10.62
,HST,1,19.72,19.72,44.19,57.28,-11.22,-8.84
,NE,1,8.7,8.7,37.91,31.34,-7.17,-27.62
,PHI,1,36.04,36.04,51.93,48.2,52.13,73.56
,TB,1,-48.16,-48.16,-38.91,-32.35,-45.49,-48.56
,CIN,1,44.16,44.16,22.11,45.81,71.28,67.71
,SF,1,10.77,10.77,32.95,11.9,-40.25,-40.52
,NO,1,-60.73,-60.73,-62.27,-74.48,-27.5,-35.76
,PIT,1,6.62,6.62,5.96,-4.33,7.61,7.16
,WAS,1,-22.33,-22.33,-20.16,-28.44,-18.69,-24.57
,NYJ,1,23.22,23.22,31.24,53.28,29.88,41.02
,TEN,1,-19.77,-19.77,-12.27,-16.41,-31.58,-34.38
,CHI,1,-15.73,-15.73,3.16,9.97,-25.82,-24.71
,NYG,1,-1.15,-1.15,20.22,15.67,-8.33,-3.62
,CLV,1,-63.65,-63.65,-73.68,-57.02,-31.53,-42.44
,ATL,1,-54.83,-54.83,-39.9,-20.97,-65.34,-64.77
,DAL,1,-17.22,-17.22,-2.48,-12.88,-22.26,-32.38
,CAR,1,-51.31,-51.31,-66.68,-75.47,-23.78,-14.22
,MIN,1,-53.53,-53.53,-47.8,-54.7,-68.91,-64.25
