BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,BASE,BASE,BASE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE
Rk,Player,Tm,Pos,G,TAR,REC,YDS,TD,TAR/G,REC/G,YDS/G,SNP,SNP%,RT,RT%,TAR%,FRD,FRDR,FRD%,OPP,OPP%
,Nico  Collins,HST,WR,1,15,7,136,0,15,7,136,62,87.324,43,91.489,31.915,12,80,24.49,15,21.739
,Trey  McBride,ARZ,TE,1,13,9,127,1,13,9,127,62,80.519,43,86,26,11,84.615,20.37,13,17.808
,Jalen  Nailor,MIN,WR,1,6,5,124,1,6,5,124,40,61.538,31,72.093,13.953,2,33.333,4.255,6,9.836
,Jameson  Williams,DET,WR,1,7,6,119,1,7,6,119,59,86.765,32,91.429,20,7,100,20,7,10.294
,Emeka  Egbuka,TB,WR,1,13,6,115,1,13,6,115,58,87.879,43,95.556,28.889,12,92.308,26.667,13,19.697
,Ladd  McConkey,LAC,WR,1,6,4,107,1,6,4,107,48,67.606,33,86.842,15.789,6,100,15,6,8.696
,Mack  Hollins,NE,WR,1,10,6,106,0,10,6,106,47,74.603,27,84.375,31.25,8,80,22.222,10,16.949
,Drake  London,ATL,WR,1,8,6,104,1,8,6,104,58,96.667,31,100,25.806,6,75,19.355,8,13.333
,Chris  Olave,NO,WR,1,8,5,104,1,8,5,104,36,52.941,25,83.333,26.667,7,87.5,22.581,8,11.94
,Tyler  Warren,IND,TE,1,10,8,99,0,10,8,99,66,82.5,28,84.848,30.303,8,80,20.513,10,13.514
,Jaxon  Smith-Njigba,SEA,WR,1,6,5,93,1,6,5,93,22,37.288,11,84.615,46.154,5,83.333,38.462,6,10.169
,Juwan  Johnson,NO,TE,1,4,4,92,1,4,4,92,33,48.529,21,70,13.333,3,75,9.677,4,5.97
,Darius  Slayton,NYG,WR,1,4,4,89,0,4,4,89,44,60.274,25,62.5,10,4,100,9.302,4,5.714
,Rome  Odunze,CHI,WR,1,10,6,86,1,10,6,86,50,72.464,30,83.333,27.778,9,90,21.951,10,15.625
,Alec  Pierce,IND,WR,1,7,4,84,1,7,4,84,70,87.5,30,90.909,21.212,6,85.714,15.385,7,9.459
,Jaylen  Waddle,MIA,WR,1,7,5,84,1,7,5,84,44,83.019,17,80.952,33.333,4,57.143,19.048,7,13.208
,George  Kittle,SF,TE,1,9,9,84,1,9,9,84,56,93.333,37,94.872,23.077,7,77.778,17.949,9,15
,Cade  Otton,TB,TE,1,12,9,82,0,12,9,82,63,95.455,43,95.556,26.667,9,75,20,12,18.182
,Jerry  Jeudy,CLV,WR,1,12,6,78,1,12,6,78,67,89.333,37,97.368,31.579,12,100,27.907,12,17.143
,Davante  Adams,LA,WR,1,8,6,77,1,8,6,77,34,50.746,25,67.568,21.622,8,100,21.622,8,11.94
,Theo  Johnson,NYG,TE,1,8,7,75,0,8,7,75,67,91.781,38,95,20,5,62.5,11.628,8,11.429
,Zay  Flowers,BLT,WR,1,6,4,75,0,6,4,75,54,78.261,26,86.667,20,2,33.333,6.061,7,10.606
,Cooper  Kupp,SEA,WR,1,2,2,74,0,2,2,74,30,50.847,9,69.231,15.385,1,50,7.692,2,3.39
,Kyle  Williams,NE,WR,1,2,1,72,1,2,1,72,33,52.381,17,53.125,6.25,2,100,5.556,2,3.39
,Jauan  Jennings,SF,WR,1,9,6,71,1,9,6,71,55,91.667,35,89.744,23.077,9,100,23.077,9,15
,Christian  McCaffrey,SF,RB,1,10,8,66,0,10,8,66,47,78.333,34,87.179,25.641,3,30,7.692,22,36.667
,Puka  Nacua,LA,WR,1,6,5,64,1,6,5,64,34,50.746,24,64.865,16.216,4,66.667,10.811,6,8.955
,Wan'Dale  Robinson,NYG,WR,1,11,6,62,0,11,6,62,69,94.521,39,97.5,27.5,8,72.727,18.605,11,15.714
,Tetairoa  McMillan,CAR,WR,1,8,5,60,0,8,5,60,44,88,25,92.593,29.63,7,87.5,25.926,8,16
,Khalil  Shakir,BUF,WR,1,9,7,58,0,9,7,58,43,63.235,38,88.372,20.93,5,55.556,10.87,9,13.846
,Treylon  Burks,WAS,WR,1,3,3,58,0,3,3,58,20,37.736,13,54.167,12.5,2,66.667,7.692,3,5.882
,Amon-Ra  St. Brown,DET,WR,1,8,5,58,1,8,5,58,52,76.471,26,74.286,22.857,8,100,22.857,8,11.765
,Colston  Loveland,CHI,TE,1,4,4,55,0,4,4,55,37,53.623,21,58.333,11.111,2,50,4.878,4,6.25
,Zach  Ertz,WAS,TE,1,5,4,54,0,5,4,54,42,79.245,20,83.333,20.833,2,40,7.692,5,9.804
,Devin  Singletary,NYG,RB,1,3,3,53,0,3,3,53,23,31.507,11,27.5,7.5,1,33.333,2.326,11,15.714
,Dalton  Schultz,HST,TE,1,11,7,53,1,11,7,53,56,78.873,44,93.617,23.404,7,63.636,14.286,11,15.942
,Sam  LaPorta,DET,TE,1,5,5,53,0,5,5,53,50,73.529,27,77.143,14.286,5,100,14.286,5,7.353
,Luther  Burden III,CHI,WR,1,3,3,51,0,3,3,51,29,42.029,16,44.444,8.333,3,100,7.317,3,4.688
,De'Von  Achane,MIA,RB,1,6,6,51,0,6,6,51,47,88.679,19,90.476,28.571,0,0,0,28,52.83
,Kalif  Raymond,DET,WR,1,4,4,49,0,4,4,49,37,54.412,17,48.571,11.429,3,75,8.571,5,7.353
