BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,BASE,BASE,BASE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE
,Keon  Coleman,BUF,WR,1,8,3,46,1,8,3,46,40,58.824,33,76.744,18.605,3,37.5,6.522,8,12.308
,Stefon  Diggs,NE,WR,1,8,5,46,1,8,5,46,35,55.556,25,78.125,25,6,75,16.667,8,13.559
,Tyler  Lockett,LV,WR,1,6,5,44,0,6,5,44,34,56.667,26,78.788,18.182,3,50,8.571,6,10.345
,Harold  Fannin Jr.,CLV,TE,1,7,4,44,0,7,4,44,47,62.667,29,76.316,18.421,7,100,16.279,7,10
,Pat  Bryant,DEN,WR,1,2,1,43,0,2,1,43,28,49.123,22,73.333,6.667,1,50,3.333,2,3.509
,Jonathan  Taylor,IND,RB,1,3,3,42,0,3,3,42,68,85,30,90.909,9.091,0,0,0,35,47.297
,Jayden  Higgins,HST,WR,1,7,5,42,1,7,5,42,40,56.338,26,55.319,14.894,5,71.429,10.204,7,10.145
,Breece  Hall,NYJ,RB,1,1,1,42,1,1,1,42,31,63.265,7,50,7.143,0,0,0,22,46.809
,Tez  Johnson,TB,WR,1,5,4,42,2,5,4,42,55,83.333,39,86.667,11.111,3,60,6.667,5,7.576
,Quentin  Johnston,LAC,WR,1,10,5,42,0,10,5,42,56,78.873,35,92.105,26.316,6,60,15,10,14.493
,Jakobi  Meyers,JAX,WR,1,3,3,41,0,3,3,41,23,38.983,14,50,10.714,2,66.667,6.25,3,5.455
,Colby  Parkinson,LA,TE,1,5,4,41,1,5,4,41,38,56.716,20,54.054,13.514,2,40,5.405,5,7.463
,Jaylin  Lane,WAS,WR,1,1,1,41,0,1,1,41,12,22.642,6,25,4.167,1,100,3.846,1,1.961
,Troy  Franklin,DEN,WR,1,9,5,40,1,9,5,40,42,73.684,27,90,30,7,77.778,23.333,9,15.789
,Emari  Demercado,ARZ,RB,1,4,3,40,0,4,3,40,30,38.961,24,48,8,2,50,3.704,8,10.959
,Kyle  Pitts,ATL,TE,1,5,2,38,0,5,2,38,54,90,30,96.774,16.129,5,100,16.129,5,8.333
,Dalton  Kincaid,BUF,TE,1,3,2,37,0,3,2,37,18,26.471,14,32.558,6.977,1,33.333,2.174,3,4.615
,Dawson  Knox,BUF,TE,1,4,3,37,0,4,3,37,44,64.706,24,55.814,9.302,0,0,0,4,6.154
,Justin  Jefferson,MIN,WR,1,12,4,37,0,12,4,37,61,93.846,43,100,27.907,5,41.667,10.638,12,19.672
,Jaylin  Noel,HST,WR,1,4,4,35,0,4,4,35,27,38.028,21,44.681,8.511,3,75,6.122,4,5.797
,Jordan  Addison,MIN,WR,1,11,3,35,0,11,3,35,59,90.769,42,97.674,25.581,3,27.273,6.383,11,18.033
,DK  Metcalf,PIT,WR,1,7,3,35,0,7,3,35,46,92,33,97.059,20.588,7,100,20.588,7,14
,Roman  Wilson,PIT,WR,1,3,2,35,1,3,2,35,18,36,14,41.176,8.824,1,33.333,2.941,3,6
,DeMario  Douglas,NE,WR,1,2,2,34,0,2,2,34,12,19.048,10,31.25,6.25,1,50,2.778,3,5.085
,Michael  Wilson,ARZ,WR,1,7,4,34,0,7,4,34,67,87.013,48,96,14,7,100,12.963,7,9.589
,Demarcus  Robinson,SF,WR,1,4,3,34,0,4,3,34,26,43.333,21,53.846,10.256,4,100,10.256,4,6.667
,Parker  Washington,JAX,WR,1,7,3,33,1,7,3,33,47,79.661,26,92.857,25,4,57.143,12.5,9,16.364
,Austin  Trammell,JAX,WR,1,3,2,33,0,3,2,33,8,13.559,7,25,10.714,2,66.667,6.25,3,5.455
,Marvin  Harrison Jr.,ARZ,WR,1,12,3,33,1,12,3,33,67,87.013,48,96,24,12,100,22.222,12,16.438
,Tyler  Higbee,LA,TE,1,3,3,33,0,3,3,33,36,53.731,16,43.243,8.108,2,66.667,5.405,3,4.478
,Pat  Freiermuth,PIT,TE,1,3,3,33,0,3,3,33,24,48,17,50,8.824,1,33.333,2.941,3,6
,Ja'Tavion  Sanders,CAR,TE,1,5,5,32,0,5,5,32,17,34,11,40.741,18.519,0,0,0,5,10
,Alvin  Kamara,NO,RB,1,3,3,32,0,3,3,32,43,63.235,19,63.333,10,1,33.333,3.226,25,37.313
,Terrance  Ferguson,LA,TE,1,4,1,32,0,4,1,32,19,28.358,13,35.135,10.811,4,100,10.811,4,5.97
,Brock  Bowers,LV,TE,1,3,1,31,0,3,1,31,48,80,29,87.879,9.091,3,100,8.571,4,6.897
,Jahmyr  Gibbs,DET,RB,1,4,3,30,1,4,3,30,34,50,17,48.571,11.429,2,50,5.714,19,27.941
,Deebo  Samuel Sr.,WAS,WR,1,5,4,29,1,5,4,29,40,75.472,20,83.333,20.833,3,60,11.538,5,9.804
,Tre  Tucker,LV,WR,1,3,2,28,0,3,2,28,58,96.667,33,100,9.091,2,66.667,5.714,4,6.897
,Jackson  Hawes,BUF,TE,1,2,1,26,1,2,1,26,27,39.706,10,23.256,4.651,0,0,0,2,3.077
,Courtland  Sutton,DEN,WR,1,4,3,24,0,4,3,24,51,89.474,29,96.667,13.333,3,75,10,4,7.018
,James  Cook,BUF,RB,1,5,5,24,0,5,5,24,33,48.529,17,39.535,11.628,0,0,0,18,27.692
,Tyrell  Shavers,BUF,WR,1,1,1,24,0,1,1,24,24,35.294,19,44.186,2.326,0,0,0,1,1.538
,Ty  Johnson,BUF,RB,1,2,2,24,0,2,2,24,26,38.235,24,55.814,4.651,0,0,0,3,4.615
,Charlie  Kolar,BLT,TE,1,2,1,23,0,2,1,23,27,39.13,7,23.333,6.667,0,0,0,2,3.03
,Michael  Mayer,LV,TE,1,4,3,22,0,4,3,22,35,58.333,15,45.455,12.121,1,25,2.857,4,6.897
,Greg  Dulcich,MIA,TE,1,4,1,22,0,4,1,22,31,58.491,17,80.952,19.048,2,50,9.524,4,7.547
,Aaron  Jones,MIN,RB,1,6,3,22,0,6,3,22,45,69.231,31,72.093,13.953,0,0,0,15,24.59
,Jalen  Coker,CAR,WR,1,4,3,21,0,4,3,21,38,76,23,85.185,14.815,4,100,14.815,4,8
,Johnny  Mundt,JAX,TE,1,2,1,21,0,2,1,21,27,45.763,16,57.143,7.143,0,0,0,2,3.636
,Curtis  Samuel,BUF,WR,1,1,1,21,0,1,1,21,23,33.824,16,37.209,2.326,0,0,0,1,1.538
,David  Njoku,CLV,TE,1,2,2,21,1,2,2,21,49,65.333,24,63.158,5.263,1,50,2.326,2,2.857
,Jaylen  Warren,PIT,RB,1,2,2,21,0,2,2,21,23,46,9,26.471,5.882,0,0,0,16,32
,Sterling  Shepard,TB,WR,1,4,3,20,0,4,3,20,43,65.152,36,80,8.889,1,25,2.222,5,7.576
,Michael  Pittman,IND,WR,1,2,2,19,0,2,2,19,60,75,29,87.879,6.061,2,100,5.128,2,2.703
,Travis  Etienne,JAX,RB,1,4,2,19,0,4,2,19,32,54.237,11,39.286,14.286,1,25,3.125,20,36.364
,Elijah  Higgins,ARZ,TE,1,3,2,19,0,3,2,19,28,36.364,16,32,6,2,66.667,3.704,3,4.11
,Kendrick  Bourne,SF,WR,1,1,1,19,0,1,1,19,41,68.333,24,61.538,2.564,0,0,0,1,1.667
,Keenan  Allen,LAC,WR,1,5,2,19,0,5,2,19,35,49.296,23,60.526,13.158,3,60,7.5,5,7.246
,D'Andre  Swift,CHI,RB,1,8,5,18,0,8,5,18,38,55.072,21,58.333,22.222,2,25,4.878,21,32.813
,Woody  Marks,HST,RB,1,3,2,18,0,3,2,18,55,77.465,39,82.979,6.383,0,0,0,17,24.638
,Skyy  Moore,SF,WR,1,1,1,18,0,1,1,18,10,16.667,9,23.077,2.564,1,100,2.564,1,1.667
,Darnell  Mooney,ATL,WR,1,8,1,17,0,8,1,17,53,88.333,29,93.548,25.806,7,87.5,22.581,8,13.333
,Isaiah  Likely,BLT,TE,1,5,2,17,0,5,2,17,37,53.623,18,60,16.667,3,60,9.091,5,7.576
,Robbie  Chosen,WAS,WR,1,4,1,17,0,4,1,17,13,24.528,8,33.333,16.667,4,100,15.385,4,7.843
,Foster  Moreau,NO,TE,1,3,2,16,0,3,2,16,39,57.353,12,40,10,2,66.667,6.452,3,4.478
,DeAndre  Hopkins,BLT,WR,1,3,2,16,0,3,2,16,18,26.087,13,43.333,10,3,100,9.091,3,4.545
,Adam  Thielen,MIN,WR,1,3,2,16,0,3,2,16,8,12.308,6,13.953,6.977,1,33.333,2.128,3,4.918
,Rachaad  White,TB,RB,1,5,5,16,0,5,5,16,47,71.212,35,77.778,11.111,0,0,0,15,22.727
,Devaughn  Vele,NO,WR,1,3,1,15,0,3,1,15,58,85.294,30,100,10,2,66.667,6.452,3,4.478
,Luke  Farrell,SF,TE,1,2,2,15,1,2,2,15,16,26.667,7,17.949,5.128,1,50,2.564,2,3.333
,Darnell  Washington,PIT,TE,1,1,1,15,0,1,1,15,25,50,10,29.412,2.941,1,100,2.941,1,2
,Charlie  Woerner,ATL,TE,1,1,1,14,0,1,1,14,23,38.333,9,29.032,3.226,0,0,0,1,1.667
,Zaire  Mitchell-Paden,NO,TE,1,1,1,14,0,1,1,14,23,33.824,2,6.667,3.333,1,100,3.226,1,1.493
,Mark  Andrews,BLT,TE,1,5,3,14,1,5,3,14,41,59.42,23,76.667,16.667,4,80,12.121,5,7.576
,Xavier  Smith,LA,WR,1,1,1,14,0,1,1,14,30,44.776,21,56.757,2.703,0,0,0,1,1.493
,Calvin  Austin III,PIT,WR,1,7,2,14,0,7,2,14,37,74,30,88.235,20.588,6,85.714,17.647,7,14
,Adam  Prentice,DEN,FB,1,1,1,13,0,1,1,13,8,14.035,1,3.333,3.333,1,100,3.333,1,1.754
,Kimani  Vidal,LAC,RB,1,1,1,13,0,1,1,13,64,90.141,35,92.105,2.632,0,0,0,26,37.681
,Oronde  Gadsden II,LAC,TE,1,6,3,13,0,6,3,13,36,50.704,23,60.526,15.789,6,100,15,6,8.696
,Evan  Engram,DEN,TE,1,5,2,12,0,5,2,12,21,36.842,19,63.333,16.667,2,40,6.667,5,8.772
,Justice  Hill,BLT,RB,1,2,1,12,0,2,1,12,16,23.188,13,43.333,6.667,0,0,0,3,4.545
,Tyler  Conklin,LAC,TE,1,1,1,12,0,1,1,12,20,28.169,7,18.421,2.632,1,100,2.5,1,1.449
,Raheem  Mostert,LV,RB,1,1,1,11,0,1,1,11,7,11.667,5,15.152,3.03,0,0,0,2,3.448
,Cedric  Tillman,CLV,WR,1,4,2,11,0,4,2,11,51,68,29,76.316,10.526,4,100,9.302,4,5.714
,Kyren  Williams,LA,RB,1,3,2,11,0,3,2,11,39,58.209,25,67.568,8.108,0,0,0,17,25.373
,Isaac  TeSlaa,DET,WR,1,1,1,11,0,1,1,11,19,27.941,8,22.857,2.857,1,100,2.857,1,1.471
,Rico  Dowdle,CAR,RB,1,3,3,10,0,3,3,10,39,78,19,70.37,11.111,0,0,0,21,42
,Rashod  Bateman,BLT,WR,1,2,1,10,0,2,1,10,41,59.42,25,83.333,6.667,2,100,6.061,2,3.03
,Quinshon  Judkins,CLV,RB,1,3,2,10,0,3,2,10,38,50.667,15,39.474,7.895,2,66.667,4.651,25,35.714
,RJ  Harvey,DEN,RB,1,3,2,9,0,3,2,9,15,26.316,11,36.667,10,0,0,0,7,12.281
,Devin  Neal,NO,RB,1,3,3,9,0,3,3,9,20,29.412,11,36.667,10,0,0,0,7,10.448
,Malik  Washington,MIA,WR,1,3,2,9,1,3,2,9,24,45.283,14,66.667,14.286,2,66.667,9.524,4,7.547
,Elijah  Moore,BUF,WR,1,2,2,9,0,2,2,9,23,33.824,16,37.209,4.651,1,50,2.174,3,4.615
,Derrick  Henry,BLT,RB,1,3,3,9,0,3,3,9,45,65.217,17,56.667,10,1,33.333,3.03,23,34.848
,Hunter  Henry,NE,TE,1,4,1,9,0,4,1,9,50,79.365,27,84.375,12.5,2,50,5.556,4,6.78
,Ameer  Abdullah,IND,RB,1,1,1,8,0,1,1,8,4,5,2,6.061,3.03,0,0,0,1,1.351
,Daniel  Bellinger,NYG,TE,1,2,1,8,0,2,1,8,51,69.863,26,65,5,2,100,4.651,2,2.857
,T.J.  Hockenson,MIN,TE,1,2,2,8,0,2,2,8,55,84.615,41,95.349,4.651,1,50,2.128,2,3.279
,Davis  Allen,LA,TE,1,2,2,8,1,2,2,8,32,47.761,13,35.135,5.405,1,50,2.703,2,2.985
,Kyle  Juszczyk,SF,FB,1,2,2,8,0,2,2,8,31,51.667,19,48.718,5.128,2,100,5.128,2,3.333
,J.K.  Dobbins,DEN,RB,1,1,1,7,0,1,1,7,30,52.632,8,26.667,3.333,1,100,3.333,19,33.333
,Nick  Westbrook-Ikhine,MIA,WR,1,1,1,7,0,1,1,7,25,47.17,12,57.143,4.762,1,100,4.762,1,1.887
,Tucker  Fisk,LAC,TE,1,1,1,7,0,1,1,7,26,36.62,10,26.316,2.632,0,0,0,1,1.449
,LeQuint  Allen Jr.,JAX,RB,1,1,1,6,0,1,1,6,17,28.814,12,42.857,3.571,0,0,0,1,1.818
,Jordan  Mason,MIN,RB,1,1,1,6,0,1,1,6,14,21.538,9,20.93,2.326,0,0,0,5,8.197
,John  Bates,WAS,TE,1,2,1,6,0,2,1,6,36,67.925,14,58.333,8.333,1,50,3.846,2,3.922
,Olamide  Zaccheaus,CHI,WR,1,4,1,5,0,4,1,5,36,52.174,23,63.889,11.111,2,50,4.878,4,6.25
,Cole  Kmet,CHI,TE,1,2,1,5,0,2,1,5,42,60.87,24,66.667,5.556,1,50,2.439,2,3.125
,Nick  Chubb,HST,RB,1,1,1,5,0,1,1,5,10,14.085,5,10.638,2.128,0,0,0,6,8.696
,Bhayshul  Tuten,JAX,RB,1,2,1,5,0,2,1,5,15,25.424,9,32.143,7.143,0,0,0,6,10.909
,Elijah  Arroyo,SEA,TE,1,1,1,5,0,1,1,5,28,47.458,9,69.231,7.692,1,100,7.692,1,1.695
,Bam  Knight,ARZ,RB,1,4,1,5,0,4,1,5,33,42.857,19,38,8,0,0,0,14,19.178
,Dont'e  Thornton Jr.,LV,WR,1,2,1,4,0,2,1,4,35,58.333,20,60.606,6.061,2,100,5.714,2,3.448
,Bijan  Robinson,ATL,RB,1,2,2,4,0,2,2,4,51,85,29,93.548,6.452,0,0,0,19,31.667
,Isaiah  Williams,NYJ,WR,1,1,1,4,0,1,1,4,20,40.816,9,64.286,7.143,0,0,0,1,2.128
,Mason  Taylor,NYJ,TE,1,2,1,4,0,2,1,4,36,73.469,12,85.714,14.286,2,100,12.5,2,4.255
,Brian  Robinson,SF,RB,1,1,1,4,0,1,1,4,13,21.667,5,12.821,2.564,0,0,0,9,15
,Jeremy  McNichols,WAS,RB,1,1,1,4,0,1,1,4,15,28.302,10,41.667,4.167,0,0,0,6,11.765
,Ben  Sinnott,WAS,TE,1,1,1,4,1,1,1,4,20,37.736,7,29.167,4.167,1,100,3.846,1,1.961
,Kenneth  Gainwell,PIT,RB,1,3,2,4,0,3,2,4,26,52,25,73.529,8.824,1,33.333,2.941,3,6
,Tre  Harris,LAC,WR,1,2,2,4,0,2,2,4,29,40.845,13,34.211,5.263,1,50,2.5,2,2.899
,Jonnu  Smith,PIT,TE,1,2,1,4,0,2,1,4,33,66,25,73.529,5.882,2,100,5.882,2,4
,Ashton  Jeanty,LV,RB,1,5,3,3,0,5,3,3,51,85,28,84.848,15.152,1,20,2.857,24,41.379
,Josh  Downs,IND,WR,1,2,1,3,0,2,1,3,34,42.5,20,60.606,6.061,2,100,5.128,2,2.703
,Christian  Kirk,HST,WR,1,3,1,3,0,3,1,3,27,38.028,20,42.553,6.383,2,66.667,4.082,3,4.348
,Dylan  Sampson,CLV,RB,1,1,1,3,0,1,1,3,19,25.333,12,31.579,2.632,0,0,0,3,4.286
,John  Metchie III,NYJ,WR,1,1,1,3,0,1,1,3,7,14.286,1,7.143,7.143,1,100,6.25,2,4.255
,TreVeyon  Henderson,NE,RB,1,1,1,3,0,1,1,3,48,76.19,27,84.375,3.125,0,0,0,15,25.424
,Kenneth  Walker III,SEA,RB,1,1,1,3,0,1,1,3,24,40.678,8,61.538,7.692,1,100,7.692,15,25.424
,Rashid  Shaheed,SEA,WR,1,1,1,3,0,1,1,3,19,32.203,8,61.538,7.692,0,0,0,3,5.085
,Adam  Trautman,DEN,TE,1,1,1,2,0,1,1,2,37,64.912,12,40,3.333,0,0,0,1,1.754
,Chuba  Hubbard,CAR,RB,1,1,1,1,0,1,1,1,11,22,8,29.63,3.704,1,100,3.704,4,8
,Isaiah  Davis,NYJ,RB,1,1,1,1,0,1,1,1,14,28.571,7,50,7.143,0,0,0,4,8.511
,Tyler  Badie,DEN,RB,1,1,0,0,0,1,0,0,11,19.298,11,36.667,3.333,0,0,0,,
,Jack  Bech,LV,WR,1,1,0,0,0,1,0,0,14,23.333,7,21.212,3.03,1,100,2.857,1,1.724
,Trent  Sherfield,DEN,WR,1,0,0,0,0,0,0,0,15,26.316,7,23.333,0,,0,,0,0
,Mo  Alie-Cox,IND,TE,1,1,0,0,0,1,0,0,33,41.25,13,39.394,3.03,1,100,2.564,1,1.351
,Tyler  Allgeier,ATL,RB,1,0,0,0,0,0,0,0,22,36.667,10,32.258,0,,0,,11,18.333
,David  Sills,ATL,WR,1,1,0,0,0,1,0,0,29,48.333,17,54.839,3.226,1,100,3.226,1,1.667
,Ashton  Dulin,IND,WR,1,0,0,0,0,0,0,0,15,18.75,5,15.152,0,,0,,1,1.351
,Tyler  Goodson,IND,RB,1,0,0,0,0,0,0,0,2,2.5,1,3.03,0,,0,,1,1.351
,Tommy  Tremble,CAR,TE,1,0,0,0,0,0,0,0,34,68,16,59.259,0,,0,,0,0
,Mitchell  Evans,CAR,TE,1,1,0,0,0,1,0,0,18,36,6,22.222,3.704,0,0,0,1,2
,Xavier  Legette,CAR,WR,1,1,0,0,0,1,0,0,33,66,22,81.481,3.704,1,100,3.704,1,2
,Jimmy  Horn Jr.,CAR,WR,1,0,0,0,0,0,0,0,10,20,4,14.815,0,,0,,0,0
,Brandin  Cooks,NO,WR,1,0,0,0,0,0,0,0,33,48.529,21,70,0,,0,,0,0
,Taysom  Hill,NO,QB,1,1,0,0,0,1,0,0,22,32.353,5,16.667,3.333,0,0,0,8,11.94
,DJ  Moore,CHI,WR,1,4,0,0,0,4,0,0,41,59.42,26,72.222,11.111,2,50,4.878,4,6.25
,Kyle  Monangai,CHI,RB,1,1,0,0,0,1,0,0,25,36.232,15,41.667,2.778,0,0,0,8,12.5
,Tyrone  Tracy Jr.,NYG,RB,1,2,1,0,0,2,1,0,47,64.384,29,72.5,5,0,0,0,16,22.857
,Ray-Ray  McCloud,NYG,WR,1,0,0,0,0,0,0,0,19,26.027,15,37.5,0,,0,,0,0
,Gunner  Olszewski,NYG,WR,1,2,0,0,0,2,0,0,26,35.616,15,37.5,5,1,50,2.326,2,2.857
,Harrison  Bryant,HST,TE,1,0,0,0,0,0,0,0,13,18.31,6,12.766,0,,0,,0,0
,Tim  Patrick,JAX,WR,1,0,0,0,0,0,0,0,38,64.407,18,64.286,0,,0,,0,0
,Xavier  Hutchinson,HST,WR,1,0,0,0,0,0,0,0,34,47.887,23,48.936,0,,0,,0,0
,Dare  Ogunbowale,HST,RB,1,0,0,0,0,0,0,0,4,5.634,3,6.383,0,,0,,0,0
,Dyami  Brown,JAX,WR,1,1,0,0,0,1,0,0,21,35.593,11,39.286,3.571,0,0,0,1,1.818
,Alec  Ingold,MIA,FB,1,0,0,0,0,0,0,0,19,35.849,7,33.333,0,,0,,1,1.887
,Ollie  Gordon II,MIA,RB,1,0,0,0,0,0,0,0,3,5.66,1,4.762,0,,0,,1,1.887
,Ray  Davis,BUF,RB,1,2,1,0,0,2,1,0,6,8.824,2,4.651,4.651,0,0,0,4,6.154
,Ben  Yurosek,MIN,TE,1,0,0,0,0,0,0,0,12,18.462,4,9.302,0,,0,,0,0
,Jamari  Thrash,CLV,WR,1,1,0,0,0,1,0,0,21,28,15,39.474,2.632,1,100,2.326,1,1.429
,Jeremy  Ruckert,NYJ,TE,1,1,1,0,0,1,1,0,22,44.898,4,28.571,7.143,0,0,0,1,2.128
,Garrett  Wilson,NYJ,WR,1,3,0,0,0,3,0,0,20,40.816,11,78.571,21.429,2,66.667,12.5,3,6.383
,Tyler  Johnson,NYJ,WR,1,1,0,0,0,1,0,0,30,61.224,9,64.286,7.143,1,100,6.25,1,2.128
,Andrew  Beck,NYJ,FB,1,0,0,0,0,0,0,0,7,14.286,1,7.143,0,,0,,0,0
,Arian  Smith,NYJ,WR,1,0,0,0,0,0,0,0,29,59.184,8,57.143,0,,0,,1,2.128
,Blake  Whiteheart,CLV,TE,1,0,0,0,0,0,0,0,8,10.667,3,7.895,0,,0,,0,0
,Malachi  Corley,CLV,WR,1,1,0,0,0,1,0,0,18,24,6,15.789,2.632,0,0,0,3,4.286
,Gage  Larvadain,CLV,WR,1,0,0,0,0,0,0,0,17,22.667,9,23.684,0,,0,,0,0
,Jerome  Ford,CLV,RB,1,1,0,0,0,1,0,0,14,18.667,11,28.947,2.632,0,0,0,2,2.857
,Payne  Durham,TB,TE,1,1,0,0,0,1,0,0,19,28.788,8,17.778,2.222,1,100,2.222,1,1.515
,Austin  Hooper,NE,TE,1,1,0,0,0,1,0,0,31,49.206,15,46.875,3.125,1,100,2.778,1,1.695
,Kameron  Johnson,TB,WR,1,1,0,0,0,1,0,0,9,13.636,5,11.111,2.222,1,100,2.222,2,3.03
,Ryan  Miller,TB,WR,1,0,0,0,0,0,0,0,8,12.121,1,2.222,0,,0,,0,0
,AJ  Barner,SEA,TE,1,0,0,0,0,0,0,0,21,35.593,6,46.154,0,,0,,2,3.39
,Zach  Charbonnet,SEA,RB,1,0,0,0,0,0,0,0,23,38.983,3,23.077,0,,0,,14,23.729
,Michael  Carter,ARZ,RB,1,0,0,0,0,0,0,0,9,11.688,6,12,0,,0,,3,4.11
,Zay  Jones,ARZ,WR,1,1,0,0,0,1,0,0,10,12.987,8,16,2,0,0,0,1,1.37
,Greg  Dortch,ARZ,WR,1,0,0,0,0,0,0,0,27,35.065,19,38,0,,0,,2,2.74
,George  Holani,SEA,RB,1,0,0,0,0,0,0,0,10,16.949,1,7.692,0,,0,,7,11.864
