BASIC,BASIC,BASIC,TOTAL,TOTAL,PASSING,PASSING,RUSHING,RUSHING
Rk,Tm,G,DVOA,Weighted DVOA,Passing DVOA,Unadjusted Passing DVOA,Rushing DVOA,Unadjusted Rushing DVOA
,TB,1,47.35,47.35,97.22,105.89,25.63,26.5
,PIT,1,31.31,31.31,62.27,56.39,9.59,-8.5
,KC,1,54.47,54.47,74.21,58.9,21.77,13.64
,NYG,1,23.8,23.8,60.78,57.05,11.19,15.93
,LA,1,2.54,2.54,13.21,20.9,0.86,5.36
,SEA,1,19.19,19.19,78.27,76.62,-50.51,-58.07
,ATL,1,14.73,14.73,38.67,37.77,11.62,29.06
,GB,1,23.21,23.21,31.81,49.21,15.07,25.92
,IND,1,40.31,40.31,44.17,43.48,35.76,36.71
,CAR,1,21.69,21.69,23.21,30.06,29.97,35.95
,CHI,1,21.88,21.88,26.24,29.15,23.54,23.44
,DEN,1,-28.95,-28.95,-5.38,11,-39.79,-54.11
,LV,1,-32.62,-32.62,-10.37,-3.2,-45.59,-39.77
,JAX,1,-2.71,-2.71,4.2,-3.72,4.89,-11.4
,LAC,1,-10.76,-10.76,18.41,43.21,-18.27,-12.47
,ARZ,1,12.15,12.15,28.59,25.92,0.55,0.8
,CIN,1,16.49,16.49,31.78,23.87,6.05,3.44
,NE,1,5.94,5.94,94.58,107.07,-60.46,-57.1
,DET,1,14.89,14.89,41.51,39.77,-14.8,-16.52
,WAS,1,-1.77,-1.77,51.22,54.76,-40.39,-36.24
,MIA,1,-4.32,-4.32,-27.12,-31.2,27.45,37.54
,NO,1,-0.93,-0.93,2.58,20.44,3.99,-4.13
,DAL,1,9.17,9.17,69.27,73.67,-53.97,-64.61
,BLT,1,-24.94,-24.94,-46.38,-57.76,2.68,-0.5
,BUF,1,-0.42,-0.42,5.4,-16.89,10.06,14.05
,PHI,1,-5.54,-5.54,16.06,9.27,-41.77,-31.9
,TEN,1,-56.51,-56.51,-65.74,-66.89,-14.26,-15.66
,NYJ,1,-62.36,-62.36,-97.62,-109.09,-19.64,-24.79
,CLV,1,-39.56,-39.56,-43.58,-45.72,-12.11,-7.22
,SF,1,-23.99,-23.99,-18.68,-19.77,-6.69,-12.71
