event_id,home_team,away_team,commence_time,bookmaker,market,player_name,stat_type,line,direction,odds,fetch_time,week,source
a360e4c43576d22057ff90d818928066,Houston Texans,Arizona Cardinals,2025-12-14T18:00:00Z,draftkings,player_pass_tds,C.J. Stroud,Pass TDs,1.5,Over,-159,2025-12-13T11:48:08.360512,15,draftkings
a360e4c43576d22057ff90d818928066,Houston Texans,Arizona Cardinals,2025-12-14T18:00:00Z,draftkings,player_pass_tds,C.J. Stroud,Pass TDs,1.5,Under,124,2025-12-13T11:48:08.360512,15,draftkings
a360e4c43576d22057ff90d818928066,Houston Texans,Arizona Cardinals,2025-12-14T18:00:00Z,draftkings,player_pass_tds,Jacoby Brissett,Pass TDs,1.5,Over,194,2025-12-13T11:48:08.360512,15,draftkings
a360e4c43576d22057ff90d818928066,Houston Texans,Arizona Cardinals,2025-12-14T18:00:00Z,draftkings,player_pass_tds,Jacoby Brissett,Pass TDs,1.5,Under,-253,2025-12-13T11:48:08.360512,15,draftkings
a360e4c43576d22057ff90d818928066,Houston Texans,Arizona Cardinals,2025-12-14T18:00:00Z,draftkings,player_pass_yds,Jacoby Brissett,Pass Yds,230.5,Over,-112,2025-12-13T11:48:08.360512,15,draftkings
a360e4c43576d22057ff90d818928066,Houston Texans,Arizona Cardinals,2025-12-14T18:00:00Z,draftkings,player_pass_yds,Jacoby Brissett,Pass Yds,230.5,Under,-112,2025-12-13T11:48:08.360512,15,draftkings
a360e4c43576d22057ff90d818928066,Houston Texans,Arizona Cardinals,2025-12-14T18:00:00Z,draftkings,player_pass_yds,C.J. Stroud,Pass Yds,227.5,Over,-112,2025-12-13T11:48:08.360512,15,draftkings
a360e4c43576d22057ff90d818928066,Houston Texans,Arizona Cardinals,2025-12-14T18:00:00Z,draftkings,player_pass_yds,C.J. Stroud,Pass Yds,227.5,Under,-112,2025-12-13T11:48:08.360512,15,draftkings
a360e4c43576d22057ff90d818928066,Houston Texans,Arizona Cardinals,2025-12-14T18:00:00Z,draftkings,player_reception_yds,Nico Collins,Rec Yds,73.5,Over,-113,2025-12-13T11:48:08.360512,15,draftkings
a360e4c43576d22057ff90d818928066,Houston Texans,Arizona Cardinals,2025-12-14T18:00:00Z,draftkings,player_reception_yds,Nico Collins,Rec Yds,73.5,Under,-111,2025-12-13T11:48:08.360512,15,draftkings
a360e4c43576d22057ff90d818928066,Houston Texans,Arizona Cardinals,2025-12-14T18:00:00Z,draftkings,player_reception_yds,Trey McBride,Rec Yds,65.5,Over,-110,2025-12-13T11:48:08.360512,15,draftkings
a360e4c43576d22057ff90d818928066,Houston Texans,Arizona Cardinals,2025-12-14T18:00:00Z,draftkings,player_reception_yds,Trey McBride,Rec Yds,65.5,Under,-114,2025-12-13T11:48:08.360512,15,draftkings
a360e4c43576d22057ff90d818928066,Houston Texans,Arizona Cardinals,2025-12-14T18:00:00Z,draftkings,player_reception_yds,Michael Wilson,Rec Yds,63.5,Over,-110,2025-12-13T11:48:08.360512,15,draftkings
a360e4c43576d22057ff90d818928066,Houston Texans,Arizona Cardinals,2025-12-14T18:00:00Z,draftkings,player_reception_yds,Michael Wilson,Rec Yds,63.5,Under,-114,2025-12-13T11:48:08.360512,15,draftkings
a360e4c43576d22057ff90d818928066,Houston Texans,Arizona Cardinals,2025-12-14T18:00:00Z,draftkings,player_reception_yds,Dalton Schultz,Rec Yds,35.5,Over,-114,2025-12-13T11:48:08.360512,15,draftkings
a360e4c43576d22057ff90d818928066,Houston Texans,Arizona Cardinals,2025-12-14T18:00:00Z,draftkings,player_reception_yds,Dalton Schultz,Rec Yds,35.5,Under,-110,2025-12-13T11:48:08.360512,15,draftkings
