BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,RED ZONE,RED ZONE,RED ZONE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
Rk,Player,Tm,Pos,G,SNP,SNP%,ATT,YDS,YPC,TD,FUM,FUML,FD,RZ,GL,GL TD,EPA,EPA/ATT,DYAR,DVOA,FPTS,PPG
,Jaylen Warren,PIT,RB,1,34,47.222,14,143,10.214,2,0,0,4,3,0,0,6.381,0.456,52.836,84.72,29.1,29.1
,Saquon Barkley,PHI,RB,1,52,73.239,21,132,6.286,1,0,0,7,4,1,0,5.632,0.268,26.926,19.96,19.2,19.2
,Derrick Henry,BLT,RB,1,24,43.636,18,128,7.111,2,1,1,6,2,1,1,2.085,0.116,43.239,47.69,24.8,24.8
,Ashton Jeanty,LV,RB,1,49,92.453,24,128,5.333,1,0,0,3,2,0,0,-4.502,-0.188,14.372,6.12,31.8,31.8
,James Cook,BUF,RB,1,28,53.846,16,117,7.313,2,0,0,5,4,1,0,6.076,0.38,65.172,89.65,26.4,26.4
,Christian McCaffrey,SF,RB,1,53,79.104,21,117,5.571,0,0,0,6,5,1,0,2.943,0.14,34.938,30.66,32.6,32.6
,Tony Pollard,TEN,RB,1,38,53.521,21,102,4.857,0,1,0,3,2,0,0,-1.91,-0.091,12.635,8.62,10.2,10.2
,Kenneth Walker III,SEA,RB,1,27,41.538,11,100,9.091,1,0,0,3,0,0,0,4.001,0.364,31.481,79.79,25.4,25.4
,Omarion Hampton,LAC,RB,1,33,50,16,85,5.313,1,0,0,4,5,1,0,1.217,0.076,14.387,14.36,16.5,16.5
,Aaron Jones,MIN,RB,1,38,63.333,21,85,4.048,0,0,0,5,4,0,0,1.854,0.088,-18.527,-30.95,11.3,11.3
,Emanuel Wilson,GB,RB,1,30,40,14,82,5.857,0,0,0,5,2,0,0,3.57,0.255,24.903,33.58,8.2,8.2
,De'Von Achane,MIA,RB,1,41,69.492,15,81,5.4,1,0,0,1,1,0,0,-1.07,-0.071,-24.083,-50.5,18,18
,Tyler Allgeier,ATL,RB,1,26,35.616,16,79,4.938,0,0,0,4,2,1,0,-0.837,-0.052,8.12,4.08,8.3,8.3
,Bijan Robinson,ATL,RB,1,51,69.863,16,76,4.75,0,0,0,4,2,2,0,-3.867,-0.242,-19.985,-34.3,29.8,29.8
,Bucky Irving,TB,RB,1,40,63.492,19,71,3.737,0,0,0,4,3,0,0,0.815,0.043,3.119,-4.52,7.1,7.1
,Tyrone Tracy Jr.,NYG,RB,1,32,65.306,16,71,4.438,0,0,0,3,4,0,0,-3.711,-0.232,8.147,5.16,9.8,9.8
,Kyren Williams,LA,RB,1,62,68.889,23,70,3.043,0,0,0,3,6,2,0,-5.383,-0.234,14.318,4.31,11.5,11.5
,Chase Brown,CIN,RB,1,37,59.677,12,66,5.5,1,0,0,2,3,0,0,2.303,0.192,27.346,52.05,32.9,32.9
,Michael Carter,ARZ,RB,1,31,55.357,11,65,5.909,0,0,0,2,0,0,0,0.049,0.004,5.476,7.2,6.5,6.5
,Chris Rodriguez Jr.,WAS,RB,1,28,54.902,15,63,4.2,1,0,0,5,5,3,0,1.55,0.103,16.541,15.08,13.9,13.9
,D'Andre Swift,CHI,RB,1,35,55.556,13,58,4.462,0,0,0,2,3,0,0,-0.889,-0.068,13.675,16.72,9,9
,Breece Hall,NYJ,RB,1,39,60.938,16,54,3.375,0,0,0,5,1,0,0,-1.604,-0.1,22.849,24.73,8.3,8.3
,Jawhar Jordan,HST,RB,1,28,45.161,15,53,3.533,0,0,0,3,0,0,0,-6.899,-0.46,-1.129,-10.66,12,12
,Tyjae Spears,TEN,RB,1,33,46.479,13,52,4,1,0,0,4,3,1,0,-0.142,-0.011,11.385,10.23,21.5,21.5
,Rhamondre Stevenson,NE,RB,1,56,75.676,8,51,6.375,1,0,0,3,0,0,0,2.852,0.357,15.81,30.8,15.8,15.8
,Kyle Monangai,CHI,RB,1,25,39.683,9,50,5.556,0,0,0,4,1,1,0,-2.542,-0.282,23.473,57.94,12.3,12.3
,RJ Harvey,DEN,RB,1,37,56.061,7,50,7.143,1,0,0,3,0,0,0,2.504,0.358,16.274,41.69,22.1,22.1
,Travis Etienne,JAX,RB,1,47,67.143,16,50,3.125,0,0,0,2,0,0,0,-4.298,-0.269,-11.623,-29.65,16.6,16.6
,Kenneth Gainwell,PIT,RB,1,38,52.778,9,50,5.556,0,0,0,3,2,0,0,1.512,0.168,15.864,36.64,23.8,23.8
,Baker Mayfield,TB,QB,1,63,100,4,49,12.25,0,0,0,2,0,0,0,3.146,0.787,-5.75,-111.2,12.7,12.7
,Shedeur Sanders,CLV,QB,1,66,97.059,4,49,12.25,0,0,0,2,0,0,0,4.016,1.004,0,0,11.18,11.18
,Blake Corum,LA,RB,1,26,28.889,14,48,3.429,1,0,0,4,3,3,1,-0.896,-0.064,26.606,27.67,13.1,13.1
,Devin Singletary,NYG,RB,1,16,32.653,11,47,4.273,0,0,0,3,1,0,0,-0.37,-0.034,18.799,31.34,5.6,5.6
,Jonathan Taylor,IND,RB,1,51,87.931,16,46,2.875,1,0,0,4,4,1,1,-0.361,-0.023,-0.944,-10.05,16.9,16.9
,Rachaad White,TB,RB,1,20,31.746,5,45,9,0,0,0,1,2,1,0,1.311,0.262,2.129,1.77,8,8
,Malik Willis,GB,QB,1,50,66.667,10,44,4.4,0,1,0,3,2,1,0,2.599,0.26,9.966,31,13.24,13.24
,Raheim Sanders,CLV,RB,1,19,27.941,11,42,3.818,0,0,0,4,4,2,0,1.791,0.163,-14.202,-30.9,5.6,5.6
,Justin Herbert,LAC,QB,1,66,100,8,42,5.25,1,1,0,3,2,1,1,-0.634,-0.079,8.646,36.08,30.2,30.2
,Taysom Hill,NO,QB,1,34,42.5,12,42,3.5,0,1,1,3,0,0,0,-7.439,-0.62,-16.681,-37.69,17.32,17.32
,Jalen Hurts,PHI,QB,1,67,94.366,7,40,5.714,0,0,0,3,1,1,0,1.492,0.213,-12.983,-105.56,19.4,19.4
,Tank Bigsby,PHI,RB,1,6,8.451,4,37,9.25,1,0,0,2,0,0,0,3.172,0.793,17.032,117.26,9.7,9.7
,Jaleel McLaughlin,DEN,RB,1,10,15.152,5,37,7.4,0,0,0,1,0,0,0,1.578,0.316,12.788,54.56,3.7,3.7
,Josh Jacobs,GB,RB,1,27,36,12,36,3,0,1,1,2,5,2,0,-9.587,-0.799,-33.195,-70.28,6.8,6.8
,Jaylen Wright,MIA,RB,1,18,30.508,9,35,3.889,1,0,0,3,2,1,0,-0.521,-0.058,4.095,2.06,12.3,12.3
,Javonte Williams,DAL,RB,1,33,55.932,9,34,3.778,0,0,0,1,1,0,0,-0.382,-0.042,2.458,-1.26,6.3,6.3
,Isiah Pacheco,KC,RB,1,31,67.391,8,34,4.25,0,0,0,2,1,0,0,0.982,0.123,10.924,19.17,13.5,13.5
,Nick Chubb,HST,RB,1,20,32.258,6,33,5.5,0,0,0,1,0,0,0,-1.685,-0.281,-5.367,-27.61,5.2,5.2
,Zach Charbonnet,SEA,RB,1,34,52.308,9,32,3.556,1,0,0,3,2,1,0,1.623,0.18,14.036,25.82,15.4,15.4
,Corey Kiner,ARZ,RB,1,9,16.071,6,32,5.333,0,0,0,2,2,0,0,1.468,0.245,13.638,40.72,3.2,3.2
,Rashid Shaheed,SEA,WR,1,33,50.769,1,31,31,0,0,0,1,0,0,0,1.776,1.776,17.335,326.72,3.1,3.1
,Caleb Williams,CHI,QB,1,63,100,3,30,10,0,0,0,1,0,0,0,2.04,0.68,0,0,21,21
,Malachi Corley,CLV,WR,1,28,41.176,3,30,10,0,0,0,2,1,0,0,1.298,0.433,15.466,71.41,8.2,8.2
,Emari Demercado,ARZ,RB,1,17,30.357,5,30,6,0,0,0,1,0,0,0,0.005,0.001,3.091,9.09,3,3
,Rico Dowdle,CAR,RB,1,30,53.571,9,29,3.222,0,0,0,2,1,0,0,-1.987,-0.221,1.558,-4.08,8.3,8.3
,Jonnu Smith,PIT,TE,1,26,36.111,2,28,14,0,0,0,1,0,0,0,1.958,0.979,17.903,133.35,2.8,2.8
,Chuba Hubbard,CAR,RB,1,22,39.286,6,27,4.5,0,0,0,4,3,0,0,1.049,0.175,10.551,23.82,4.4,4.4
,Jacory Croskey-Merritt,WAS,RB,1,11,21.569,8,25,3.125,1,0,0,2,5,4,1,-0.033,-0.004,-11.181,-34.83,8.5,8.5
,Drake Maye,NE,QB,1,73,98.649,10,25,2.5,0,1,0,3,3,0,0,-4.257,-0.426,13.79,60.45,23.7,23.7
,Jimmy Horn Jr.,CAR,WR,1,12,21.429,1,25,25,0,0,0,1,0,0,0,1.601,1.601,15.664,291.48,2.5,2.5
,Samaje Perine,CIN,RB,1,24,38.71,7,25,3.571,1,0,0,3,2,1,0,1.762,0.252,15.035,32.63,12.1,12.1
,Malik Davis,DAL,RB,1,18,30.508,8,23,2.875,0,0,0,2,0,0,0,-2.065,-0.258,0.022,-8.52,2.3,2.3
,Quinshon Judkins,CLV,RB,1,24,35.294,8,22,2.75,0,0,0,2,2,1,0,-1.856,-0.232,-14.346,-45.17,10.1,10.1
,Bryce Young,CAR,QB,1,56,100,4,20,5,0,0,0,0,0,0,0,0.797,0.199,4.294,75.51,17.64,17.64
,J.J. McCarthy,MIN,QB,1,32,53.333,2,20,10,1,0,0,1,1,0,0,3.82,1.91,0,0,10.32,10.32
,Trevor Lawrence,JAX,QB,1,70,100,6,20,3.333,1,0,0,5,2,2,1,3.046,0.508,8.118,13.32,31.16,31.16
,Brian Robinson,SF,RB,1,10,14.925,5,20,4,0,0,0,1,3,1,0,-0.273,-0.055,0.182,-7.75,2,2
,Audric Estimé,NO,RB,1,43,53.75,5,19,3.8,0,0,0,2,0,0,0,1.616,0.323,8.135,24.81,6.6,6.6
,Zay Flowers,BLT,WR,1,47,85.455,1,18,18,1,0,0,1,1,0,0,2.372,2.372,22.567,455.39,23.2,23.2
,Josh Allen,BUF,QB,1,52,100,7,17,2.429,0,0,0,2,1,0,0,0.868,0.124,6.613,27.52,6.9,6.9
,Trayveon Williams,CLV,RB,1,20,29.412,3,17,5.667,0,0,0,1,0,0,0,1.495,0.498,0.567,-4.23,9.5,9.5
,Ty Johnson,BUF,RB,1,16,30.769,3,16,5.333,1,0,0,2,3,1,1,2.247,0.749,23.533,103.42,7.6,7.6
,Ray Davis,BUF,RB,1,6,11.538,3,14,4.667,0,0,0,1,0,0,0,0.409,0.136,6.927,50.75,5.4,5.4
