event_id,home_team,away_team,commence_time,bookmaker,market,player_name,stat_type,line,direction,odds,fetch_time,week,source
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_pass_tds,Josh Allen,Pass TDs,1.5,Over,113,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_pass_tds,Josh Allen,Pass TDs,1.5,Under,-144,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_pass_tds,Davis Mills,Pass TDs,1.5,Over,135,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_pass_tds,Davis Mills,Pass TDs,1.5,Under,-173,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_pass_yds,Josh Allen,Pass Yds,224.5,Over,-112,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_pass_yds,Josh Allen,Pass Yds,224.5,Under,-112,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_pass_yds,Davis Mills,Pass Yds,210.5,Over,-113,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_pass_yds,Davis Mills,Pass Yds,210.5,Under,-111,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_reception_yds,Nico Collins,Rec Yds,74.5,Over,-113,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_reception_yds,Nico Collins,Rec Yds,74.5,Under,-111,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_reception_yds,Khalil Shakir,Rec Yds,41.5,Over,-114,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_reception_yds,Khalil Shakir,Rec Yds,41.5,Under,-110,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_reception_yds,Dalton Schultz,Rec Yds,37.5,Over,-110,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_reception_yds,Dalton Schultz,Rec Yds,37.5,Under,-114,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_reception_yds,Joshua Palmer,Rec Yds,27.5,Over,-113,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_reception_yds,Joshua Palmer,Rec Yds,27.5,Under,-111,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_reception_yds,Jayden Higgins,Rec Yds,27.5,Over,-111,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_reception_yds,Jayden Higgins,Rec Yds,27.5,Under,-113,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_reception_yds,Dawson Knox,Rec Yds,26.5,Over,-110,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_reception_yds,Dawson Knox,Rec Yds,26.5,Under,-114,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_reception_yds,Keon Coleman,Rec Yds,23.5,Over,-111,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_reception_yds,Keon Coleman,Rec Yds,23.5,Under,-113,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_reception_yds,Tyrell Shavers,Rec Yds,20.5,Over,-114,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_reception_yds,Tyrell Shavers,Rec Yds,20.5,Under,-110,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_reception_yds,James Cook,Rec Yds,15.5,Over,-108,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_reception_yds,James Cook,Rec Yds,15.5,Under,-116,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_reception_yds,Xavier Hutchinson,Rec Yds,14.5,Over,-115,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_reception_yds,Xavier Hutchinson,Rec Yds,14.5,Under,-109,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_reception_yds,Christian Kirk,Rec Yds,12.5,Over,-112,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_reception_yds,Christian Kirk,Rec Yds,12.5,Under,-112,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_reception_yds,Woody Marks,Rec Yds,11.5,Over,-113,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_reception_yds,Woody Marks,Rec Yds,11.5,Under,-111,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_receptions,Nico Collins,Receptions,5.5,Over,-118,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_receptions,Nico Collins,Receptions,5.5,Under,-108,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_receptions,Khalil Shakir,Receptions,4.5,Over,-126,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_receptions,Khalil Shakir,Receptions,4.5,Under,-101,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_receptions,Dalton Schultz,Receptions,4.5,Over,107,2025-11-19T16:27:16.937329,11,draftkings
cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,Buffalo Bills,2025-11-21T01:15:00Z,draftkings,player_receptions,Dalton Schultz,Receptions,4.5,Under,-136,2025-11-19T16:27:16.937329,11,draftkings
