BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT
Rk,Player,Tm,Pos,G,TAR,REC,YDS,TD,WIDE,OW%,WYPR,SLOT,SLOT%,SYPR,BACK,BACK%,BYPR,LINE,LINE%,IYPR,OFF,OFF%,OYPR
,Jameson  Williams,DET,WR,1,10,7,144,1,24,82.759,3.75,5,17.241,10.8,0,0,0,0,0,0,0,0,0
,A.J.  Brown,PHI,WR,1,12,10,132,2,24,77.419,4.833,7,22.581,2.286,0,0,0,0,0,0,0,0,0
,CeeDee  Lamb,DAL,WR,1,9,7,112,1,20,57.143,3.85,14,40,1.929,1,2.857,8,0,0,0,0,0,0
,Ja'Marr  Chase,CIN,WR,1,14,7,110,0,36,76.596,3.056,11,23.404,0,0,0,0,0,0,0,0,0,0
,Zach  Ertz,WAS,TE,1,13,10,106,0,3,7.5,1.667,25,62.5,1.24,0,0,0,6,15,8.5,6,15,3.167
,Adonai  Mitchell,NYJ,WR,1,12,8,102,1,23,67.647,3.87,11,32.353,1.182,0,0,0,0,0,0,0,0,0
,Nico  Collins,HST,WR,1,10,5,98,0,19,65.517,4.368,10,34.483,1.5,0,0,0,0,0,0,0,0,0
,Terry  McLaurin,WAS,WR,1,14,7,96,1,28,87.5,2.964,4,12.5,3.25,0,0,0,0,0,0,0,0,0
,Isaiah  Likely,BLT,TE,1,6,5,95,0,3,13.636,12.667,17,77.273,3.353,1,4.545,0,0,0,0,1,4.545,0
,Dontayvion  Wicks,GB,WR,1,7,6,94,2,11,50,4.273,10,45.455,4.7,0,0,0,0,0,0,1,4.545,0
,Devaughn  Vele,NO,WR,1,8,8,93,1,23,60.526,2.826,13,34.211,2.154,0,0,0,0,0,0,2,5.263,0
,Rashee  Rice,KC,WR,1,12,8,92,2,24,70.588,2.125,10,29.412,4.1,0,0,0,0,0,0,0,0,0
,Jakobi  Meyers,JAX,WR,1,6,6,90,1,22,78.571,4.091,6,21.429,0,0,0,0,0,0,0,0,0,0
,George  Pickens,DAL,WR,1,13,6,88,0,31,91.176,2.839,3,8.824,0,0,0,0,0,0,0,0,0,0
