BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
Rk,Player,Tm,Pos,G,SNP,SNP%,ATT/G,DB,ATT,COM,COM%,YDS,YPA,TD,INT,FD,300Yd,RTG,EPA,EPA/DB,DYAR,DVOA,FPTS,PPG
,Jordan  Love,GB,QB,1,63,100,37,37,37,29,78.378,360,9.73,3,0,16,1,134.234,21.295,0.576,194.352,61.52,26.3,26.3
,C.J.  Stroud,HST,QB,1,78,100,39,42,39,30,76.923,318,8.154,2,1,16,1,106.571,19.837,0.472,88.411,24.16,21.72,21.72
,Patrick  Mahomes,KC,QB,1,70,100,34,40,34,25,73.529,299,8.794,3,2,16,0,104.902,14.993,0.375,16.798,-4.41,22.96,22.96
,Caleb  Williams,CHI,QB,1,64,100,38,41,38,25,65.789,285,7.5,0,1,13,0,77.193,2.528,0.062,-37.413,-25.68,11.8,11.8
,Drake  Maye,NE,QB,1,69,100,24,34,24,18,75,282,11.75,3,1,11,0,135.764,7.95,0.234,32.613,5.83,26.28,26.28
,Daniel  Jones,IND,QB,1,47,88.679,29,33,29,21,72.414,272,9.379,3,0,14,0,135.991,13.841,0.419,122.868,52.38,23.18,23.18
,Cam  Ward,TEN,QB,1,68,100,38,43,38,22,57.895,259,6.816,1,1,13,0,76.535,-4.643,-0.108,-8.731,-14.4,12.76,12.76
,Bo  Nix,DEN,QB,1,56,98.246,29,29,29,19,65.517,247,8.517,4,1,15,0,117.385,18.53,0.639,136.847,55.47,23.78,23.78
,Justin  Fields,NYJ,QB,1,74,98.667,32,37,32,21,65.625,244,7.625,1,0,12,0,98.958,13.997,0.378,83.745,27.07,16.86,16.86
,Justin  Herbert,LAC,QB,1,77,100,25,34,25,18,72,227,9.08,3,1,13,0,122.833,12.251,0.36,93.987,45.21,25.28,25.28
,Joe  Flacco,CIN,QB,1,59,100,34,36,34,21,61.765,223,6.559,2,0,11,0,100.49,2.356,0.065,32.487,2.99,24.32,24.32
,Aaron  Rodgers,PIT,QB,1,57,100,36,39,36,24,66.667,219,6.083,2,0,10,0,101.505,-5.022,-0.129,51.079,10.39,16.76,16.76
,Marcus  Mariota,WAS,QB,1,55,100,30,35,30,21,70,213,7.1,1,2,9,0,73.333,-6.46,-0.185,-63.382,-41.51,11.32,11.32
,Tua  Tagovailoa,MIA,QB,1,58,89.231,26,27,26,20,76.923,205,7.885,4,0,10,0,138.622,11.825,0.438,139.583,61.9,24.2,24.2
,Mac  Jones,SF,QB,1,46,100,32,36,32,19,59.375,193,6.031,2,1,10,0,84.505,-3.175,-0.088,32.096,4.25,16.02,16.02
,Jaxson  Dart,NYG,QB,1,52,100,24,31,24,14,58.333,193,8.042,1,0,9,0,98.09,2.734,0.088,65.397,28.26,19.42,19.42
,Dak  Prescott,DAL,QB,1,64,87.671,31,38,31,19,61.29,188,6.065,0,2,9,0,51.546,-2.671,-0.07,-57.884,-34.59,6.62,6.62
,Tyler  Huntley,BLT,QB,1,60,100,22,25,22,17,77.273,186,8.455,1,0,8,0,116.856,5.683,0.227,93.277,50.38,16.74,16.74
,Jalen  Hurts,PHI,QB,1,56,93.333,20,27,20,15,75,179,8.95,4,0,10,0,141.458,9.805,0.363,86.963,41.01,25.36,25.36
,Andy  Dalton,CAR,QB,1,60,100,24,32,24,16,66.667,175,7.292,0,1,11,0,70.66,-11.615,-0.363,-95.899,-58.32,5.1,5.1
,Kirk  Cousins,ATL,QB,1,49,100,31,32,31,21,67.742,173,5.581,0,0,7,0,81.788,-3.463,-0.108,-18.985,-19.73,7.12,7.12
,Josh  Allen,BUF,QB,1,49,81.667,19,21,19,12,63.158,163,8.579,1,0,8,0,108.004,9.387,0.447,42.38,20.85,23.22,23.22
,Dillon  Gabriel,CLV,QB,1,53,98.148,35,37,35,21,60,156,4.457,2,2,7,0,65.893,-17.398,-0.47,-131.069,-72.35,11.54,11.54
,Baker  Mayfield,TB,QB,1,54,96.429,24,27,24,15,62.5,152,6.333,0,0,8,0,80.556,-1.771,-0.066,-57.733,-44.71,6.08,6.08
,Carson  Wentz,MIN,QB,1,41,87.234,27,32,27,15,55.556,144,5.333,1,1,8,0,67.515,-9.522,-0.298,-110.723,-68.28,7.76,7.76
,Spencer  Rattler,NO,QB,1,34,44.737,21,26,21,15,71.429,136,6.476,0,1,8,0,68.75,-12.897,-0.496,-47.971,-45.29,4.64,4.64
,Tyler  Shough,NO,QB,1,42,55.263,30,35,30,17,56.667,128,4.267,0,1,7,0,53.194,-15.056,-0.43,-94.226,-54.61,4.32,4.32
