BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
Rk,Player,Tm,Pos,G,SNP,SNP%,ATT/G,DB,ATT,COM,COM%,YDS,YPA,TD,INT,FD,300Yd,RTG,EPA,EPA/DB,DYAR,DVOA,FPTS,PPG
,Jared  Goff,DET,QB,1,59,86.765,33,33,33,25,75.758,320,9.697,3,0,19,1,135.922,25.894,0.785,0,0,24.8,24.8
,Mac  Jones,SF,QB,1,60,100,39,39,39,33,84.615,319,8.179,3,1,17,1,115.705,12.11,0.311,0,0,23.06,23.06
,Josh  Allen,BUF,QB,1,64,94.118,40,45,40,28,70,306,7.65,2,1,12,1,98.542,3.973,0.088,0,0,21.34,21.34
,Davis  Mills,HST,QB,1,71,100,45,49,45,27,60,292,6.489,2,1,17,0,84.676,3.976,0.081,0,0,25.68,25.68
,Tyler  Shough,NO,QB,1,59,86.765,27,30,27,19,70.37,282,10.444,2,0,9,0,128.935,10.709,0.357,0,0,18.98,18.98
,Matthew  Stafford,LA,QB,1,67,100,36,37,36,24,66.667,280,7.778,4,0,20,0,127.083,22.629,0.612,0,0,26.9,26.9
,Baker  Mayfield,TB,QB,1,66,100,43,45,43,28,65.116,273,6.349,3,0,14,0,106.056,1.634,0.036,0,0,22.92,22.92
,Drake  Maye,NE,QB,1,63,100,31,36,31,16,51.613,270,8.71,2,1,9,0,89.449,7.568,0.21,0,0,18.1,18.1
,Jacoby  Brissett,ARZ,QB,1,74,96.104,44,53,44,22,50,258,5.864,2,0,15,0,83.333,-13.223,-0.249,0,0,21.42,21.42
,Daniel  Jones,IND,QB,1,80,100,26,39,26,19,73.077,255,9.808,1,1,10,0,100.641,-1.067,-0.027,0,0,17.5,17.5
,J.J.  McCarthy,MIN,QB,1,65,100,42,47,42,20,47.619,248,5.905,1,2,9,0,54.464,-4.471,-0.095,0,0,14.72,14.72
,Jaxson  Dart,NYG,QB,1,51,69.863,29,32,29,19,65.517,242,8.345,0,0,10,0,91.451,3.468,0.108,0,0,28.28,28.28
,Caleb  Williams,CHI,QB,1,69,100,36,41,36,20,55.556,220,6.111,1,0,11,0,83.102,-2.638,-0.064,0,0,25.1,25.1
,Justin  Herbert,LAC,QB,1,71,100,33,40,33,20,60.606,220,6.667,1,0,7,0,90.467,-6.987,-0.175,0,0,14.7,14.7
,Marcus  Mariota,WAS,QB,1,50,94.34,22,26,22,16,72.727,213,9.682,2,0,9,0,133.333,11.871,0.457,0,0,18.72,18.72
,Sam  Darnold,SEA,QB,1,53,89.831,12,13,12,10,83.333,178,14.833,1,1,6,0,111.806,6.339,0.488,0,0,8.92,8.92
,Michael  Penix Jr.,ATL,QB,1,60,100,28,31,28,12,42.857,177,6.321,1,0,10,0,76.042,-5.452,-0.176,0,0,10.98,10.98
,Lamar  Jackson,BLT,QB,1,69,100,29,33,29,17,58.621,176,6.069,1,0,9,0,87.716,-0.427,-0.013,0,0,14.64,14.64
,Tua  Tagovailoa,MIA,QB,1,53,100,21,21,21,15,71.429,173,8.238,2,2,9,0,87.996,9.006,0.429,0,0,10.82,10.82
,Dillon  Gabriel,CLV,QB,1,75,100,32,43,32,17,53.125,167,5.219,2,0,8,0,88.932,-4.787,-0.111,0,0,20.08,20.08
,Aaron  Rodgers,PIT,QB,1,50,100,31,34,31,16,51.613,161,5.194,1,2,6,0,50.605,-17.466,-0.514,0,0,6.44,6.44
,Trevor  Lawrence,JAX,QB,1,59,100,23,32,23,13,56.522,158,6.87,1,1,8,0,74.185,-4.989,-0.156,0,0,11.82,11.82
,Bo  Nix,DEN,QB,1,56,98.246,28,29,28,16,57.143,150,5.357,1,2,5,0,54.167,-9.626,-0.332,0,0,5.8,5.8
,Geno  Smith,LV,QB,1,58,96.667,26,34,26,16,61.538,143,5.5,0,1,6,0,60.256,-17.255,-0.508,0,0,4.42,4.42
,Bryce  Young,CAR,QB,1,50,100,25,27,25,17,68,124,4.96,0,1,6,0,62.75,-6.43,-0.238,0,0,3.56,3.56
,Justin  Fields,NYJ,QB,1,49,100,11,16,11,6,54.545,54,4.909,1,1,1,0,60.417,-8.939,-0.559,0,0,6.96,6.96
,Russell  Wilson,NYG,QB,1,22,30.137,7,11,7,3,42.857,45,6.429,0,0,1,0,64.583,-2.601,-0.236,0,0,3,3
