BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,BASE,BASE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE
Rk,Player,Tm,Pos,G,ATT,YDS,YPC,TD,FUM,FUML,SNP,SNP%,ATT%,TCH,TCH%,OPP,OPP%,rATT%,rTCH%,rOPP%,ATT/G,TCH/G
,Jonathan  Taylor,IND,RB,1,32,244,7.625,3,0,0,68,85,78.049,35,58.333,35,47.297,94.118,58.333,47.297,32,35
,De'Von  Achane,MIA,RB,1,22,174,7.909,2,0,0,47,88.679,68.75,28,59.574,28,52.83,73.333,59.574,52.83,22,28
,TreVeyon  Henderson,NE,RB,1,14,147,10.5,2,0,0,48,76.19,51.852,15,34.884,15,25.424,70,34.884,25.424,14,15
,Jahmyr  Gibbs,DET,RB,1,15,142,9.467,2,0,0,34,50,45.455,18,31.034,18,26.471,46.875,31.034,26.471,15,18
,Kimani  Vidal,LAC,RB,1,25,95,3.8,1,0,0,64,90.141,80.645,26,50.98,26,37.681,96.154,50.98,37.681,25,26
,Bijan  Robinson,ATL,RB,1,17,84,4.941,0,0,0,51,85,58.621,19,46.341,19,31.667,60.714,46.341,31.667,17,19
,Alvin  Kamara,NO,RB,1,22,83,3.773,0,0,0,43,63.235,59.459,25,44.643,25,37.313,84.615,44.643,37.313,22,25
,Breece  Hall,NYJ,RB,1,21,83,3.952,0,0,0,31,63.265,63.636,22,56.41,22,46.809,80.769,56.41,46.809,21,22
,Zach  Charbonnet,SEA,RB,1,14,83,5.929,1,0,0,23,38.983,30.435,14,25,14,23.729,35.897,25,23.729,14,14
,D'Andre  Swift,CHI,RB,1,13,80,6.154,0,0,0,38,55.072,46.429,18,37.5,18,28.125,65,37.5,28.125,13,18
,J.K.  Dobbins,DEN,RB,1,18,77,4.278,0,0,0,30,52.632,66.667,19,44.186,19,33.333,81.818,44.186,33.333,18,19
,Derrick  Henry,BLT,RB,1,20,75,3.75,0,0,0,45,65.217,55.556,23,43.396,23,34.848,74.074,43.396,34.848,20,23
,Quinshon  Judkins,CLV,RB,1,22,75,3.409,0,0,0,38,50.667,68.75,24,48.98,24,34.286,81.481,48.98,34.286,22,24
,Kyren  Williams,LA,RB,1,14,73,5.214,2,0,0,39,58.209,46.667,16,29.63,16,23.881,51.852,29.63,23.881,14,16
,Tyrone  Tracy Jr.,NYG,RB,1,14,71,5.071,0,0,0,47,64.384,46.667,15,28.846,15,21.429,63.636,28.846,21.429,14,15
,David  Montgomery,DET,RB,1,15,71,4.733,0,0,0,37,54.412,45.455,16,27.586,16,23.529,46.875,27.586,23.529,15,16
,Jaylen  Warren,PIT,RB,1,14,70,5,0,0,0,23,46,87.5,16,50,16,32,87.5,50,32,14,16
