BASIC,BASIC,BASIC,DEFENSE,WR1,WR1,WR1,WR2,WR2,WR2,WR3,WR3,WR3,TE,TE,TE,RB,RB,RB
Rk,Tm,G,Defensive DVOA,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G
,CHI,1,-53.41,-50.93,2,22,166.34,2,89,46.36,2,18,-123.35,7,48,-104.05,5,0
,JAX,1,-25.67,5.11,4,25,-7.78,6,58,-95.04,7,59,9.1,2,13,-51.67,3,21
,BLT,1,-43.8,-23.24,10,132,-134.19,0,0,26.74,1,16,-106.14,6,39,53.01,8,38
,LA,1,-1.97,14.74,13,172,30.16,7,126,-14.87,1,20,0,0,0,-82.57,4,20
,PHI,1,-41.79,-82.37,0,0,-27.58,2,17,-20.56,2,10,-107.47,6,28,-56.01,5,9
,DEN,1,-14.2,40.65,2,36,-84.51,3,29,-14.1,9,116,-38.52,7,70,73.38,3,25
,SEA,1,-41.74,-88.52,3,26,98.73,1,16,-23.69,3,13,-68.96,3,19,-12.62,8,46
,HST,1,-19.57,-66.51,5,54,-6.97,1,19,0,0,0,20.25,15,138,-14.38,6,38
,LAC,1,-34.74,2.29,2,35,-36.36,7,51,17.52,2,47,-15.33,7,70,-448.94,1,8
,DET,1,15.77,-13.97,4,71,51.44,9,181,-79.92,1,9,-31.76,9,97,117.66,1,10
,PIT,1,-15.88,-129.2,2,26,102.34,1,10,-40.61,0,0,87.72,11,137,83.09,8,80
,NE,1,16.76,126.38,0,0,-5.42,1,16,-8.35,5,65,33.91,7,80,-8.67,6,32
,ATL,1,8.13,20.76,6,132,0.93,4,64,35.43,6,58,262.55,1,6,-6.77,2,17
,IND,1,-11.23,5.27,7,113,-16.02,5,46,25.47,5,74,17.33,4,36,-111.16,1,2
,MIN,1,1.73,-4.17,6,111,-37.27,3,33,19.41,7,75,-4.61,3,45,14.49,4,30
,DAL,1,25.04,-103.64,2,22,245.17,2,66,110.98,3,47,83.61,5,84,106.62,3,31
,NO,1,7,-15.58,2,25,117.49,2,39,67.19,5,67,-42.94,4,18,81.07,2,14
,KC,1,-6.1,-24.38,5,36,-264.97,2,20,87.42,4,65,36.81,4,61,41.23,4,28
,SF,1,31.12,-10.53,1,43,126.78,1,17,-40.09,4,17,19.53,8,82,18.28,4,11
,TEN,1,27.29,73.85,3,37,78.07,6,96,75.58,4,53,29.7,8,88,108.4,2,21
,TB,1,26.44,-80.49,3,35,29.56,6,78,0,0,0,118.1,13,178,-26.78,8,82
,BUF,1,35.46,-23.96,3,26,176,1,30,-101.18,4,41,-26.44,1,18,20.24,5,40
,MIA,1,9.86,199.45,3,55,-94.92,0,0,150.35,2,26,16.5,8,82,19.55,10,61
,GB,1,30.09,36.3,7,113,156.16,6,85,48.89,8,91,-76.12,1,12,-107.81,1,1
,WAS,1,-1.29,-12.66,4,53,-11.96,5,54,-236.33,1,4,48.85,6,107,33.59,4,28
,ARZ,1,33.26,161.3,3,85,-104.84,1,4,4.96,1,16,56.18,11,98,65.74,6,57
,CAR,1,26.52,55.11,6,85,117.73,5,69,0.36,4,38,55.75,5,37,112.59,4,43
,NYG,1,6.26,115.83,3,69,55.54,3,43,-35.89,1,28,221.1,2,55,227.05,1,16
,LV,1,10.14,184.36,2,41,165.75,2,50,154.43,2,29,55.75,7,74,-19.14,2,14
,NYJ,1,49.03,39.1,4,66,46.3,5,71,186.47,3,53,1.72,3,46,280.36,5,94
,CIN,1,34.63,-30.18,3,68,203.93,1,32,0,0,0,7.28,2,18,263.06,2,32
,CLV,1,17.94,131.79,4,65,37.16,6,88,-94.52,0,0,25.22,6,91,-90.41,1,-2
