BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,BASE,BASE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE
Rk,Player,Tm,Pos,G,ATT,YDS,YPC,TD,FUM,FUML,SNP,SNP%,ATT%,TCH,TCH%,OPP,OPP%,rATT%,rTCH%,rOPP%,ATT/G,TCH/G
,James  Cook,BUF,RB,1,19,216,11.368,2,0,0,27,45,54.286,19,38.776,19,31.667,59.375,38.776,31.667,19,19
,Jonathan  Taylor,IND,RB,1,12,153,12.75,2,0,0,42,79.245,66.667,14,35.897,14,26.923,70.588,35.897,26.923,12,14
,Saquon  Barkley,PHI,RB,1,14,150,10.714,1,0,0,37,61.667,42.424,18,37.5,18,31.579,53.846,37.5,31.579,14,18
,Breece  Hall,NYJ,RB,1,18,133,7.389,2,0,0,41,54.667,48.649,20,33.898,20,28.571,69.231,33.898,28.571,18,20
,Kimani  Vidal,LAC,RB,1,23,117,5.087,1,0,0,52,67.532,53.488,24,39.344,24,34.286,63.889,39.344,34.286,23,24
,J.K.  Dobbins,DEN,RB,1,15,111,7.4,0,0,0,31,54.386,53.571,17,36.17,17,29.825,55.556,36.17,29.825,15,17
,Tank  Bigsby,PHI,RB,1,9,104,11.556,0,0,0,13,21.667,27.273,9,18.75,9,15.789,34.615,18.75,15.789,9,9
,Samaje  Perine,CIN,RB,1,9,94,10.444,1,0,0,25,42.373,39.13,10,22.727,10,17.241,42.857,22.727,17.241,9,10
,TreVeyon  Henderson,NE,RB,1,10,75,7.5,0,1,1,14,20.29,28.571,10,18.868,10,15.385,35.714,18.868,15.385,10,10
,Chase  Brown,CIN,RB,1,12,73,6.083,1,0,0,32,54.237,52.174,15,34.091,15,25.862,57.143,34.091,25.862,12,15
,Derrick  Henry,BLT,RB,1,21,71,3.381,2,0,0,36,60,60,21,40.385,21,35.593,77.778,40.385,35.593,21,21
,De'Von  Achane,MIA,RB,1,18,67,3.722,0,0,0,43,66.154,48.649,23,39.655,23,35.385,48.649,39.655,35.385,18,23
,Isaiah  Davis,NYJ,RB,1,7,65,9.286,0,0,0,29,38.667,18.919,12,20.339,12,17.143,26.923,20.339,17.143,7,12
,Justin  Herbert,LAC,QB,1,7,62,8.857,0,0,0,77,100,16.279,7,11.475,7,10,0,0,0,7,7
,Woody  Marks,HST,RB,1,11,62,5.636,0,0,0,29,37.179,30.556,15,22.727,15,20,37.931,22.727,20,11,15
,Jaylen  Warren,PIT,RB,1,13,62,4.769,0,0,0,37,64.912,72.222,15,35.714,15,26.316,72.222,35.714,26.316,13,15
,Emanuel  Wilson,GB,RB,1,11,61,5.545,0,0,0,26,41.27,42.308,14,25.455,14,22.222,44,25.455,22.222,11,14
,Tyjae  Spears,TEN,RB,1,9,59,6.556,1,0,0,33,48.529,36,12,25.532,12,17.91,39.13,25.532,17.91,9,12
,Isiah  Pacheco,KC,RB,1,12,58,4.833,0,0,0,39,55.714,40,12,21.818,12,17.91,46.154,21.818,17.91,12,12
,Nick  Chubb,HST,RB,1,17,56,3.294,0,0,0,33,42.308,47.222,19,28.788,19,25.333,58.621,28.788,25.333,17,19
,Rico  Dowdle,CAR,RB,1,8,54,6.75,0,0,0,20,33.333,28.571,8,18.182,8,13.559,30.769,18.182,13.559,8,8
,Tyler  Huntley,BLT,QB,1,8,53,6.625,0,0,0,60,100,22.857,8,15.385,8,13.559,0,0,0,8,8
,Drake  Maye,NE,QB,1,7,50,7.143,0,0,0,69,100,20,7,13.208,7,10.769,0,0,0,7,7
,Ollie  Gordon II,MIA,RB,1,10,46,4.6,0,0,0,20,30.769,27.027,11,18.966,11,16.923,27.027,18.966,16.923,10,11
,RJ  Harvey,DEN,RB,1,7,46,6.571,2,0,0,15,26.316,25,8,17.021,8,14.035,25.926,17.021,14.035,7,8
,D'Andre  Swift,CHI,RB,1,11,45,4.091,1,0,0,31,48.438,47.826,13,27.083,13,20.968,55,27.083,20.968,11,13
,Tony  Pollard,TEN,RB,1,11,44,4,0,0,0,32,47.059,44,12,25.532,12,17.91,47.826,25.532,17.91,11,12
,Keaton  Mitchell,BLT,RB,1,4,43,10.75,0,0,0,6,10,11.429,4,7.692,4,6.78,14.815,9.091,7.843,4,4
,Sean  Tucker,TB,RB,1,12,42,3.5,1,1,0,19,33.929,41.379,12,27.273,12,21.429,41.379,27.273,21.429,12,12
,Javonte  Williams,DAL,RB,1,13,41,3.154,2,0,0,51,69.863,41.935,14,26.415,14,20.588,52,26.415,20.588,13,14
,Kareem  Hunt,KC,RB,1,9,40,4.444,1,0,0,20,28.571,30,10,18.182,10,14.925,34.615,18.182,14.925,9,10
,Tyrone  Tracy Jr.,NYG,RB,1,10,39,3.9,0,0,0,31,59.615,47.619,12,34.286,12,24,66.667,34.286,24,10,12
,Rachaad  White,TB,RB,1,13,35,2.692,0,0,0,32,57.143,44.828,15,34.091,15,26.786,44.828,34.091,26.786,13,15
,Chuba  Hubbard,CAR,RB,1,12,34,2.833,1,0,0,35,58.333,42.857,12,27.273,12,20.339,46.154,27.273,20.339,12,12
,Rhamondre  Stevenson,NE,RB,1,14,34,2.429,0,0,0,47,68.116,40,15,28.302,15,23.077,50,32.609,25.862,14,15
,Josh  Jacobs,GB,RB,1,13,33,2.538,1,0,0,34,53.968,50,16,29.091,16,25.397,52,29.091,25.397,13,16
,Justin  Fields,NYJ,QB,1,11,31,2.818,0,0,0,74,98.667,29.73,11,18.644,11,15.714,0,0,0,11,11
,Malachi  Corley,CLV,WR,1,1,31,31,0,0,0,4,7.407,6.25,1,2.703,1,1.923,6.667,2.703,1.923,1,1
,Dak  Prescott,DAL,QB,1,6,31,5.167,0,0,0,64,87.671,19.355,6,11.321,6,8.824,0,0,0,6,6
,Kenneth  Gainwell,PIT,RB,1,5,31,6.2,0,0,0,20,35.088,27.778,7,16.667,7,12.281,27.778,16.667,12.281,5,7
,Jaret  Patterson,LAC,RB,1,11,30,2.727,0,0,0,14,18.182,25.581,11,18.033,11,15.714,30.556,20.37,17.46,11,11
,C.J.  Stroud,HST,QB,1,7,30,4.286,0,0,0,78,100,19.444,7,10.606,7,9.333,0,0,0,7,7
,Patrick  Mahomes,KC,QB,1,4,30,7.5,0,0,0,70,100,13.333,4,7.273,4,5.97,0,0,0,4,4
,Jaydon  Blue,DAL,RB,1,8,29,3.625,0,1,0,12,16.438,25.806,8,15.094,8,11.765,32,17.021,12.903,8,8
,Jaylen  Wright,MIA,RB,1,9,28,3.111,0,0,0,10,15.385,24.324,10,17.241,10,15.385,24.324,17.241,15.385,9,10
,Marcus  Mariota,WAS,QB,1,8,28,3.5,0,1,0,55,100,40,8,19.512,8,15.385,0,0,0,8,8
,Bijan  Robinson,ATL,RB,1,9,25,2.778,0,1,1,29,59.184,52.941,12,31.579,12,24.49,60,31.579,24.49,9,12
,Christian  McCaffrey,SF,RB,1,8,25,3.125,0,0,0,42,91.304,80,11,37.931,11,25,100,37.931,25,8,11
,Jacory  Croskey-Merritt,WAS,RB,1,9,25,2.778,0,0,0,30,54.545,45,9,21.951,9,17.308,75,27.273,20.455,9,9
,Kyle  Monangai,CHI,RB,1,7,24,3.429,0,0,0,28,43.75,30.435,7,14.583,7,11.29,35,14.583,11.29,7,7
,Caleb  Williams,CHI,QB,1,3,24,8,0,0,0,64,100,13.043,3,6.25,3,4.839,0,0,0,3,3
,Mac  Jones,SF,QB,1,2,23,11.5,0,0,0,46,100,20,2,6.897,2,4.545,0,0,0,2,2
,Jalen  Hurts,PHI,QB,1,4,22,5.5,0,0,0,56,93.333,12.121,4,8.333,4,7.018,0,0,0,4,4
,Alvin  Kamara,NO,RB,1,6,21,3.5,0,0,0,36,47.368,40,8,17.021,8,11.268,85.714,17.021,11.268,6,8
,Quinshon  Judkins,CLV,RB,1,9,19,2.111,0,0,0,18,33.333,56.25,12,32.432,12,23.077,60,32.432,23.077,9,12
,Marvin  Mims Jr.,DEN,WR,1,3,18,6,0,0,0,17,29.825,10.714,3,6.383,3,5.263,11.111,6.383,5.263,3,3
