BASIC,BASIC,BASIC,TOTAL,TOTAL,PASSING,PASSING,RUSHING,RUSHING
Rk,Tm,G,DVOA,Weighted DVOA,Passing DVOA,Unadjusted Passing DVOA,Rushing DVOA,Unadjusted Rushing DVOA
,LA,1,-23.32,-23.32,-19.25,-22.53,-39.98,-55.32
,MIA,1,-57.21,-57.21,-69.08,-99.66,-35.02,-44.11
,DET,1,-43.88,-43.88,-61.87,-48.94,-11.7,-10.04
,MIN,1,-45.19,-45.19,-62.22,-62.19,-11.17,-11.46
,SEA,1,-39.69,-39.69,-46.69,-53.31,-33.54,-27.21
,JAX,1,-39,-39,-36.34,-17.57,-42.8,-23.54
,GB,1,-0.64,-0.64,4.78,7.56,-7.12,-1.53
,CIN,1,12.45,12.45,48.45,59.89,-46.18,-35.32
,HST,1,-42.19,-42.19,-60.81,-43.85,-15.31,-9.92
,NO,1,-9.25,-9.25,-8.66,-10.49,-9.72,-11.83
,LAC,1,-41.31,-41.31,-65.05,-55.93,-3.32,-7.89
,PIT,1,2.28,2.28,12.33,7.01,-7.59,-3.96
,PHI,1,-35.61,-35.61,-51.16,-49.76,-16.04,-22.9
,DEN,1,19.33,19.33,24.14,-3.79,2.95,-16.36
,LV,1,20.74,20.74,16.75,14.44,26.55,25.93
,KC,1,-7.42,-7.42,0.2,2.59,-13.97,-23.85
,BLT,1,18.38,18.38,36.59,33.18,-17.09,-16.97
,CHI,1,20.3,20.3,36.16,66.86,8.36,10.7
,BUF,1,23.77,23.77,43.27,37.94,-7.6,-5.32
,ATL,1,-4.79,-4.79,3.38,28.96,-16.94,-21.97
,IND,1,10.14,10.14,43.11,43.57,-20.2,-18.62
,CLV,1,8.89,8.89,-5.9,-36.19,20.37,11.43
,TEN,1,28.47,28.47,65.83,25.21,-41.32,-56.69
,DAL,1,32.03,32.03,27.61,45.54,38.67,47.67
,TB,1,28.59,28.59,45.59,20.85,17.22,2.75
,ARZ,1,37.8,37.8,47.61,80.21,29.88,51.37
,WAS,1,33.31,33.31,51.76,25.29,14.89,14.71
,NYJ,1,36.8,36.8,30.85,24.45,40.18,47.37
