BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,RED ZONE,RED ZONE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
Rk,Player,Tm,Pos,G,SNP,SNP%,TAR,REC,YDS,TD,YPT,YPR,CTCH%,YAC,YAC/R,FD,LG,100+,TAR/G,REC/G,YDS/G,EZTAR,EZTD,EPA,EPA/TAR,DYAR,DVOA,FPTS,PPG
,Jaxon  Smith-Njigba,SEA,WR,11,467,72.403,107,80,"1,313",7,12.271,16.413,74.766,332,4.15,57,63,8,9.727,7.273,119.364,7,4,67.923,0.635,437.329,41.12,257,23.364
,George  Pickens,DAL,WR,11,590,80.491,92,67,"1,054",8,11.457,15.731,72.826,322,4.806,57,45,4,8.364,6.091,95.818,17,6,81.673,0.888,393.535,40.76,220.4,20.036
,Puka  Nacua,LA,WR,10,428,62.941,98,80,947,4,9.663,11.838,81.633,355,4.438,48,39,3,9.8,8,94.7,3,1,62.897,0.642,309.604,27.8,212,21.2
,Amon-Ra  St. Brown,DET,WR,11,600,87.848,107,75,887,9,8.29,11.827,70.093,351,4.68,45,34,3,9.727,6.818,80.636,9,5,39.538,0.37,200.426,11.55,218.6,19.873
,Ja'Marr  Chase,CIN,WR,10,553,84.299,117,79,861,5,7.359,10.899,67.521,421,5.329,44,64,4,11.7,7.9,86.1,7,4,24.314,0.208,81.97,-3.63,195.7,19.57
,Drake  London,ATL,WR,9,515,75.735,94,60,810,6,8.617,13.5,63.83,223,3.717,40,43,5,10.444,6.667,90,9,6,21.625,0.23,148.939,7.76,177,19.667
,Trey  McBride,ARZ,TE,11,654,86.623,109,80,797,7,7.312,9.963,73.394,340,4.25,44,31,2,9.909,7.273,72.455,15,6,53.77,0.493,93.171,5.61,201.7,18.336
,Justin  Jefferson,MIN,WR,11,590,92.622,99,60,795,2,8.03,13.25,60.606,321,5.35,36,50,2,9,5.455,72.273,11,2,-12.519,-0.126,24.378,-9.49,151.9,13.809
,Wan'Dale  Robinson,NYG,WR,12,699,85.348,102,66,794,3,7.784,12.03,64.706,299,4.53,31,50,2,8.5,5.5,66.167,5,2,19.833,0.194,8.745,-11.51,163.6,13.633
,Tetairoa  McMillan,CAR,WR,12,655,86.526,96,56,783,5,8.156,13.982,58.333,215,3.839,45,40,2,8,4.667,65.25,12,5,19.185,0.2,104.683,1.08,164.3,13.692
,Christian  McCaffrey,SF,RB,12,638,81.274,103,81,765,5,7.427,9.444,78.641,598,7.383,39,39,0,8.583,6.75,63.75,4,3,36.378,0.353,334.361,43.72,309.1,25.758
,Zay  Flowers,BLT,WR,11,535,82.689,77,58,761,1,9.883,13.121,75.325,331,5.707,31,56,1,7,5.273,69.182,1,0,31.207,0.405,135.356,10.64,144.3,13.118
,DeVonta  Smith,PHI,WR,11,590,87.407,78,55,754,3,9.667,13.709,70.513,211,3.836,32,79,2,7.091,5,68.545,6,2,47.303,0.606,139.863,10.75,148.4,13.491
,Emeka  Egbuka,TB,WR,11,577,80.587,93,48,749,6,8.054,15.604,51.613,272,5.667,28,77,3,8.455,4.364,68.091,10,2,13.817,0.149,5.406,-11.91,159.8,14.527
,Chris  Olave,NO,WR,11,569,79.692,108,69,733,4,6.787,10.623,63.889,180,2.609,31,62,1,9.818,6.273,66.636,10,3,13.605,0.126,-8.785,-13.71,164,14.909
,Jaylen  Waddle,MIA,WR,11,495,79.582,73,49,722,5,9.89,14.735,67.123,170,3.469,35,46,1,6.636,4.455,65.636,6,3,39.119,0.536,178.186,18.2,151.52,13.775
,Nico  Collins,HST,WR,10,481,65.981,85,52,697,4,8.2,13.404,61.176,171,3.288,32,54,2,8.5,5.2,69.7,11,4,14.353,0.169,99.1,2.6,146.5,14.65
,Stefon  Diggs,NE,WR,12,416,52.792,75,61,679,3,9.053,11.131,81.333,218,3.574,35,33,3,6.25,5.083,56.583,3,2,42.951,0.573,183.869,18.7,146.9,12.242
,Travis  Kelce,KC,TE,11,567,73.541,72,54,674,4,9.361,12.481,75,354,6.556,35,44,0,6.545,4.909,61.273,4,2,37.053,0.515,171.481,28.11,145.5,13.227
,Rome  Odunze,CHI,WR,11,624,84.324,84,42,664,6,7.905,15.81,50,213,5.071,37,37,2,7.636,3.818,60.364,10,3,24.26,0.289,44.079,-5.76,144.4,13.127
