BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,RED ZONE,RED ZONE,RED ZONE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
Rk,Player,Tm,Pos,G,SNP,SNP%,ATT,YDS,YPC,TD,FUM,FUML,FD,RZ,GL,GL TD,EPA,EPA/ATT,DYAR,DVOA,FPTS,PPG
,James  Cook,BUF,RB,1,45,57.692,32,144,4.5,0,2,1,6,7,3,0,-7.936,-0.248,0,0,20.7,20.7
,Bijan  Robinson,ATL,RB,1,58,86.567,23,142,6.174,1,0,0,9,4,2,0,6.453,0.281,0,0,30.3,30.3
,De'Von  Achane,MIA,RB,1,44,72.131,22,134,6.091,1,0,0,6,3,0,0,4.497,0.204,0,0,19.4,19.4
,Kyle  Monangai,CHI,RB,1,37,42.529,22,130,5.909,1,0,0,6,4,1,0,1.996,0.091,0,0,19,19
,Kimani  Vidal,LAC,RB,1,51,71.831,25,126,5.04,1,0,0,5,4,2,0,-0.842,-0.034,0,0,20.7,20.7
,D'Andre  Swift,CHI,RB,1,47,54.023,18,125,6.944,1,0,0,6,1,1,0,5.068,0.282,0,0,20.8,20.8
,Quinshon  Judkins,CLV,RB,1,37,60.656,23,91,3.957,0,0,0,6,1,0,0,-5.219,-0.227,0,0,13.9,13.9
,Jonathan  Taylor,IND,RB,1,50,98.039,21,85,4.048,0,0,0,5,3,0,0,-1.817,-0.087,0,0,15.1,15.1
,Josh  Jacobs,GB,RB,1,33,53.226,17,83,4.882,0,0,0,2,1,1,0,-1.15,-0.068,0,0,10.1,10.1
,Chuba  Hubbard,CAR,RB,1,36,56.25,17,83,4.882,0,0,0,6,0,0,0,1.256,0.074,0,0,20.4,20.4
,Blake  Corum,LA,RB,1,15,29.412,7,81,11.571,1,0,0,5,2,1,1,6.27,0.896,0,0,14.1,14.1
,Chase  Brown,CIN,RB,1,47,58.025,15,78,5.2,0,0,0,4,3,0,0,-0.821,-0.055,0,0,18.3,18.3
,Kyren  Williams,LA,RB,1,35,68.627,13,72,5.538,1,0,0,4,5,0,0,4.822,0.371,0,0,13.2,13.2
,Jahmyr  Gibbs,DET,RB,1,44,72.131,20,68,3.4,0,0,0,3,1,0,0,-8.01,-0.4,0,0,11.6,11.6
,Breece  Hall,NYJ,RB,1,56,81.159,19,68,3.579,1,0,0,3,4,1,1,-2.449,-0.129,0,0,15.6,15.6
,Woody  Marks,HST,RB,1,40,56.338,19,64,3.368,0,1,0,3,3,0,0,-2.049,-0.108,0,0,7.7,7.7
,Bam  Knight,ARZ,RB,1,31,48.438,11,62,5.636,0,1,1,4,0,0,0,-6.077,-0.552,0,0,18.8,18.8
,Ray  Davis,BUF,RB,1,13,16.667,9,62,6.889,0,0,0,4,0,0,0,1.925,0.214,0,0,6.2,6.2
,Bucky  Irving,TB,RB,1,31,51.667,17,61,3.588,1,0,0,3,3,0,0,-0.876,-0.052,0,0,16.1,16.1
,Derrick  Henry,BLT,RB,1,22,36.667,10,60,6,1,0,0,3,0,0,0,1.222,0.122,0,0,17.4,17.4
,Tony  Pollard,TEN,RB,1,26,46.429,10,60,6,0,0,0,4,0,0,0,1.848,0.185,0,0,7.3,7.3
,Javonte  Williams,DAL,RB,1,50,76.923,17,59,3.471,0,0,0,1,4,0,0,-5.539,-0.326,0,0,17,17
,Kareem  Hunt,KC,RB,1,40,63.492,14,58,4.143,0,0,0,3,3,1,0,-3.082,-0.22,0,0,9,9
,Rico  Dowdle,CAR,RB,1,24,37.5,18,58,3.222,0,0,0,2,0,0,0,-4.662,-0.259,0,0,9.9,9.9
,Saquon  Barkley,PHI,RB,1,46,90.196,13,56,4.308,0,0,0,1,1,0,0,-1.029,-0.079,0,0,5.6,5.6
,Kenneth  Walker III,SEA,RB,1,33,53.226,13,56,4.308,0,0,0,3,1,0,0,-0.951,-0.073,0,0,10.4,10.4
,Marcus  Mariota,WAS,QB,1,88,100,10,55,5.5,0,0,0,5,2,0,0,4.406,0.441,0,0,23.26,23.26
,Jaret  Patterson,LAC,RB,1,13,18.31,11,54,4.909,1,0,0,3,5,2,1,2.782,0.253,0,0,11.4,11.4
,Christian  McCaffrey,SF,RB,1,52,80,20,53,2.65,1,0,0,4,8,5,1,-1.35,-0.067,0,0,17.4,17.4
