BASIC,BASIC,BASIC,DEFENSE,WR1,WR1,WR1,WR2,WR2,WR2,WR3,WR3,WR3,TE,TE,TE,RB,RB,RB
Rk,Tm,G,Defensive DVOA,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G
,PIT,1,-37.68,-54.08,4,54,-17.37,5,70,36.54,8,114,-0.79,7,60,14.61,10,66
,SF,1,-16.54,-23.65,4,32,223.56,4,86,5,5,65,-84.3,6,57,107.96,4,37
,LA,1,-15.16,-77.19,8,96,-65.83,3,39,-816.65,0,0,61.71,4,49,89.81,7,86
,CIN,1,-13.2,-100.18,5,72,192.83,1,23,14.69,3,43,-7.39,6,86,19.94,5,36
,TEN,1,-39.43,61.66,2,41,-14.75,3,22,-47.65,1,12,-80.47,1,6,-9.26,7,45
,PHI,1,-19.55,74.18,3,53,43.82,3,35,-93.46,2,30,-84.69,1,5,16.85,3,15
,JAX,1,0.87,-10.83,6,86,54.73,4,66,-61.06,9,77,-37.73,4,50,36.22,5,73
,LAC,1,3.47,-1.52,6,51,66.23,7,130,2.27,4,32,17.81,3,19,17.97,3,23
,BUF,1,10.9,29.67,3,12,-15.85,1,8,-201.72,2,32,18.16,4,34,-73.96,10,71
,SEA,1,-8.95,50.56,12,225,-65.68,3,40,178.47,3,76,-14.84,7,88,-30.82,4,28
,CHI,1,3.6,79.16,5,84,-71.59,2,17,-12.31,5,47,10.61,3,38,14.33,2,12
,CAR,1,-2.1,-39.17,5,31,62.79,1,40,-13.53,8,44,67.26,2,15,44.99,2,15
,MIN,1,-46.96,3.93,1,8,-95.27,3,19,0,0,0,-550.19,0,0,-145.37,3,6
,BLT,1,0.81,56.99,9,138,-294.13,1,16,-6.95,10,121,-14.2,8,69,29.69,3,36
,DEN,1,8.82,5.94,2,18,-18.63,4,45,103.78,7,156,-14.49,6,44,-20.3,4,16
,NO,1,-24.05,-176.94,1,4,21,3,43,1.8,5,32,-21.43,7,48,30.35,6,61
,ATL,1,-3.69,-36.03,1,14,-62.68,2,52,18.82,2,19,-12.17,11,118,-95.95,0,0
,LV,1,2.04,9.88,4,59,-27.76,1,17,-4.05,4,41,11.18,7,42,-7.71,7,28
,NE,1,28.72,-105.34,0,0,36.71,7,84,-27.32,4,41,25.78,3,39,-117.81,2,2
,GB,1,6.6,62.68,5,97,-44.6,2,33,77.22,2,21,-12.96,5,44,71.13,5,55
,ARZ,1,2.92,-125.92,3,27,91.26,2,24,-55.77,0,0,6.19,8,60,-4.91,8,86
,HST,1,7.74,72.09,4,43,27.86,2,43,16.38,2,9,-22.15,6,43,-89.13,2,63
,DET,1,23.81,-39.2,4,42,133,1,8,5.73,8,74,-36.36,7,56,59.51,7,86
,IND,1,26.33,103.1,5,71,-146.86,3,27,159.69,3,46,50.83,8,122,-3,6,29
,CLV,1,6.89,-53.89,1,2,-30.47,4,34,-9.76,1,21,-44.44,3,36,31.13,3,37
,DAL,1,52.23,160.69,4,104,69.85,5,44,45.13,9,107,39.48,4,35,28.95,1,10
,TB,1,24.29,25.56,6,73,-13.48,1,12,29.88,3,47,51.42,6,38,-61.56,5,21
,WAS,1,34.16,15.9,9,95,8.96,6,42,12.75,3,13,98.99,3,32,-87.84,1,3
,NYG,1,1.41,129.46,6,85,21.31,2,26,-220.26,1,6,-45.8,3,21,0.64,4,22
,NYJ,1,16.75,32.8,10,148,-0.86,4,29,-34.61,2,18,8.96,14,134,-4.81,3,17
,MIA,1,40.83,35.02,9,109,157.12,3,53,39.38,1,21,71.97,7,71,157.21,6,59
,KC,1,25.79,88.87,2,24,100.58,3,58,82.26,3,40,-16.91,8,53,67.04,5,53
