BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
Rk,Player,Tm,Pos,G,SNP,SNP%,ATT/G,DB,ATT,COM,COM%,YDS,YPA,TD,INT,FD,300Yd,RTG,EPA,EPA/DB,DYAR,DVOA,FPTS,PPG
,Joe  Flacco,CIN,QB,1,65,100,47,50,47,31,65.957,470,10,4,2,22,1,109.353,15.532,0.311,89.856,15.88,61.4,61.4
,Daniel  Jones,IND,QB,1,75,100,50,56,50,31,62,342,6.84,1,3,17,1,63.917,-15.458,-0.276,-121.743,-43.7,36.16,36.16
,Sam  Darnold,SEA,QB,1,45,93.75,24,24,24,21,87.5,330,13.75,4,1,13,1,140.972,24.107,1.004,197.405,97.14,54.4,54.4
,Jared  Goff,DET,QB,1,62,100,37,42,37,25,67.568,284,7.676,2,0,11,0,108.39,3.253,0.077,0.716,-10.86,38.72,38.72
,Geno  Smith,LV,QB,1,62,100,39,43,39,29,74.359,284,7.282,4,1,17,0,117.895,14.855,0.345,127.784,30.44,52.52,52.52
,Matthew  Stafford,LA,QB,1,77,100,32,34,32,24,75,281,8.781,4,0,15,0,140.755,14.744,0.434,162.216,56.44,53.68,53.68
,Caleb  Williams,CHI,QB,1,81,100,34,41,34,20,58.824,280,8.235,3,0,15,0,114.828,16.276,0.397,46.594,7.29,77.4,77.4
,Jordan  Love,GB,QB,1,63,100,37,38,37,26,70.27,273,7.378,0,1,13,0,80.124,5.902,0.155,78.619,22.78,18.04,18.04
,Josh  Allen,BUF,QB,1,65,100,26,30,26,23,88.462,273,10.5,1,0,13,0,123.237,10.515,0.35,163.23,71.52,57.64,57.64
,Tua  Tagovailoa,MIA,QB,1,63,100,40,43,40,25,62.5,261,6.525,0,1,13,0,70.938,-3.716,-0.086,-11.367,-15.35,17.08,17.08
,Jacoby  Brissett,ARZ,QB,1,66,100,31,37,31,21,67.742,261,8.419,2,0,14,0,115.121,8.624,0.233,0.177,-11.06,49.68,49.68
,Drake  Maye,NE,QB,1,73,100,29,40,29,19,65.517,259,8.931,2,1,14,0,102.514,0.423,0.011,11.57,-5.57,36.72,36.72
,Justin  Herbert,LAC,QB,1,69,100,29,39,29,19,65.517,250,8.621,2,1,13,0,101.221,1.833,0.047,9.425,-7,55.4,55.4
,Patrick  Mahomes,KC,QB,1,58,100,34,38,34,15,44.118,250,7.353,0,1,10,0,57.23,-2.395,-0.063,11.058,-6.21,17,17
,Dak  Prescott,DAL,QB,1,69,100,39,48,39,24,61.538,250,6.41,1,1,14,0,77.938,-12.297,-0.256,15.529,-4.95,30.8,30.8
,Mac  Jones,SF,QB,1,66,98.507,24,28,24,19,79.167,235,9.792,2,0,13,0,135.243,13.488,0.482,92.555,47.32,35.6,35.6
,Michael  Penix Jr.,ATL,QB,1,56,100,37,40,37,22,59.459,221,5.973,3,0,13,0,103.547,3.205,0.08,5.537,-8.8,45.48,45.48
,Trevor  Lawrence,JAX,QB,1,81,100,34,39,34,23,67.647,220,6.471,0,1,9,0,73.162,-2.869,-0.074,-27.159,-23.91,42.4,42.4
,Lamar  Jackson,BLT,QB,1,58,100,23,27,23,18,78.261,204,8.87,4,0,11,0,143.207,10.401,0.385,75.016,31.78,51.12,51.12
,Aaron  Rodgers,PIT,QB,1,62,100,35,39,35,25,71.429,203,5.8,1,0,11,0,95.298,-3.014,-0.077,15.809,-5.04,24.24,24.24
,Jaxson  Dart,NYG,QB,1,60,100,33,39,33,24,72.727,191,5.788,2,0,7,0,107.008,1.711,0.044,1.694,-10.36,54.48,54.48
,Tyler  Shough,NO,QB,1,36,90,24,25,24,15,62.5,176,7.333,1,1,8,0,81.25,0.511,0.02,6.844,-7.06,18.48,18.48
,Bo  Nix,DEN,QB,1,62,100,37,39,37,18,48.649,173,4.676,2,1,9,0,68.863,-4.558,-0.117,36.027,4.48,33.04,33.04
,Jayden  Daniels,WAS,QB,1,63,88.732,22,35,22,16,72.727,153,6.955,0,1,8,0,72.727,-3.696,-0.106,-24.097,-25.25,30.44,30.44
,Cam  Ward,TEN,QB,1,45,100,21,26,21,12,57.143,145,6.905,0,0,7,0,78.472,-2.412,-0.093,-17.859,-23.39,12.8,12.8
,J.J.  McCarthy,MIN,QB,1,60,100,25,31,25,14,56,143,5.72,2,1,8,0,82.583,-7.093,-0.229,-43.677,-33.53,37.84,37.84
,Davis  Mills,HST,QB,1,49,65.333,30,33,30,17,56.667,137,4.567,0,0,7,0,68.333,-7.239,-0.219,-22.315,-22,12.36,12.36
,Bryce  Young,CAR,QB,1,56,100,20,23,20,11,55,102,5.1,0,1,6,0,48.333,-0.967,-0.042,-65.31,-54.97,5.96,5.96
,C.J.  Stroud,HST,QB,1,26,34.667,10,14,10,6,60,79,7.9,0,0,4,0,85,3.085,0.22,9.971,1.52,8.72,8.72
