BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,RED ZONE,RED ZONE,RED ZONE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
Rk,Player,Tm,Pos,G,SNP,SNP%,ATT,YDS,YPC,TD,FUM,FUML,FD,RZ,GL,GL TD,EPA,EPA/ATT,DYAR,DVOA,FPTS,PPG
,Tony Pollard,TEN,RB,1,38,59.375,25,161,6.44,2,0,0,4,1,0,0,3.67,0.147,67.714,64.66,28.1,28.1
,Blake Corum,LA,RB,1,21,31.343,12,128,10.667,2,0,0,6,3,1,1,8.424,0.702,53.234,83.36,26.1,26.1
,Saquon Barkley,PHI,RB,1,53,77.941,20,122,6.1,1,0,0,5,1,1,0,0.389,0.019,3.66,-3.98,18.2,18.2
,Jaylen Wright,MIA,RB,1,30,47.619,24,107,4.458,1,0,0,7,3,1,1,3.686,0.154,38.372,31.94,16.7,16.7
,Derrick Henry,BLT,RB,1,44,53.659,25,94,3.76,0,0,0,6,6,1,0,-2.012,-0.08,0.623,-8.03,11.2,11.2
,De'Von Achane,MIA,RB,1,22,34.921,7,92,13.143,1,0,0,3,1,0,0,6.023,0.86,36.489,125.32,17.5,17.5
,Bijan Robinson,ATL,RB,1,43,69.355,20,86,4.3,0,1,1,3,4,0,0,-6.127,-0.306,9.7,2.85,11.4,11.4
,Josh Jacobs,GB,RB,1,37,71.154,20,86,4.3,1,0,0,7,2,2,1,3.303,0.165,6.276,-2.03,17.2,17.2
,Kyren Williams,LA,RB,1,35,52.239,13,84,6.462,1,0,0,8,2,2,1,5.637,0.434,39.048,44.89,17.7,17.7
,James Cook,BUF,RB,1,45,69.231,18,80,4.444,0,2,1,2,7,2,0,-9.512,-0.528,-47.962,-73.29,13.1,13.1
,Josh Allen,BUF,QB,1,66,101.538,9,78,8.667,1,0,0,4,2,1,0,5.034,0.559,-9.95,-132.61,35.84,35.84
,Keaton Mitchell,BLT,RB,1,11,13.415,6,76,12.667,0,0,0,1,0,0,0,2.777,0.463,21.902,75.37,7.6,7.6
,Aaron Jones,MIN,RB,1,27,42.857,14,76,5.429,0,0,0,4,1,0,0,2.591,0.185,20.215,23.39,7.6,7.6
,RJ Harvey,DEN,RB,1,49,66.216,17,75,4.412,1,0,0,6,4,1,0,1.414,0.083,40.771,43.29,22,22
,Travis Etienne,JAX,RB,1,45,69.231,20,74,3.7,2,0,0,3,3,1,0,-6.157,-0.308,-0.668,-9.37,21.2,21.2
,Jonathan Taylor,IND,RB,1,46,70.769,21,74,3.524,1,1,1,3,3,1,1,-8.622,-0.411,-2.522,-11.45,13.4,13.4
,Devin Neal,NO,RB,1,39,69.643,19,70,3.684,1,0,0,3,3,1,0,-3.641,-0.192,12.941,8.54,15.4,15.4
,Woody Marks,HST,RB,1,58,87.879,26,68,2.615,0,0,0,3,5,0,0,-5.299,-0.204,-14.258,-22.29,15.6,15.6
,Javonte Williams,DAL,RB,1,63,80.769,17,67,3.941,1,0,0,5,2,2,1,0.602,0.035,37.565,39.29,14.7,14.7
,Justin Herbert,LAC,QB,1,79,100,10,66,6.6,0,0,0,4,0,0,0,3.216,0.322,11.16,118.73,14.16,14.16
,D'Andre Swift,CHI,RB,1,39,54.93,13,63,4.846,0,0,0,4,4,2,0,4.524,0.348,37.203,48.63,11.2,11.2
,David Montgomery,DET,RB,1,17,29.825,6,60,10,1,0,0,4,0,0,0,4.589,0.765,28.619,78,14.3,14.3
,Patrick Mahomes,KC,QB,1,72,101.408,7,59,8.429,0,0,0,1,1,0,0,4.226,0.604,0,0,6.3,6.3
,Kyle Monangai,CHI,RB,1,28,39.437,14,57,4.071,0,0,0,1,2,0,0,0.682,0.049,2.275,-4.66,6.7,6.7
,Omarion Hampton,LAC,RB,1,22,27.848,13,56,4.308,0,0,0,4,5,0,0,-2.033,-0.156,-15.425,-34.67,14.7,14.7
,Tyler Shough,NO,QB,1,56,100,7,55,7.857,2,0,0,3,2,0,0,3.136,0.448,18.447,80.46,21.26,21.26
,Bucky Irving,TB,RB,1,36,48.649,15,55,3.667,0,0,0,3,0,0,0,-6.782,-0.452,-10.607,-24.86,16.1,16.1
,Rachaad White,TB,RB,1,34,45.946,11,53,4.818,0,0,0,3,2,0,0,2.911,0.265,25.813,47.28,6.5,6.5
,Chris Rodriguez Jr.,WAS,RB,1,21,38.182,10,52,5.2,0,0,0,2,2,1,0,1.546,0.155,18.938,40.64,5.2,5.2
,Jordan Mason,MIN,RB,1,18,28.571,11,52,4.727,1,0,0,3,5,0,0,2.385,0.217,18.205,30.58,11.2,11.2
,Zach Charbonnet,SEA,RB,1,25,41.667,7,46,6.571,0,0,0,1,1,1,0,0.538,0.077,2.634,0.93,8.6,8.6
,Kimani Vidal,LAC,RB,1,49,62.025,14,44,3.143,0,0,0,1,1,0,0,-5.454,-0.39,-13.959,-36.51,11.4,11.4
,Jahmyr Gibbs,DET,RB,1,40,70.175,12,43,3.583,3,0,0,4,5,1,1,0.285,0.024,5.712,3.02,37,37
,Lamar Jackson,BLT,QB,1,82,100,7,43,6.143,1,0,0,3,1,0,0,5.787,0.827,5.761,34.68,21.06,21.06
,Breece Hall,NYJ,RB,1,43,75.439,14,43,3.071,0,0,0,1,2,0,0,-3.528,-0.252,-16.775,-34.69,4.3,4.3
,Baker Mayfield,TB,QB,1,74,100,6,42,7,0,0,0,3,0,0,0,2.696,0.449,3.271,32,11.08,11.08
,Ronnie Rivers,LA,RB,1,8,11.94,8,41,5.125,0,0,0,2,0,0,0,-1.93,-0.241,4.226,5.21,4.1,4.1
,Tyler Allgeier,ATL,RB,1,23,37.097,11,34,3.091,0,0,0,3,4,2,0,-0.574,-0.052,-0.737,-9.87,8.7,8.7
,Jacory Croskey-Merritt,WAS,RB,1,10,18.182,7,32,4.571,0,0,0,1,1,0,0,-0.369,-0.053,3.706,3.17,3.2,3.2
