BASIC,BASIC,BASIC,DEFENSE,WR1,WR1,WR1,WR2,WR2,WR2,WR3,WR3,WR3,TE,TE,TE,RB,RB,RB
Rk,Tm,G,Defensive DVOA,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G
,IND,1,-25.6,43.05,4,32,22.03,4,62,-113.63,4,36,4.2,8,56,-4.17,5,42
,WAS,1,-28.22,-11.39,4,40,-122.64,5,58,34.4,5,39,25.25,3,44,-28.74,8,29
,HST,1,-33.87,-182.16,0,0,21.04,5,72,94.1,2,46,-30.01,5,47,-260.75,2,14
,DET,1,-32.74,-1.73,6,110,-23.16,3,22,51.1,5,82,-108.78,3,14,-51.3,9,23
,DAL,1,2.17,25.34,6,71,40.16,3,29,-49.42,2,17,-5.9,13,95,25.83,8,71
,KC,1,11.85,81.18,4,80,172.79,3,64,-95.97,4,31,42.5,3,32,-55.64,4,14
,SEA,1,38.86,26.46,3,26,200.76,7,163,36.49,8,83,133.27,4,81,-29.03,7,26
,LA,1,3.03,87.86,10,142,-30.54,3,39,-40.51,1,9,-26.03,8,49,39.96,11,103
,PHI,1,5.27,30.95,8,99,33.6,3,35,-63.61,3,25,2.59,5,44,16.41,5,39
,NO,1,-12.48,-73.73,3,31,-50.28,5,30,-220.97,1,7,41.5,10,85,-7.46,7,49
,TB,1,53.01,68.62,8,132,-61.21,6,59,89.55,4,75,76.89,8,63,-41.97,2,12
,MIN,1,17.75,6.21,2,15,-37.04,2,29,215.63,1,22,32.28,10,80,37.16,4,44
,NE,1,2.65,-39.07,4,23,90.83,2,36,-43.42,8,71,85.32,8,123,27.87,0,0
,BUF,1,4.53,33.61,10,146,59.13,3,43,-24.12,2,17,-24.89,2,46,-99.44,5,21
,CAR,1,8.46,62.42,6,110,0,0,0,-59.18,4,0,39,11,116,33.84,6,30
,ARZ,1,-9.15,-23.16,5,131,-13.44,2,18,-39.28,3,23,9.91,8,82,-30.21,3,11
,SF,1,22.95,-3.02,5,88,5.97,10,85,40.59,4,105,48.56,3,45,24.47,8,66
,DEN,1,16.49,5.03,5,43,0.7,8,114,29.2,1,24,-31.07,5,37,130.19,4,62
,TEN,1,-0.4,144.89,4,98,-26.78,2,16,-22.2,4,20,-43.85,7,51,32.41,6,35
,CLV,1,22.97,44.11,7,123,42.22,5,41,10.9,3,27,27.51,8,73,-96.29,3,4
,JAX,1,33.98,-40.82,6,42,-26.76,4,48,-57.62,5,107,39.74,7,61,65.76,7,60
,MIA,1,34.74,24.13,6,73,-1.5,2,31,-12.16,4,37,48.7,3,22,51.71,4,35
,NYG,1,19.09,26.5,7,59,128.22,4,114,35.44,3,18,-38.6,2,17,22.41,5,36
,LV,1,13.41,14.26,5,39,24.27,6,54,9.13,2,55,26.65,4,44,-22.02,3,20
,CIN,1,28.97,41.3,8,100,19.36,1,9,248.77,1,12,52.33,7,101,202.69,3,39
,NYJ,1,30.84,60.99,2,57,-129.87,0,0,42.86,6,114,-0.39,8,52,84.46,2,14
,BLT,1,33.58,100.89,4,52,110.54,4,64,66.92,9,63,21.75,8,88,-109.9,0,0
,LAC,1,45.56,45.45,8,96,-107.43,0,0,67.4,3,75,-37.88,1,9,151.6,3,51
