BASIC,BASIC,BASIC,TOTAL,TOTAL,PASSING,PASSING,RUSHING,RUSHING
Rk,Tm,G,DVOA,Weighted DVOA,Passing DVOA,Unadjusted Passing DVOA,Rushing DVOA,Unadjusted Rushing DVOA
,CHI,1,-53.41,-53.41,-51.14,-93.17,-59.12,-79.26
,JAX,1,-25.67,-25.67,-21.68,-55.34,-30.34,-33.62
,BLT,1,-43.8,-43.8,-51.88,-60.51,-34.18,-35.15
,LA,1,-1.97,-1.97,8.65,27.52,-23.31,-13.36
,PHI,1,-41.79,-41.79,-47.15,-78.92,-30.52,-51.2
,DEN,1,-14.2,-14.2,-17.07,13.56,-8.51,-6.21
,SEA,1,-41.74,-41.74,-36.71,-12.43,-45.62,-25.16
,HST,1,-19.57,-19.57,-13.69,-19.92,-28.61,-35.71
,LAC,1,-34.74,-34.74,-29.39,-10.05,-42.05,-38.05
,DET,1,15.77,15.77,11.73,43,21.61,47.53
,PIT,1,-15.88,-15.88,-7.52,-15.29,-30.95,-25.4
,NE,1,16.76,16.76,22.69,34.1,11.13,27.31
,ATL,1,8.13,8.13,17.06,17.41,-5.81,-9.22
,IND,1,-11.23,-11.23,-1.3,24.47,-26.62,-32.47
,MIN,1,1.73,1.73,-8.92,1.87,13.26,18.34
,DAL,1,25.04,25.04,70.02,48.98,-15.88,-16.92
,NO,1,7,7,34.22,18.56,-22.3,-18.13
,KC,1,-6.1,-6.1,3.82,6.43,-15.37,-18.77
,SF,1,31.12,31.12,30.83,3.25,31.44,27.35
,TEN,1,27.29,27.29,69.16,94.48,-14.36,-16.25
,TB,1,26.44,26.44,36.48,35.69,9.63,20.17
,BUF,1,35.46,35.46,-8.95,13.74,82.06,73.98
,MIA,1,9.86,9.86,39.42,36.75,-9.16,-7.7
,GB,1,30.09,30.09,73.86,77.26,-19.98,-19.37
,WAS,1,-1.29,-1.29,9.78,5.66,-18.87,-19.49
,ARZ,1,33.26,33.26,72.99,78.45,-3.25,-12.59
,CAR,1,26.52,26.52,52.19,34.86,-11.45,-25.82
,NYG,1,6.26,6.26,38.27,35.89,-20.83,-23.77
,LV,1,10.14,10.14,79.76,91.13,-24.04,-28.87
,NYJ,1,49.03,49.03,106.66,110.79,-36.36,-35.25
,CIN,1,34.63,34.63,23.44,20.77,43.05,47.47
,CLV,1,17.94,17.94,37.12,43.65,-1.39,8.52
