BASIC,BASIC,BASIC,TOTAL,TOTAL,PASSING,PASSING,RUSHING,RUSHING
Rk,Tm,G,DVOA,Weighted DVOA,Passing DVOA,Unadjusted Passing DVOA,Rushing DVOA,Unadjusted Rushing DVOA
,LA,1,50.09,50.09,81.65,88.1,46.65,57.4
,MIA,1,14.68,14.68,3.76,30.35,50.81,53.91
,DET,1,27.07,27.07,35.27,52.71,44.26,52.69
,MIN,1,14.61,14.61,19.55,35.73,18.32,21.98
,SEA,1,8.21,8.21,42.62,35.01,-23.78,-21.04
,JAX,1,3.36,3.36,53.36,51.8,-17,-17.15
,GB,1,29.88,29.88,66.53,79.1,3.17,14.19
,CIN,1,37.47,37.47,70.14,63.09,-14.13,-3.38
,HST,1,-19.35,-19.35,2.3,7.11,-18,-22.91
,NO,1,3.24,3.24,34.95,28.11,-0.66,-6.68
,LAC,1,-31.62,-31.62,-34.38,-49.81,-22.42,-22.42
,PIT,1,7.76,7.76,29.89,39.46,-10.18,-15.85
,PHI,1,-32.95,-32.95,-43.47,-57.29,-16.42,-5.79
,DEN,1,18.38,18.38,19.55,18.22,27.05,31.29
,LV,1,17.56,17.56,24.06,11.22,-4.27,-15.54
,KC,1,-13.9,-13.9,-13.02,-37.87,-0.25,-8.43
,BLT,1,9.74,9.74,19.13,11.72,0.61,-1.71
,CHI,1,9.35,9.35,19.73,11.94,3.62,0.99
,BUF,1,12.72,12.72,58.53,86.13,-49.25,-35.61
,ATL,1,-24.05,-24.05,-39.18,-54.23,-4.54,-27.06
,IND,1,-13.13,-13.13,-6.57,-15.48,-14.09,-22.84
,CLV,1,-15.79,-15.79,22.44,45.84,-63.3,-58.02
,TEN,1,-0.86,-0.86,-23.92,-35.05,30.51,15.12
,DAL,1,-2.67,-2.67,-10.49,-24.89,11.05,1.76
,TB,1,-12.75,-12.75,-10.36,-7.24,-4.04,-9.51
,ARZ,1,-20.38,-20.38,-4.79,-21.28,-46.34,-56.95
,WAS,1,-38.27,-38.27,-54.69,-65.75,-5.75,-10.38
,NYJ,1,-100.24,-100.24,-119.46,-105.19,-40.12,-44.82
