BASIC,BASIC,BASIC,TOTAL,TOTAL,PASSING,PASSING,RUSHING,RUSHING
Rk,Tm,G,DVOA,Weighted DVOA,Passing DVOA,Unadjusted Passing DVOA,Rushing DVOA,Unadjusted Rushing DVOA
,IND,1,-25.6,-25.6,-35.59,-59.64,-10.57,-21.49
,WAS,1,-28.22,-28.22,-39.14,-39.49,-14.05,-18.73
,HST,1,-33.87,-33.87,-35.06,-38.41,-32.99,-36.79
,DET,1,-32.74,-32.74,-35.99,-46.95,-21.67,-25.55
,DAL,1,2.17,2.17,5.47,-22.32,-4.51,-8.71
,KC,1,11.85,11.85,47.54,46.15,-37.11,-33.06
,SEA,1,38.86,38.86,83.23,91.24,-22.6,-24.13
,LA,1,3.03,3.03,36.3,45.58,-38.17,-40.38
,PHI,1,5.27,5.27,13.37,10.43,-4.65,-5.84
,NO,1,-12.48,-12.48,-12.23,-20.37,-12.86,-18.36
,TB,1,53.01,53.01,68.3,92.11,27.43,25.16
,MIN,1,17.75,17.75,47.06,18.86,-5.11,-15.64
,NE,1,2.65,2.65,23.84,33.63,-33,-23.3
,BUF,1,4.53,4.53,11.61,28.62,-5.87,-14.94
,CAR,1,8.46,8.46,40.68,26.46,-74.18,-74.81
,ARZ,1,-9.15,-9.15,-8.46,-34.84,-10.46,-17.51
,SF,1,22.95,22.95,39.74,57.36,-19.4,-13.42
,DEN,1,16.49,16.49,20.55,32.77,-1.02,-7.36
,TEN,1,-0.4,-0.4,2.72,3.73,-4.38,-9.86
,CLV,1,22.97,22.97,48.59,37.03,-26.15,-30.28
,JAX,1,33.98,33.98,29.02,46.56,44.05,51.52
,MIA,1,34.74,34.74,32.38,16.14,37.3,43.83
,NYG,1,19.09,19.09,56.89,45.34,-20.77,-26.7
,LV,1,13.41,13.41,20.18,46.51,8.44,21.52
,CIN,1,28.97,28.97,76.41,95.65,-10.81,-3.55
,NYJ,1,30.84,30.84,45.51,62.71,11.8,19.02
,BLT,1,33.58,33.58,75.8,71.51,-11.18,-18.5
,LAC,1,45.56,45.56,85.1,88.8,7.7,11.53
