BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
Rk,Player,Tm,Pos,G,SNP,SNP%,ATT/G,DB,ATT,COM,COM%,YDS,YPA,TD,INT,FD,300Yd,RTG,EPA,EPA/DB,DYAR,DVOA,FPTS,PPG
,Kirk Cousins,ATL,QB,1,66,100,44,45,44,30,68.182,373,8.477,3,0,19,1,116.951,13.81,0.307,0,0,26.92,26.92
,Matthew Stafford,LA,QB,1,70,100,38,41,38,24,63.158,368,9.684,2,1,20,1,101.645,9.349,0.228,0,0,20.92,20.92
,Jared Goff,DET,QB,1,62,100,41,42,41,25,60.976,338,8.244,3,0,17,1,111.636,16.367,0.39,0,0,25.52,25.52
,Trevor Lawrence,JAX,QB,1,54,85.714,32,36,32,20,62.5,330,10.313,5,0,16,1,136.719,23.852,0.663,0,0,44.3,44.3
,Bo Nix,DEN,QB,1,67,100,34,36,34,23,67.647,302,8.882,4,0,15,1,134.681,21.079,0.586,0,0,29.08,29.08
,Brock Purdy,SF,QB,1,75,100,30,37,30,23,76.667,295,9.833,3,0,18,0,140.278,18.757,0.507,0,0,28.2,28.2
,Dak Prescott,DAL,QB,1,68,98.551,38,40,38,23,60.526,294,7.737,0,0,12,0,84.759,0.079,0.002,0,0,11.96,11.96
,Baker Mayfield,TB,QB,1,62,100,34,40,34,19,55.882,277,8.147,2,1,16,0,89.951,9.423,0.236,0,0,17.18,17.18
,Jordan Love,GB,QB,1,66,100,40,46,40,24,60,276,6.9,1,2,12,0,68.333,1.693,0.037,0,0,13.94,13.94
,Tyler Shough,NO,QB,1,65,98.485,32,40,32,24,75,272,8.5,1,0,14,0,110.417,10.714,0.268,0,0,18.08,18.08
,Sam Darnold,SEA,QB,1,61,100,36,39,36,22,61.111,271,7.528,0,0,9,0,84.375,3.862,0.099,0,0,11.24,11.24
,C.J. Stroud,HST,QB,1,65,100,29,32,29,22,75.862,260,8.966,3,0,13,0,137.141,16.517,0.516,0,0,23.4,23.4
,Tua Tagovailoa,MIA,QB,1,49,100,28,33,28,22,78.571,253,9.036,2,1,15,0,113.244,4.537,0.137,0,0,16.22,16.22
,J.J. McCarthy,MIN,QB,1,54,100,24,26,24,15,62.5,250,10.417,2,1,11,0,107.986,11.66,0.448,0,0,23.5,23.5
,Jacoby Brissett,ARZ,QB,1,64,100,40,43,40,27,67.5,249,6.225,3,1,14,0,98.854,0.808,0.019,0,0,20.56,20.56
,Jaxson Dart,NYG,QB,1,71,97.26,36,43,36,20,55.556,246,6.833,2,1,12,0,83.796,2.554,0.059,0,0,22.14,22.14
,Caleb Williams,CHI,QB,1,65,100,28,32,28,17,60.714,242,8.643,2,0,12,0,112.5,4.953,0.155,0,0,18.98,18.98
,Joe Burrow,CIN,QB,1,73,100,39,44,39,25,64.103,225,5.769,0,2,11,0,58.173,-15.279,-0.347,0,0,5.5,5.5
,Aaron Rodgers,PIT,QB,1,62,100,27,30,27,23,85.185,224,8.296,2,0,11,0,125.926,11.727,0.391,0,0,16.96,16.96
,Marcus Mariota,WAS,QB,1,63,100,19,26,19,10,52.632,211,11.105,1,0,10,0,109.759,1.558,0.06,0,0,16.74,16.74
,Justin Herbert,LAC,QB,1,62,100,29,33,29,19,65.517,210,7.241,1,1,9,0,83.98,2.84,0.086,0,0,10.4,10.4
,Josh Allen,BUF,QB,1,70,100,28,33,28,19,67.857,193,6.893,3,0,11,0,123.065,11.24,0.341,0,0,24.52,24.52
,Patrick Mahomes,KC,QB,1,56,91.803,28,35,28,16,57.143,189,6.75,0,1,9,0,62.946,-4.247,-0.121,0,0,13.06,13.06
,Shedeur Sanders,CLV,QB,1,58,100,35,42,35,18,51.429,177,5.057,0,3,7,0,30.298,-22.947,-0.546,0,0,3.48,3.48
,Brady Cook,NYJ,QB,1,73,100,33,41,33,22,66.667,176,5.333,1,3,11,0,52.083,-7.776,-0.19,0,0,8.94,8.94
,Jalen Hurts,PHI,QB,1,51,73.913,15,18,15,12,80,175,11.667,3,0,9,0,154.861,17.025,0.946,0,0,22.9,22.9
,Cam Ward,TEN,QB,1,49,100,29,29,29,18,62.069,170,5.862,2,0,8,0,101.221,1.878,0.065,0,0,15,15
,Bryce Young,CAR,QB,1,62,100,24,31,24,15,62.5,163,6.792,1,0,7,0,96.354,6.771,0.218,0,0,15.42,15.42
,Drake Maye,NE,QB,1,54,100,23,29,23,14,60.87,155,6.739,0,1,6,0,62.772,-3.903,-0.135,0,0,20.5,20.5
,Lamar Jackson,BLT,QB,1,37,88.095,12,18,12,8,66.667,150,12.5,2,1,6,0,114.583,-0.003,-0,0,0,14.6,14.6
,Philip Rivers,IND,QB,1,58,100,27,28,27,18,66.667,120,4.444,1,1,8,0,73.071,-0.569,-0.02,0,0,6.3,6.3
,Kenny Pickett,LV,QB,1,43,100,25,30,25,15,60,64,2.56,0,1,4,0,46.083,-16.731,-0.558,0,0,1.26,1.26
,Jameis Winston,NYG,QB,1,2,2.74,1,1,1,0,0,0,0,0,0,0,0,2.083,-1.528,-1.528,0,0,0,0
,Spencer Rattler,NO,QB,1,1,1.515,1,1,1,0,0,0,0,0,0,0,0,2.083,0.113,0.113,0,0,0,0
