BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,RED ZONE,RED ZONE,RED ZONE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
Rk,Player,Tm,Pos,G,SNP,SNP%,ATT,YDS,YPC,TD,FUM,FUML,FD,RZ,GL,GL TD,EPA,EPA/ATT,DYAR,DVOA,FPTS,PPG
,De'Von  Achane,MIA,RB,1,43,79.63,21,120,5.714,0,0,0,8,7,3,0,-0.635,-0.03,11.405,3.23,21.5,21.5
,Sean  Tucker,TB,RB,1,31,43.056,19,106,5.579,2,0,0,4,4,1,0,3.39,0.178,-4.079,-13.34,34,34
,Bijan  Robinson,ATL,RB,1,50,84.746,23,104,4.522,2,0,0,6,3,3,1,-3.839,-0.167,20.69,11.08,30.3,30.3
,Derrick  Henry,BLT,RB,1,32,52.459,18,103,5.722,1,0,0,5,5,3,1,0.935,0.052,42.052,35.79,20.2,20.2
,Chase  Brown,CIN,RB,1,52,82.54,18,99,5.5,0,0,0,6,0,0,0,2.308,0.128,32.725,34.14,18.7,18.7
,Javonte  Williams,DAL,RB,1,52,80,22,93,4.227,0,0,0,5,4,1,0,-2.455,-0.112,33.782,27.18,10.3,10.3
,Kyren  Williams,LA,RB,1,34,68,12,91,7.583,1,0,0,4,4,1,1,3.334,0.278,28.7,35.26,16.6,16.6
,D'Andre  Swift,CHI,RB,1,42,56,21,90,4.286,0,0,0,5,3,0,0,-1.209,-0.058,13.93,5.45,9,9
,Tyrone  Tracy Jr.,NYG,RB,1,36,52.174,19,88,4.632,0,0,0,4,1,0,0,0.716,0.038,21.645,21.93,17.9,17.9
,Saquon  Barkley,PHI,RB,1,56,78.873,26,83,3.192,0,0,0,3,3,1,0,-5.968,-0.23,8.697,-0.72,10,10
