BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,RED ZONE,RED ZONE,RED ZONE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
,Christian  McCaffrey,SF,RB,1,36,69.231,13,81,6.231,2,0,0,7,3,2,1,4.429,0.341,36.604,56.47,35.1,35.1
,Chris  Rodriguez Jr.,WAS,RB,1,29,44.615,15,79,5.267,0,0,0,6,4,1,0,0.369,0.025,17.651,12.94,9.5,9.5
,Bhayshul  Tuten,JAX,RB,1,22,30.986,15,74,4.933,1,0,0,8,4,1,0,2.821,0.188,20.841,20.19,13.4,13.4
,Travis  Etienne,JAX,RB,1,35,49.296,19,73,3.842,2,0,0,5,9,3,1,2.507,0.132,6.23,-1.82,19.3,19.3
,Aaron  Jones,MIN,RB,1,36,66.667,16,70,4.375,0,0,0,3,1,0,0,-0.219,-0.014,-1.494,-11.03,11.1,11.1
,Justin  Fields,NYJ,QB,1,61,100,11,67,6.091,1,1,1,6,1,1,0,2.04,0.185,-4.218,-22.1,21.34,21.34
,Kenneth  Walker III,SEA,RB,1,40,50,16,67,4.188,1,0,0,5,1,1,1,-2.302,-0.144,12.302,7.05,20.1,20.1
,TreVeyon  Henderson,NE,RB,1,54,84.375,19,62,3.263,2,0,0,4,7,0,0,0.541,0.028,8.799,1.69,32.3,32.3
,Jaylen  Warren,PIT,RB,1,18,29.508,10,62,6.2,0,0,0,1,0,0,0,0.317,0.032,-9.031,-30.73,8.7,8.7
,Quinshon  Judkins,CLV,RB,1,32,55.172,17,59,3.471,0,0,0,3,4,1,0,-8.308,-0.489,-18.889,-33.48,5.9,5.9
,Kareem  Hunt,KC,RB,1,52,82.54,13,59,4.538,1,0,0,3,2,1,1,1.993,0.153,40.071,58.82,13.2,13.2
,Breece  Hall,NYJ,RB,1,41,67.213,14,58,4.143,0,0,0,3,1,0,0,0.28,0.02,6.915,2.09,8.4,8.4
,Rachaad  White,TB,RB,1,40,55.556,10,51,5.1,0,0,0,5,1,0,0,2.605,0.26,4.313,-0.71,8.2,8.2
,Marcus  Mariota,WAS,QB,1,64,98.462,4,49,12.25,0,0,0,1,1,1,0,1.282,0.321,-8.417,-56.68,15.42,15.42
,James  Cook,BUF,RB,1,36,65.455,16,48,3,0,0,0,0,2,0,0,-4.441,-0.278,-2.696,-12.97,20.4,20.4
,Ollie  Gordon II,MIA,RB,1,21,38.889,9,45,5,1,0,0,3,6,3,1,-2.461,-0.273,10.525,12.73,10.5,10.5
,Rico  Dowdle,CAR,RB,1,61,81.333,19,45,2.368,0,0,0,2,8,0,0,-6.084,-0.32,-21.402,-37.43,15,15
,Jordan  Mason,MIN,RB,1,9,16.667,6,45,7.5,1,0,0,1,1,0,0,2.883,0.481,19.629,71.07,10.5,10.5
,Devin  Singletary,NYG,RB,1,32,46.377,16,44,2.75,2,0,0,4,9,4,1,0.155,0.01,13.539,8,17.7,17.7
,Woody  Marks,HST,RB,1,45,64.286,18,44,2.444,0,0,0,4,3,1,0,-6.021,-0.335,-34.89,-50.98,6.1,6.1
,Josh  Allen,BUF,QB,1,55,100,6,40,6.667,3,0,0,4,4,2,1,4.21,0.702,37.462,112.95,42.68,42.68
,Josh  Jacobs,GB,RB,1,11,21.154,7,40,5.714,0,0,0,3,3,2,0,2.592,0.37,-0.627,-10.22,4,4
,Emanuel  Wilson,GB,RB,1,36,69.231,11,40,3.636,1,0,0,2,2,1,0,-0.946,-0.086,-11.32,-31.79,11.9,11.9
,Baker  Mayfield,TB,QB,1,71,98.611,5,39,7.8,1,0,0,4,3,1,0,8.258,1.652,2.387,17.48,18.82,18.82
,Jahmyr  Gibbs,DET,RB,1,43,71.667,12,39,3.25,0,0,0,2,3,1,0,-6.269,-0.522,-20.569,-46.01,19.6,19.6
,Zach  Charbonnet,SEA,RB,1,34,42.5,11,37,3.364,0,0,0,1,3,0,0,-1.861,-0.169,-0.048,-8.68,6.7,6.7
,LeQuint  Allen Jr.,JAX,RB,1,13,18.31,8,36,4.5,0,0,0,2,2,0,0,-1.728,-0.216,-1.872,-13.35,3.6,3.6
,Mark  Andrews,BLT,TE,1,36,59.016,1,35,35,1,0,0,1,0,0,0,5.46,5.46,30.436,314.18,15.7,15.7
,Tank  Bigsby,PHI,RB,1,8,11.268,4,34,8.5,0,0,0,1,0,0,0,1.891,0.473,17.876,189.44,3.4,3.4
,Cam  Ward,TEN,QB,1,60,100,3,33,11,0,0,0,2,1,0,0,2.844,0.948,0,0,15.06,15.06
,Keaton  Mitchell,BLT,RB,1,16,26.23,6,31,5.167,0,0,0,1,2,0,0,-0.376,-0.063,16.44,73.73,7.4,7.4
,Jalen  Hurts,PHI,QB,1,71,100,10,31,3.1,1,1,0,3,1,1,1,-4.051,-0.405,-14.797,-40.45,14.5,14.5
,RJ  Harvey,DEN,RB,1,37,59.677,11,30,2.727,0,0,0,3,3,0,0,-3.593,-0.327,-0.643,-9.88,8,8
,Jacory  Croskey-Merritt,WAS,RB,1,17,26.154,9,28,3.111,0,0,0,1,3,1,0,-1.71,-0.19,-5.738,-24.77,4.3,4.3
,David  Montgomery,DET,RB,1,23,38.333,6,27,4.5,0,0,0,1,0,0,0,-1.045,-0.174,4.582,9.45,4.7,4.7
,Caleb  Williams,CHI,QB,1,75,100,4,26,6.5,0,1,0,2,1,0,0,-1.229,-0.307,-13.319,-121.99,10.32,10.32
,Kenneth  Gainwell,PIT,RB,1,36,59.016,9,24,2.667,0,0,0,2,3,0,0,-1.356,-0.151,-22.031,-60.8,29.5,29.5
,Bam  Knight,ARZ,RB,1,26,36.62,5,24,4.8,1,0,0,1,1,0,0,-0.339,-0.068,12.133,49.44,14.5,14.5
,Brian  Robinson,SF,RB,1,13,25,8,24,3,0,0,0,1,1,0,0,-1.906,-0.238,-9.718,-41.94,2.4,2.4
,Kyle  Monangai,CHI,RB,1,27,36,12,23,1.917,1,0,0,5,2,1,1,-1.019,-0.085,7.3,3.32,10.7,10.7
,Tony  Pollard,TEN,RB,1,28,46.667,10,22,2.2,0,0,0,0,0,0,0,-3.999,-0.4,-13.49,-45.85,5.6,5.6
,Chuba  Hubbard,CAR,RB,1,14,18.667,4,21,5.25,0,0,0,0,1,0,0,-0.701,-0.175,4.262,20.1,3.8,3.8
,Justin  Herbert,LAC,QB,1,35,72.917,3,21,7,0,0,0,1,0,0,0,1.019,0.34,0,0,3.34,3.34
,Malik  Davis,DAL,RB,1,8,12.308,4,20,5,0,0,0,1,1,1,0,1.231,0.308,12.214,53.38,2,2
,Dylan  Sampson,CLV,RB,1,6,10.345,1,19,19,0,0,0,1,0,0,0,1.714,1.714,9.155,314.76,1.9,1.9
,Jaleel  McLaughlin,DEN,RB,1,8,12.903,6,19,3.167,1,0,0,2,2,1,0,0.868,0.145,13.556,39.13,8.4,8.4
,Puka  Nacua,LA,WR,1,33,66,2,18,9,0,0,0,1,0,0,0,-0.094,-0.047,9.165,63.58,16.3,16.3
,Bo  Melton,GB,CB,1,1,1.923,1,17,17,0,0,0,1,0,0,0,0.907,0.907,8.317,136.64,1.7,1.7
,Nick  Chubb,HST,RB,1,17,24.286,3,17,5.667,0,0,0,1,0,0,0,0.794,0.265,7.168,41.46,1.7,1.7
,Shedeur  Sanders,CLV,QB,1,31,53.448,3,16,5.333,0,0,0,1,0,0,0,0.302,0.101,0,0,1.48,1.48
,Kaleb  Johnson,PIT,RB,1,7,11.475,5,15,3,0,0,0,0,2,0,0,-2.286,-0.457,-4.823,-32.53,1.5,1.5
,Davis  Mills,HST,QB,1,70,100,2,14,7,0,0,0,0,0,0,0,-0.142,-0.071,0,0,16.36,16.36
,Geno  Smith,LV,QB,1,61,100,4,14,3.5,0,0,0,1,2,0,0,2.852,0.713,0,0,12.92,12.92
,Jeremy  McNichols,WAS,RB,1,16,24.615,4,13,3.25,0,0,0,0,1,1,0,-0.679,-0.17,-3.585,-33.76,4.9,4.9
,Kimani  Vidal,LAC,RB,1,23,47.917,5,13,2.6,0,0,0,1,0,0,0,-0.193,-0.039,-1.27,-14.89,3.2,3.2
,Isaiah  Davis,NYJ,RB,1,16,26.23,2,11,5.5,0,0,0,1,1,0,0,1.178,0.589,5.355,63.35,1.1,1.1
,Jaxon  Smith-Njigba,SEA,WR,1,66,82.5,1,11,11,0,0,0,1,0,0,0,0.685,0.685,8.68,144.34,20.6,20.6
,Sam  Darnold,SEA,QB,1,80,100,2,11,5.5,0,0,0,1,0,0,0,1.057,0.529,2.887,22.48,4.26,4.26
,Tyler  Allgeier,ATL,RB,1,12,20.339,3,10,3.333,1,0,0,1,1,1,1,-0.426,-0.142,12.506,62.91,9.6,9.6
,Jameis  Winston,NYG,QB,1,69,100,3,10,3.333,1,0,0,2,1,1,1,2.015,0.672,11.116,40.45,13.04,13.04
,Blake  Corum,LA,RB,1,16,32,8,10,1.25,0,0,0,0,3,3,0,-3.672,-0.459,-23.756,-60.41,1.5,1.5
,Lamar  Jackson,BLT,QB,1,61,100,4,10,2.5,0,0,0,1,1,0,0,1.587,0.397,-1.049,-41.03,4.72,4.72
,Michael  Penix Jr.,ATL,QB,1,36,61.017,1,9,9,0,0,0,0,0,0,0,0.999,0.999,0,0,7.9,7.9
,Ty  Johnson,BUF,RB,1,17,30.909,1,9,9,0,0,0,0,1,0,0,0.938,0.938,5.347,137.42,15,15
,Trevor  Lawrence,JAX,QB,1,63,88.732,5,9,1.8,1,0,0,1,1,1,1,-0.495,-0.099,6.692,57.59,15.02,15.02
,Jameson  Williams,DET,WR,1,56,93.333,1,9,9,0,0,0,0,0,0,0,0.717,0.717,6.181,72.05,19.7,19.7
,Aaron  Rodgers,PIT,QB,1,34,55.738,1,8,8,0,0,0,1,0,0,0,0.64,0.64,0,0,9.44,9.44
,Emari  Demercado,ARZ,RB,1,12,16.901,5,8,1.6,0,0,0,1,0,0,0,-1.995,-0.399,-10.862,-62.04,4,4
,Isaiah  Bond,CLV,WR,1,23,39.655,1,8,8,0,0,0,0,0,0,0,0.499,0.499,4.231,32.13,0.8,0.8
,Bo  Nix,DEN,QB,1,62,100,3,8,2.667,0,0,0,0,1,0,0,-1.022,-0.341,-6.258,-89.72,12.6,12.6
,Sterling  Shepard,TB,WR,1,43,59.722,1,7,7,0,0,0,0,0,0,0,0.395,0.395,3.437,39,10.1,10.1
,Jordan  Love,GB,QB,1,45,86.538,2,7,3.5,0,0,0,0,0,0,0,-0.568,-0.284,-1.228,-30.77,15.66,15.66
,Ashton  Jeanty,LV,RB,1,44,72.131,6,7,1.167,0,0,0,2,1,0,0,-0.701,-0.117,-15.733,-72.58,9.4,9.4
,Michael  Carter,ARZ,RB,1,31,43.662,2,6,3,0,0,0,2,1,0,0,1.075,0.538,6.769,36.74,7.8,7.8
,George  Holani,SEA,RB,1,2,2.5,2,6,3,0,0,0,0,2,0,0,-0.956,-0.478,2.574,26.56,0.6,0.6
,Raheem  Mostert,LV,RB,1,13,21.311,2,6,3,0,0,0,1,0,0,0,-0.318,-0.159,-1.358,-22.65,3.3,3.3
,Tahj  Brooks,CIN,RB,1,6,9.524,1,5,5,0,0,0,0,0,0,0,0.201,0.201,1.843,44.73,0.5,0.5
,Zay  Flowers,BLT,WR,1,53,86.885,1,5,5,0,0,0,0,0,0,0,0.122,0.122,4.959,73.37,11.3,11.3
,Hunter  Luepke,DAL,FB,1,11,16.923,1,5,5,0,0,0,1,0,0,0,0.814,0.814,4.222,48.93,7.1,7.1
,Isaiah  Williams,NYJ,WR,1,43,70.492,1,4,4,0,0,0,0,0,0,0,-0.116,-0.116,1.262,-10.12,1.6,1.6
,Jaylen  Wright,MIA,RB,1,1,1.852,1,4,4,0,0,0,0,0,0,0,0.091,0.091,0.419,1.52,0.4,0.4
,Deebo  Samuel Sr.,WAS,WR,1,47,72.308,1,3,3,0,0,0,1,1,0,0,1.204,1.204,10.229,168.69,20.7,20.7
,DJ  Moore,CHI,WR,1,58,77.333,1,3,3,0,0,0,1,0,0,0,1.038,1.038,4.295,0.15,3.1,3.1
,Connor  Heyward,PIT,TE,1,4,6.557,2,3,1.5,0,0,0,2,0,0,0,2.484,1.242,9.216,20.32,0.3,0.3
,Tyjae  Spears,TEN,RB,1,31,51.667,4,3,0.75,0,0,0,0,0,0,0,-2.955,-0.739,-13.581,-92.45,8.4,8.4
,Patrick  Mahomes,KC,QB,1,63,100,1,3,3,0,0,0,0,0,0,0,-2.189,-2.189,0,0,13.34,13.34
,Drake  Maye,NE,QB,1,64,100,4,2,0.5,0,0,0,0,0,0,0,-0.608,-0.152,0,0,15.44,15.44
,Trevor  Etienne,CAR,RB,1,3,4,1,2,2,0,0,0,0,0,0,0,-0.479,-0.479,-2.155,-70.87,0.2,0.2
,Kirk  Cousins,ATL,QB,1,23,38.983,1,2,2,0,0,0,1,0,0,0,0.409,0.409,1.971,12.78,2.12,2.12
,Rashid  Shaheed,SEA,WR,1,42,52.5,1,2,2,0,0,0,0,0,0,0,-0.065,-0.065,-1.394,-68.03,4.9,4.9
,Dillon  Gabriel,CLV,QB,1,27,46.552,2,2,1,0,0,0,0,0,0,0,-1.572,-0.786,-5.594,-116.25,2.92,2.92
,Jerome  Ford,CLV,RB,1,17,29.31,1,2,2,0,0,0,0,0,0,0,-0.012,-0.012,-2.417,-78.75,0.2,0.2
,Marvin  Mims Jr.,DEN,WR,1,15,24.194,1,2,2,0,0,0,0,0,0,0,-0.445,-0.445,-3.937,-123.21,0.2,0.2
,Trey  Lance,LAC,QB,1,13,27.083,3,1,0.333,0,0,0,1,0,0,0,-0.207,-0.069,-11.543,-69.8,1.58,1.58
,AJ  Barner,SEA,TE,1,70,87.5,2,1,0.5,0,0,0,1,1,0,0,0.095,0.048,3.604,-18.63,17.1,17.1
,Tez  Johnson,TB,WR,1,56,77.778,3,0,0,0,0,0,0,1,0,0,-1.968,-0.656,-16.154,-163.46,1.6,1.6
,Bryce  Young,CAR,QB,1,75,100,1,-1,-1,0,0,0,0,0,0,0,0.652,0.652,0,0,29.82,29.82
,Teddy  Bridgewater,TB,QB,1,1,1.389,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1
,Joe  Flacco,CIN,QB,1,63,100,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,9.86,9.86
,Mason  Rudolph,PIT,QB,1,27,44.262,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,8.98,8.98
,Jared  Goff,DET,QB,1,59,98.333,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,12.1,12.1
,Jacoby  Brissett,ARZ,QB,1,71,100,2,-2,-1,0,0,0,1,2,1,0,-2.211,-1.106,-10.144,-73.02,21.88,21.88
,Mac  Jones,SF,QB,1,5,9.615,3,-3,-1,0,0,0,0,0,0,0,-3.333,-1.111,0,0,-0.3,-0.3
,Dak  Prescott,DAL,QB,1,65,100,4,-4,-1,0,0,0,0,4,3,0,-6.047,-1.512,0,0,26.32,26.32
,DeMario  Douglas,NE,WR,1,19,29.688,1,-5,-5,0,0,0,0,0,0,0,-0.942,-0.942,-9.465,-238.04,6.1,6.1
,Brock  Purdy,SF,QB,1,47,90.385,1,-7,-7,0,0,0,0,0,0,0,-1.604,-1.604,-10.196,-234.89,19.3,19.3
