BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,BASE,BASE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE
Rk,Player,Tm,Pos,G,ATT,YDS,YPC,TD,FUM,FUML,SNP,SNP%,ATT%,TCH,TCH%,OPP,OPP%,rATT%,rTCH%,rOPP%,ATT/G,TCH/G
,Kyle  Monangai,CHI,RB,1,26,176,6.769,0,0,0,56,69.136,70.27,29,49.153,29,38.158,81.25,49.153,38.158,26,29
,Rico  Dowdle,CAR,RB,1,25,130,5.2,2,0,0,40,71.429,75.758,27,61.364,27,50,80.645,61.364,50,25,27
,Derrick  Henry,BLT,RB,1,19,119,6.263,0,0,0,36,62.069,61.29,20,40.816,20,35.714,73.077,40.816,35.714,19,20
,Kyren  Williams,LA,RB,1,25,114,4.56,1,0,0,52,67.532,58.14,25,37.313,25,32.468,64.103,37.313,32.468,25,25
,James  Cook,BUF,RB,1,27,114,4.222,0,0,0,48,73.846,77.143,28,48.276,28,43.75,93.103,48.276,43.75,27,28
,Christian  McCaffrey,SF,RB,1,28,106,3.786,1,0,0,56,83.582,71.795,33,56.897,33,50.769,80,56.897,50.769,28,33
,Josh  Jacobs,GB,RB,1,17,87,5.118,1,0,0,36,57.143,68,21,41.176,21,33.333,70.833,41.176,33.333,17,21
,Travis  Etienne,JAX,RB,1,22,84,3.818,0,0,0,46,56.79,52.381,27,41.538,27,35.065,66.667,41.538,35.065,22,27
,Javonte  Williams,DAL,RB,1,15,83,5.533,0,0,0,56,81.159,71.429,16,35.556,16,24.615,88.235,35.556,24.615,15,16
,Emari  Demercado,ARZ,RB,1,14,79,5.643,0,0,0,27,40.909,48.276,15,30,15,23.077,58.333,30,23.077,14,15
,Aaron  Jones,MIN,RB,1,9,78,8.667,0,0,0,24,40,31.034,11,25.581,11,18.644,45,25.581,18.644,9,11
,De'Von  Achane,MIA,RB,1,14,67,4.786,0,0,0,56,88.889,70,20,44.444,20,32.258,73.684,44.444,32.258,14,20
,Chris  Rodriguez Jr.,WAS,RB,1,12,65,5.417,1,0,0,22,30.986,33.333,12,23.077,12,19.355,46.154,23.077,19.355,12,12
,J.K.  Dobbins,DEN,RB,1,15,61,4.067,0,0,0,29,46.774,65.217,16,39.024,16,26.23,75,39.024,26.23,15,16
,Blake  Corum,LA,RB,1,13,58,4.462,0,0,0,21,27.273,30.233,13,19.403,13,16.883,33.333,19.403,16.883,13,13
,Justin  Herbert,LAC,QB,1,9,57,6.333,1,0,0,69,100,30,9,18.367,9,13.846,0,0,0,9,9
,Jaxson  Dart,NYG,QB,1,8,56,7,1,0,0,60,100,38.095,8,17.778,8,14.286,0,0,0,8,8
,Tony  Pollard,TEN,RB,1,10,56,5.6,0,0,0,26,57.778,52.632,11,35.484,11,25,58.824,35.484,25,10,11
,TreVeyon  Henderson,NE,RB,1,14,55,3.929,0,0,0,50,68.493,42.424,18,34.615,18,26.471,56,34.615,26.471,14,18
,Caleb  Williams,CHI,QB,1,5,53,10.6,0,0,0,81,100,13.514,7,11.864,7,9.211,0,0,0,5,7
,Brian  Robinson,SF,RB,1,5,53,10.6,1,0,0,7,10.448,12.821,5,8.621,5,7.692,14.286,8.621,7.692,5,5
,Jayden  Daniels,WAS,QB,1,10,51,5.1,1,0,0,63,88.732,27.778,10,19.231,10,16.129,0,0,0,10,10
,Kareem  Hunt,KC,RB,1,11,49,4.455,1,0,0,46,79.31,55,12,34.286,12,21.053,57.895,34.286,21.053,11,12
,Bijan  Robinson,ATL,RB,1,12,46,3.833,0,0,0,52,92.857,75,20,52.632,20,37.037,85.714,52.632,37.037,12,20
,Jonathan  Taylor,IND,RB,1,14,45,3.214,0,0,0,58,77.333,73.684,16,32,16,21.622,87.5,32,21.622,14,16
,Jaret  Patterson,LAC,RB,1,9,44,4.889,0,0,0,17,24.638,30,9,18.367,9,13.846,42.857,22.5,16.071,9,9
,Devin  Singletary,NYG,RB,1,8,43,5.375,0,0,0,31,51.667,38.095,10,22.222,10,17.857,61.538,27.027,20.833,8,10
,Ashton  Jeanty,LV,RB,1,13,42,3.231,0,0,0,55,88.71,68.421,18,37.5,18,30,92.857,37.5,30,13,18
,Kenneth  Walker III,SEA,RB,1,11,42,3.818,0,0,0,26,54.167,45.833,13,28.889,13,27.083,45.833,28.889,27.083,11,13
,David  Montgomery,DET,RB,1,11,40,3.636,1,1,1,23,37.097,55,13,28.889,13,20.968,55,28.889,20.968,11,13
,Jacory  Croskey-Merritt,WAS,RB,1,12,38,3.167,0,0,0,29,40.845,33.333,13,25,13,20.968,46.154,30.952,25,12,13
,Chase  Brown,CIN,RB,1,11,37,3.364,0,0,0,61,93.846,73.333,19,41.304,19,29.231,78.571,41.304,29.231,11,19
,Jordan  Mason,MIN,RB,1,10,36,3.6,0,0,0,32,53.333,34.483,11,25.581,11,18.644,50,25.581,18.644,10,11
,Bo  Nix,DEN,QB,1,3,36,12,0,0,0,62,100,13.043,3,7.317,3,4.918,0,0,0,3,3
,Terrell  Jennings,NE,RB,1,11,35,3.182,1,0,0,15,20.548,33.333,12,23.077,12,17.647,44,23.077,17.647,11,12
,Nick  Chubb,HST,RB,1,11,34,3.091,0,0,0,26,34.667,39.286,11,21.569,11,15.278,45.833,21.569,15.278,11,11
,Dak  Prescott,DAL,QB,1,4,34,8.5,0,0,0,69,100,19.048,4,8.889,4,6.154,0,0,0,4,4
,Jaylen  Warren,PIT,RB,1,16,31,1.938,2,0,0,35,56.452,69.565,18,37.5,18,29.508,76.19,37.5,29.508,16,18
,Kimani  Vidal,LAC,RB,1,12,30,2.5,0,1,0,47,68.116,40,12,24.49,12,18.462,57.143,30,21.429,12,12
,Taysom  Hill,NO,QB,1,4,30,7.5,0,0,0,9,22.5,28.571,4,13.793,4,10,0,0,0,4,4
,Bhayshul  Tuten,JAX,RB,1,9,29,3.222,1,0,0,20,24.691,21.429,10,15.385,10,12.987,27.273,15.385,12.987,9,10
,Woody  Marks,HST,RB,1,10,27,2.7,0,0,0,34,45.333,35.714,10,19.608,10,13.889,41.667,19.608,13.889,10,10
