BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,BASE,BASE,BASE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE
Rk,Player,Tm,Pos,G,TAR,REC,YDS,TD,TAR/G,REC/G,YDS/G,SNP,SNP%,RT,RT%,TAR%,FRD,FRDR,FRD%,OPP,OPP%
,Jaxon  Smith-Njigba,SEA,WR,1,9,8,129,0,9,8,129,31,64.583,23,95.833,37.5,9,100,37.5,10,20.833
,Brock  Bowers,LV,TE,1,13,12,127,3,13,12,127,47,75.806,34,82.927,31.707,11,84.615,25.581,14,23.333
,Michael  Pittman,IND,WR,1,12,9,122,0,12,9,122,65,86.667,50,90.909,21.818,9,75,16.071,12,16.216
,Tee  Higgins,CIN,WR,1,9,7,121,2,9,7,121,53,81.538,43,86,18,9,100,18,9,13.846
,Colston  Loveland,CHI,TE,1,7,6,118,2,7,6,118,62,76.543,34,87.179,17.949,4,57.143,9.091,7,9.211
,Drake  London,ATL,WR,1,14,9,118,3,14,9,118,53,94.643,38,100,36.842,11,78.571,27.5,14,25.926
,Alec  Pierce,IND,WR,1,13,6,115,0,13,6,115,65,86.667,49,89.091,23.636,13,100,23.214,13,17.568
,Ja'Marr  Chase,CIN,WR,1,8,6,111,0,8,6,111,64,98.462,50,100,16,7,87.5,14,8,12.308
,Dalton  Kincaid,BUF,TE,1,6,6,101,1,6,6,101,21,32.308,16,55.172,20.69,4,66.667,13.333,6,9.375
,DeMario  Douglas,NE,WR,1,6,4,100,1,6,4,100,15,20.548,12,34.286,17.143,4,66.667,10,6,8.824
,Sam  LaPorta,DET,TE,1,8,6,97,1,8,6,97,62,100,42,100,19.048,5,62.5,11.905,8,12.903
,Amon-Ra  St. Brown,DET,WR,1,13,9,97,0,13,9,97,59,95.161,41,97.619,30.952,10,76.923,23.81,13,20.968
