BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,RED ZONE,RED ZONE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
Rk,Player,Tm,Pos,G,SNP,SNP%,TAR,REC,YDS,TD,YPT,YPR,CTCH%,YAC,YAC/R,FD,LG,100+,TAR/G,REC/G,YDS/G,EZ,EZTD,EPA,EPA/TAR,DYAR,DVOA,FPTS,PPG
,Tucker  Kraft,GB,TE,1,57,90.476,9,7,143,2,15.889,20.429,77.778,128,18.286,5,59,1,9,7,143,0,0,11.572,1.286,31.046,38.2,33.3,33.3
,Rome  Odunze,CHI,WR,1,58,90.625,10,7,114,0,11.4,16.286,70,19,2.714,7,27,1,10,7,114,0,0,5.752,0.575,35.024,31.69,18.4,18.4
,Jaylen  Waddle,MIA,WR,1,50,76.923,6,5,99,1,16.5,19.8,83.333,49,9.8,4,43,0,6,5,99,0,0,7.953,1.326,50.419,98.56,20.9,20.9
,Tetairoa  McMillan,CAR,WR,1,56,93.333,10,7,99,0,9.9,14.143,70,22,3.143,7,19,0,10,7,99,1,0,4.758,0.476,24.854,18.47,16.9,16.9
,Travis  Kelce,KC,TE,1,56,80,8,6,99,1,12.375,16.5,75,53,8.833,5,38,0,8,6,99,1,1,2.302,0.288,20.562,27.93,21.9,21.9
,Michael  Pittman,IND,WR,1,41,77.358,9,8,95,1,10.556,11.875,88.889,27,3.375,5,21,0,9,8,95,1,1,7.146,0.794,32.856,38.14,23.5,23.5
,Chimere  Dike,TEN,WR,1,58,85.294,8,7,93,0,11.625,13.286,87.5,44,6.286,5,21,0,8,7,93,1,0,4.27,0.534,40.06,61.02,16.4,16.4
,Rashee  Rice,KC,WR,1,57,81.429,9,9,93,1,10.333,10.333,100,56,6.222,5,25,0,9,9,93,0,0,7.217,0.802,7.668,-0.89,25.5,25.5
,Ja'Marr  Chase,CIN,WR,1,57,96.61,19,12,91,0,4.789,7.583,63.158,77,6.417,5,17,0,19,12,91,0,0,0.877,0.046,-26.289,-30.29,21.1,21.1
,Mack  Hollins,NE,WR,1,48,69.565,7,7,89,0,12.714,12.714,100,31,4.429,4,21,0,7,7,89,0,0,5.213,0.745,34.196,51.01,15.9,15.9
,Troy  Franklin,DEN,WR,1,35,61.404,8,6,89,2,11.125,14.833,75,37,6.167,5,26,0,8,6,89,3,2,8.574,1.072,35.462,43.63,26.9,26.9
,Ladd  McConkey,LAC,WR,1,41,53.247,10,6,88,1,8.8,14.667,60,28,4.667,4,27,0,10,6,88,1,1,-0.748,-0.075,18.196,11.02,20.8,20.8
,Khalil  Shakir,BUF,WR,1,28,46.667,7,6,88,1,12.571,14.667,85.714,93,15.5,3,54,0,7,6,88,0,0,6.384,0.912,28.693,41,20.8,20.8
,Christian  Watson,GB,WR,1,35,55.556,4,4,85,0,21.25,21.25,100,12,3,3,33,0,4,4,85,0,0,6.521,1.63,38.677,99.02,12.5,12.5
,DeVonta  Smith,PHI,WR,1,51,85,9,6,84,0,9.333,14,66.667,22,3.667,5,26,0,9,6,84,1,0,3.765,0.418,9.983,1.32,14.4,14.4
,George  Pickens,DAL,WR,1,53,72.603,9,7,78,0,8.667,11.143,77.778,16,2.286,5,17,0,9,7,78,1,0,7.917,0.88,32.377,32.11,14.8,14.8
,Oronde  Gadsden II,LAC,TE,1,55,71.429,5,5,77,1,15.4,15.4,100,27,5.4,3,40,0,5,5,77,1,1,7.002,1.4,40.959,123.83,18.7,18.7
,Kayshon  Boutte,NE,WR,1,48,69.565,5,3,75,1,15,25,60,1,0.333,2,39,0,5,3,75,1,1,3.98,0.796,15.492,30.88,16.5,16.5
,Rashid  Shaheed,NO,WR,1,54,71.053,12,9,75,0,6.25,8.333,75,29,3.222,5,10,0,12,9,75,0,0,-2.619,-0.218,-14.634,-29.18,16.5,16.5
,Justin  Jefferson,MIN,WR,1,41,87.234,11,7,74,0,6.727,10.571,63.636,43,6.143,3,17,0,11,7,74,0,0,-2.392,-0.217,-3.158,-16.72,14.4,14.4
,CeeDee  Lamb,DAL,WR,1,47,64.384,10,7,74,0,7.4,10.571,70,21,3,3,29,0,10,7,74,3,1,-4.796,-0.48,6.982,-3.86,14.6,14.6
,Roman  Wilson,PIT,WR,1,27,47.368,5,4,74,1,14.8,18.5,80,3,0.75,3,45,0,5,4,74,1,1,5.218,1.044,33.231,66.49,17.4,17.4
,DJ  Moore,CHI,WR,1,52,81.25,7,4,73,0,10.429,18.25,57.143,42,10.5,3,42,0,7,4,73,1,0,1.344,0.192,9.084,3.03,11.6,11.6
,Xavier  Hutchinson,HST,WR,1,54,69.231,6,5,69,1,11.5,13.8,83.333,23,4.6,3,30,0,6,5,69,0,0,4.869,0.812,30.899,53.45,17.9,17.9
,Alec  Pierce,IND,WR,1,43,81.132,5,2,69,0,13.8,34.5,40,1,0.5,2,50,0,5,2,69,0,0,3.396,0.679,6.408,4.32,8.9,8.9
,Courtland  Sutton,DEN,WR,1,48,84.211,6,4,67,0,11.167,16.75,66.667,11,2.75,3,39,0,6,4,67,1,0,3.592,0.599,17.609,29.48,10.7,10.7
,Tyler  Johnson,NYJ,WR,1,53,70.667,5,3,64,1,12.8,21.333,60,18,6,3,34,0,5,3,64,1,1,5.969,1.194,26.775,52.38,15.4,15.4
,Jeremy  McNichols,WAS,RB,1,22,40,6,5,64,0,10.667,12.8,83.333,62,12.4,3,24,0,6,5,64,0,0,4.622,0.77,33.321,78.45,11.8,11.8
,Zay  Flowers,BLT,WR,1,56,93.333,9,7,63,0,7,9,77.778,9,1.286,4,20,0,9,7,63,0,0,4.174,0.464,5.194,-5.39,14.1,14.1
,Jaylin  Noel,HST,WR,1,29,37.179,6,5,63,0,10.5,12.6,83.333,10,2,4,44,0,6,5,63,0,0,5.297,0.883,21.397,29.37,11.3,11.3
,Chris  Olave,NO,WR,1,66,86.842,12,8,63,0,5.25,7.875,66.667,14,1.75,1,28,0,12,8,63,0,0,-4.293,-0.358,-30.111,-44.51,14,14
,Harold  Fannin Jr.,CLV,TE,1,38,70.37,8,6,62,1,7.75,10.333,75,27,4.5,2,19,0,8,6,62,0,0,0.597,0.075,9.932,17.43,18.4,18.4
,Kyle  Pitts,ATL,TE,1,44,89.796,9,9,59,0,6.556,6.556,100,20,2.222,1,24,0,9,9,59,0,0,-4.613,-0.513,-12.8,-29.11,14.9,14.9
,DK  Metcalf,PIT,WR,1,54,94.737,7,5,55,1,7.857,11,71.429,29,5.8,4,24,0,7,5,55,2,1,3.609,0.516,23.762,27.67,16.5,16.5
,Terry  McLaurin,WAS,WR,1,25,45.455,4,3,54,1,13.5,18,75,0,0,3,25,0,4,3,54,2,1,4.282,1.071,37.133,106.09,14.4,14.4
,Juwan  Johnson,NO,TE,1,53,69.737,8,5,53,0,6.625,10.6,62.5,9,1.8,4,16,0,8,5,53,1,0,-0.621,-0.078,-2.467,-11.49,10.3,10.3
,Tyler  Warren,IND,TE,1,38,71.698,5,4,53,0,10.6,13.25,80,38,9.5,3,20,0,5,4,53,0,0,2.768,0.554,17.425,43.77,9.3,9.3
,Chig  Okonkwo,TEN,TE,1,39,57.353,5,4,53,0,10.6,13.25,80,16,4,2,23,0,5,4,53,0,0,3.452,0.69,5.398,10.22,9.3,9.3
,Xavier  Worthy,KC,WR,1,56,80,7,5,53,0,7.571,10.6,71.429,39,7.8,2,27,0,7,5,53,0,0,3.022,0.432,-1.096,-14.72,10.3,10.3
,Elic  Ayomanor,TEN,WR,1,62,91.176,8,4,52,0,6.5,13,50,11,2.75,2,26,0,8,4,52,1,0,-3.059,-0.382,-11.159,-31.48,9.2,9.2
