week,year,parlay_id,leg_number,parlay_type,was_bet_on,player_name,position,team,opponent,home_away,prop_type,line,prediction,leg_confidence,parlay_raw_confidence,correlation_adjustment,parlay_adjusted_confidence,dvoa_score,matchup_score,volume_score,injury_score,trend_score,gamescript_score,variance_score,weather_score,bet_result
12,2024,TRAD_W12_fba07694_v1,2,traditional,False,jaxson dart,QB,NYG,DET,AWAY,Pass TDs,1.5,OVER,60.0,60.0,4,64.0,4.2,7.0,2.5,10.0,3.5,4.2,5.5,0.0,
12,2024,TRAD_W12_fba07694_v1,3,traditional,False,devonta smith,WR,PHI,DAL,AWAY,Receptions,4.5,OVER,60.0,60.0,4,64.0,6.9,7.5,5.8,5.0,5.5,5.8,5.8,0.0,
12,2024,TRAD_W12_fba07694_v1,4,traditional,False,jaxon smith-njigba,WR,SEA,TEN,AWAY,Rec Yds,92.5,OVER,60.0,60.0,4,64.0,7.3,7.5,6.2,5.0,5.0,5.8,5.5,0.0,
12,2024,TRAD_W12_ba99ba77_v1,1,traditional,False,romeo doubs,WR,GB,MIN,HOME,Rec Yds,50.5,OVER,60.0,59.4,4,63.0,3.1,7.0,3.5,10.0,5.0,4.2,4.5,0.0,
12,2024,TRAD_W12_ba99ba77_v1,2,traditional,False,cooper kupp,WR,SEA,TEN,AWAY,Receptions,2.5,OVER,60.0,59.4,4,63.0,7.3,7.0,5.8,5.0,5.5,5.8,5.8,0.0,
12,2024,TRAD_W12_ba99ba77_v1,3,traditional,False,josh downs,WR,IND,KC,AWAY,Receptions,3.5,OVER,59.0,59.4,4,63.0,5.0,7.5,6.8,5.0,6.5,5.8,5.8,0.0,
12,2024,TRAD_W12_ba99ba77_v1,4,traditional,False,zay flowers,WR,BAL,NYJ,HOME,Receptions,4.5,OVER,59.0,59.4,4,63.0,6.4,7.0,5.8,5.0,5.5,5.8,5.8,0.0,
12,2024,TRAD_W12_ba99ba77_v1,5,traditional,False,xavier worthy,WR,KC,IND,HOME,Rec Yds,41.5,OVER,59.0,59.4,4,63.0,5.0,5.0,3.2,10.0,5.0,4.2,4.5,0.0,
12,2024,parlay_1763598599824,1,generated,False,khalil shakir,Unknown,BUF,Unknown,AWAY,Receptions,4.5,OVER,66.0,66.0,0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763598599824,2,generated,False,brock purdy,Unknown,SF,Unknown,AWAY,Pass Yds,249.5,OVER,66.0,66.0,0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763598599856,1,generated,False,trevor lawrence,Unknown,JAC,Unknown,AWAY,Pass Yds,213.5,OVER,66.0,66.0,0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763598599856,2,generated,False,drake maye,Unknown,NE,Unknown,AWAY,Pass Completions,20.5,OVER,66.0,66.0,0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763598599873,1,generated,False,hunter henry,Unknown,NE,Unknown,AWAY,Rec Yds,40.5,OVER,65.0,65.0,0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763598599873,2,generated,False,josh allen,Unknown,BUF,Unknown,AWAY,Pass Completions,19.5,OVER,65.0,65.0,0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763598599891,1,generated,False,alvin kamara,Unknown,NO,Unknown,AWAY,Rush Attempts,15.5,UNDER,65.0,65.0,0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763598599891,2,generated,False,christian mccaffrey,Unknown,SF,Unknown,AWAY,Rec Yds,42.5,OVER,65.0,65.0,0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763598599904,1,generated,False,tetairoa mcmillan,Unknown,CAR,Unknown,AWAY,Rec Yds,59.5,OVER,63.0,63.0,0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763598599904,2,generated,False,jared goff,Unknown,DET,Unknown,AWAY,Pass Yds,258.5,OVER,63.0,63.0,0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763598599904,3,generated,False,brian thomas jr,Unknown,JAC,Unknown,AWAY,Receptions,4.5,OVER,63.0,63.0,0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763598599916,1,generated,False,matthew golden,Unknown,GB,Unknown,AWAY,Receptions,2.5,UNDER,63.0,63.0,0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763598599916,2,generated,False,tyrell shavers,Unknown,BUF,Unknown,AWAY,Receptions,1.5,OVER,63.0,63.0,0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763598599916,3,generated,False,sam darnold,Unknown,SEA,Unknown,AWAY,Pass Completions,19.5,OVER,63.0,63.0,0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763598599929,1,generated,False,travis etienne jr,Unknown,JAC,Unknown,AWAY,Rec Yds,13.5,OVER,62.0,62.0,0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763598599929,2,generated,False,bryce young,Unknown,CAR,Unknown,AWAY,Pass Yds,200.5,OVER,62.0,62.0,0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763598599929,3,generated,False,joshua palmer,Unknown,BUF,Unknown,AWAY,Receptions,2.5,OVER,62.0,62.0,0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763598599941,1,generated,False,ty johnson,Unknown,BUF,Unknown,AWAY,Rec Yds,8.5,OVER,61.0,61.0,0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763598599941,2,generated,False,aj barner,Unknown,SEA,Unknown,AWAY,Receptions,3.5,OVER,61.0,61.0,0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763598599941,3,generated,False,dontayvion wicks,Unknown,GB,Unknown,AWAY,Rec Yds,20.5,UNDER,61.0,61.0,0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763598599953,1,generated,False,jaxson dart,Unknown,NYG,Unknown,AWAY,Pass TDs,1.5,UNDER,60.0,60.0,0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763598599953,2,generated,False,chase brown,Unknown,CIN,Unknown,AWAY,Receptions,4.5,OVER,60.0,60.0,0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763598599953,3,generated,False,christian watson,Unknown,GB,Unknown,AWAY,Receptions,3.5,UNDER,60.0,60.0,0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763598599953,4,generated,False,aj brown,Unknown,PHI,Unknown,AWAY,Receptions,4.5,OVER,60.0,60.0,0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763598599966,1,generated,False,devonta smith,Unknown,PHI,Unknown,AWAY,Receptions,4.5,OVER,60.0,60.0,0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763598599966,2,generated,False,romeo doubs,Unknown,GB,Unknown,AWAY,Rec Yds,50.5,UNDER,60.0,60.0,0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763598599966,3,generated,False,jaxon smith-njigba,Unknown,SEA,Unknown,AWAY,Receptions,7.5,OVER,60.0,60.0,0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763598599966,4,generated,False,cooper kupp,Unknown,SEA,Unknown,AWAY,Receptions,2.5,OVER,60.0,60.0,0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
